R0,x0,u0,attractor,final_R,final_x,final_u,first_entry_step
0.6868214525561479,-1.35,-0.08,R2,0.6883639025561479,-1.0,-1.7399434689755623e-29,62
0.6869013109454096,-1.3318791946308726,-0.08,R2,0.6883639025561479,-1.0,-1.755674126835718e-29,62
0.6869811693346715,-1.313758389261745,-0.08,R2,0.6883639025561479,-1.0,-1.7695528772124427e-29,62
0.6870610277239332,-1.2956375838926175,-0.08,R2,0.6883639025561479,-1.0,-1.7690634450788337e-29,62
0.6871408861131949,-1.27751677852349,-0.08,R2,0.6883639025561479,-1.0,-1.4656568775254541e-30,62
0.6872207445024566,-1.2593959731543625,-0.08,R2,0.6883639025561479,-1.0,-1.4474977547438375e-30,62
0.6873006028917183,-1.241275167785235,-0.08,R2,0.6883639025561479,-1.0,-8.125972798580806e-31,62
0.6873804612809802,-1.2231543624161074,-0.08,R2,0.6883639025561479,-1.0,-7.606975109677574e-31,62
0.6874603196702419,-1.20503355704698,-0.08,R2,0.6883639025561479,-1.0,-8.049284225327825e-31,62
0.6875401780595036,-1.1869127516778524,-0.08,R2,0.6883639025561479,-1.0,-7.529110670458029e-31,62
0.6876200364487653,-1.1687919463087248,-0.08,R2,0.6883639025561479,-1.0,-5.870444794388823e-31,62
0.6876998948380272,-1.1506711409395973,-0.08,R2,0.6883639025561479,-1.0,-7.645278624039441e-31,62
0.6877797532272889,-1.1325503355704698,-0.08,R2,0.6883639025561479,-1.0,-6.232137376997315e-31,55
0.6878596116165506,-1.1144295302013423,-0.08,R2,0.6883639025561479,-1.0,-6.246772059305211e-31,56
0.6879394700058123,-1.0963087248322148,-0.08,R2,0.6883639025561479,-1.0,-6.252410190899128e-31,56
0.6880193283950741,-1.0781879194630872,-0.08,R2,0.6883639025561479,-1.0,-6.781262958670207e-31,56
0.6880991867843359,-1.0600671140939597,-0.08,R2,0.6883639025561479,-1.0,-6.874085867554455e-31,56
0.6881790451735976,-1.0419463087248322,-0.08,R2,0.6883639025561479,-1.0,-8.034694066756365e-31,56
0.6882589035628593,-1.0238255033557047,-0.08,R2,0.6883639025561479,-1.0,-1.6323625177639675e-30,56
0.6883387619521211,-1.0057046979865771,-0.08,R2,0.6883639025561479,-1.0,-8.769105751208006e-31,57
0.6884186203413828,-0.9875838926174497,-0.08,R2,0.6883639025561479,-1.0,-1.6119718132468177e-30,57
0.6884984787306446,-0.9694630872483223,-0.08,R2,0.6883639025561479,-1.0,-1.631205967833409e-30,57
0.6885783371199063,-0.9513422818791948,-0.08,R2,0.6883639025561479,-1.0,-1.628089122071291e-30,57
0.6886581955091681,-0.9332214765100673,-0.08,R2,0.6883639025561479,-1.0,-1.0677340293957878e-30,58
0.6887380538984298,-0.9151006711409397,-0.08,R2,0.6883639025561479,-1.0,-1.0697416108996203e-30,58
0.6888179122876915,-0.8969798657718122,-0.08,R2,0.6883639025561479,-1.0,-1.0664498875373947e-30,58
0.6888977706769533,-0.8788590604026847,-0.08,R2,0.6883639025561479,-1.0,-1.071860962732695e-30,58
0.6889776290662151,-0.8607382550335572,-0.08,R2,0.6883639025561479,-1.0,-1.1892974258550102e-30,58
0.6890574874554768,-0.8426174496644296,-0.08,R2,0.6883639025561479,-1.0,-1.3042528133745657e-30,59
0.6891373458447385,-0.8244966442953021,-0.08,R2,0.6883639025561479,-1.0,-2.4221210348858755e-30,59
0.6892172042340002,-0.8063758389261746,-0.08,R2,0.6883639025561479,-1.0,-2.4292128895614502e-30,59
0.6892970626232621,-0.7882550335570471,-0.08,R2,0.6883639025561479,-1.0,-1.4596510525728445e-30,59
0.6893769210125238,-0.7701342281879195,-0.08,R2,0.6883639025561479,-1.0,-1.4584216638642477e-30,59
0.6894567794017855,-0.752013422818792,-0.08,R2,0.6883639025561479,-1.0,-1.512146819833231e-30,59
0.6895366377910472,-0.7338926174496645,-0.08,R2,0.6883639025561479,-1.0,-1.5653180461840461e-30,60
0.689616496180309,-0.715771812080537,-0.08,R2,0.6883639025561479,-1.0,-1.5005381309642393e-30,60
0.6896963545695708,-0.6976510067114094,-0.08,R2,0.6883639025561479,-1.0,-1.5017207037172539e-30,60
0.6897762129588325,-0.6795302013422819,-0.08,R2,0.6883639025561479,-1.0,-1.8180741516644723e-30,60
0.6898560713480942,-0.6614093959731544,-0.08,R2,0.6883639025561479,-1.0,-1.826058916327573e-30,60
0.689935929737356,-0.6432885906040269,-0.08,R2,0.6883639025561479,-1.0,-1.8071122747709237e-30,60
0.6900157881266177,-0.6251677852348994,-0.08,R2,0.6883639025561479,-1.0,-1.8372254619342065e-30,60
0.6900956465158795,-0.6070469798657719,-0.08,R2,0.6883639025561479,-1.0,-2.761192970001788e-30,61
0.6901755049051412,-0.5889261744966444,-0.08,R2,0.6883639025561479,-1.0,-2.7323272894048317e-30,61
0.690255363294403,-0.5708053691275169,-0.08,R2,0.6883639025561479,-1.0,-2.1950389986865745e-30,61
0.6903352216836647,-0.5526845637583894,-0.08,R2,0.6883639025561479,-1.0,-1.8423399192352892e-30,61
0.6904150800729264,-0.5345637583892618,-0.08,R2,0.6883639025561479,-1.0,-2.2743130638046845e-30,61
0.6904949384621882,-0.5164429530201343,-0.08,R2,0.6883639025561479,-1.0,-2.0459319289886248e-30,61
0.69057479685145,-0.4983221476510068,-0.08,R2,0.6883639025561479,-1.0,-2.051191227857931e-30,61
0.6906546552407117,-0.4802013422818793,-0.08,R2,0.6883639025561479,-1.0,-2.511600410950547e-30,62
0.6907345136299734,-0.46208053691275175,-0.08,R2,0.6883639025561479,-1.0,-2.064232538680678e-30,62
0.6908143720192351,-0.4439597315436242,-0.08,R2,0.6883639025561479,-1.0,-2.7302182196090873e-30,62
0.690894230408497,-0.4258389261744967,-0.08,R2,0.6883639025561479,-1.0,-3.32441726849581e-30,62
0.6909740887977587,-0.4077181208053692,-0.08,R2,0.6883639025561479,-1.0,-2.7411548427976604e-30,62
0.6910539471870204,-0.38959731543624165,-0.08,R2,0.6883639025561479,-1.0,-2.499818777845434e-30,62
0.6911338055762821,-0.37147651006711413,-0.08,R2,0.6883639025561479,-1.0,-4.0470995972930465e-30,63
0.691213663965544,-0.3533557046979866,-0.08,R2,0.6883639025561479,-1.0,-4.1769927876562716e-30,63
0.6912935223548057,-0.3352348993288592,-0.08,R2,0.6883639025561479,-1.0,-4.067692840613669e-30,63
0.6913733807440674,-0.31711409395973167,-0.08,R2,0.6883639025561479,-1.0,-3.260089505323296e-30,63
0.6914532391333291,-0.29899328859060414,-0.08,R2,0.6883639025561479,-1.0,-4.1467740481440105e-30,63
0.6915330975225908,-0.2808724832214766,-0.08,R2,0.6883639025561479,-1.0,-3.3584032652162986e-30,63
0.6916129559118527,-0.2627516778523491,-0.08,R2,0.6883639025561479,-1.0,-4.93510518965326e-30,64
0.6916928143011144,-0.24463087248322157,-0.08,R2,0.6883639025561479,-1.0,-5.102928818196468e-30,64
0.6917726726903761,-0.22651006711409405,-0.08,R2,0.6883639025561479,-1.0,-4.112737262210228e-30,64
0.6918525310796378,-0.20838926174496653,-0.08,R2,0.6883639025561479,-1.0,-5.06404065712787e-30,64
0.6919323894688996,-0.190268456375839,-0.08,R2,0.6883639025561479,-1.0,-3.729000992139014e-30,65
0.6920122478581614,-0.17214765100671148,-0.08,R2,0.6883639025561479,-1.0,-4.951637893787115e-30,65
0.6920921062474231,-0.15402684563758395,-0.08,R2,0.6883639025561479,-1.0,-4.977037280398274e-30,65
0.6921719646366848,-0.13590604026845643,-0.08,R2,0.6883639025561479,-1.0,-5.20234858536009e-30,65
0.6922518230259466,-0.1177852348993289,-0.08,R2,0.6883639025561479,-1.0,-4.567290363234545e-30,66
0.6923316814152083,-0.09966442953020138,-0.08,R2,0.6883639025561479,-1.0,-6.062465391675867e-30,66
0.6924115398044701,-0.08154362416107386,-0.08,R2,0.6883639025561479,-1.0,-6.193145829490847e-30,66
0.6924913981937318,-0.06342281879194633,-0.08,R2,0.6883639025561479,-1.0,-9.233701279554161e-30,67
0.6925712565829936,-0.04530201342281881,-0.08,R2,0.6883639025561479,-1.0,-7.396534786883972e-30,67
0.6926511149722553,-0.027181208053691286,-0.08,R2,0.6883639025561479,-1.0,-1.126449555518992e-29,68
0.692730973361517,-0.009060402684563762,-0.08,R2,0.6883639025561479,-1.0,-9.01971771791806e-30,68
0.6928108317507788,0.009060402684563762,-0.08,R2,0.6883639025561479,-1.0,-8.283360921408363e-30,69
0.6928906901400406,0.027181208053691286,-0.08,R2,0.6883639025561479,-1.0,-1.1236387020025508e-29,69
0.6929705485293023,0.04530201342281881,-0.08,R2,0.6883639025561479,-1.0,-1.6270723837154557e-29,70
0.693050406918564,0.06342281879194633,-0.08,R2,0.6883639025561479,-1.0,-1.9838729151044558e-29,71
0.6931302653078257,0.08154362416107386,-0.08,R2,0.6883639025561479,-1.0,-2.4196270377062666e-29,72
0.6932101236970876,0.09966442953020138,-0.08,R2,0.6883639025561479,-1.0,-3.5872883868838934e-29,73
0.6932899820863493,0.11778523489932868,-0.08,R2,0.6883639025561479,-1.0,-3.7858877325034096e-29,75
0.693369840475611,0.1359060402684562,-0.08,R2,0.6883639025561479,-1.0,-7.994684899777995e-29,79
0.6934496988648727,0.15402684563758373,-0.08,R1,0.697177902556148,1.0,8.010142351169925e-28,93
0.6935295572541345,0.17214765100671126,-0.08,R1,0.697177902556148,1.0,4.087931441261249e-29,78
