run_id,series,L,M,ma,mb,den,parity,gcd_mamb,ord_a,ord_b,crt_indep,pair_order,q2_dev,absQ2,H0,gen0,gen_min,gen_max,eps_abs_min,q_abs,eps_u1_min,q_u1,D_orbit,r99_full,r99_W1,r99_W3,r99_late,Reff_late,E2_late,Reff_full,pa1_late,pa2_late,eta500,eta_end,eta_max,k_mult,ratio,q2_over_H,t_dep
L8_ma1_mb3_den8,main,8,28,1,3,8,odd-odd,1,8,8,0,8,3.704493112238337e-15,12.329568801169579,45.54749628098898,6.315392984770206,5.748822697723026,6.928820401453831,0.7770475281149233,6,0.6467610487749733,2,1.851723162452919,3,4,2,2,1.0405814874336325,0.9987611977457069,1.0726714033767175,0.8338004348301976,0.9833289929394698,0.7925896744603227,0.7423913551173247,0.8266856774135191,1,1:3,0.2706969604894793,2
L8_ma1_mb5_den8,main,8,28,1,5,8,odd-odd,1,8,8,0,8,8.545111909127925e-15,15.403078718098508,48.608963739909704,5.559991858984384,5.559991858984384,6.924078999589859,0.8749126669126375,229,0.8518230828923974,3,1.7925675023421905,3,6,4,2,1.0576260745838044,0.9977386093858263,1.088952442589046,0.8043921439404008,1.4045427925956009,0.7891138496860545,0.7550695375340553,0.8032131111055921,1,1:5,0.31687733152500897,4
L8_ma3_mb5_den8,main,8,28,3,5,8,odd-odd,1,8,8,0,8,1.1360273911479979e-13,45.54749628098899,45.54749628098898,7.833878385895504e-15,7.833878385398337e-15,7.833878385895504e-15,0.0,2,0.0,2,2.4980023524850966e-08,1,1,1,1,1.0,1.0,1.0,1.4901161193847656e-08,1.1199829904971874,2.769815561964204e-12,2.2691044518777317e-11,2.2691044518777317e-11,1,3:5,1.0000000000000002,-1
L8_ma2_mb4_den8,main,8,28,2,4,8,even-even,2,4,2,0,4,5.799743873536481e-14,14.795418992341975,45.54749628098899,6.3436833386632285,6.3436833386632285,6.906600226970678,0.7445656956635939,7,0.6214059735803886,2,1.8597905796213743,2,5,2,2,1.0595577936531726,0.9981425453992196,1.0757672389407196,0.6923733242918535,0.9246088572656406,0.7080783386448355,0.7352108602001322,0.7757633005074858,2,1:2,0.32483495692204306,2
L8_ma2_mb6_den8,main,8,28,2,6,8,even-even,2,4,4,0,4,1.1823006500377722e-13,48.608963739909704,48.6089637399097,7.061400392410957e-15,7.061400392004416e-15,7.061400392410957e-15,0.0,2,0.0,2,2.4180591272663306e-08,1,1,1,1,1.0,1.0,1.0,0.0,1.3837567297372346,2.7250871882963048e-12,2.2325761974642483e-11,2.2325761974642483e-11,2,1:3,1.0000000000000002,-1
L8_ma4_mb6_den8,main,8,28,4,6,8,even-even,2,2,4,0,4,5.6516349893105065e-14,14.795418992341945,45.54749628098899,6.343683338663227,6.06562592793278,6.9113306974014375,0.8813691408308123,6,0.5754355076874608,2,1.8376680527728884,3,5,2,2,1.060204001242552,0.997867319242768,1.1116486657430913,0.9742203716301828,1.2066601973815727,0.8327880362777517,0.8635310827483584,0.8635310827483584,2,2:3,0.32483495692204245,3
L8_ma1_mb2_den8,main,8,28,1,2,8,odd-even,1,8,4,0,8,1.7763568394002505e-15,15.531813937132023,41.21792747981941,6.170137026997703,6.170137026997703,6.85123275449346,0.7451647373675092,523,0.5477113757027864,3,1.9033300128568704,3,6,2,2,1.08506822123688,0.9959731990518582,1.1011368372836763,0.7666114856637215,1.3178580643452613,0.729296181553597,0.6907420843884335,0.7626306511090186,1,1:2,0.3768218075675083,2
L8_ma2_mb3_den8,main,8,28,2,3,8,odd-even,1,4,8,0,8,2.5121479338940403e-15,15.53181393713202,41.21792747981941,6.170137026997703,6.170137026997703,6.848395870854546,0.5841307518828928,13,0.5757643729363952,3,1.896775812399987,2,7,2,2,1.0821716331665685,0.997277014783268,1.091636608684467,0.679792278188022,1.3141287808224358,0.7195351718510062,0.6526789353388944,0.7266229592333132,1,2:3,0.37682180756750827,2
L8_ma3_mb6_den8,main,8,28,3,6,8,odd-even,3,8,4,0,8,2.929642751054232e-14,23.02768268801046,47.34086239766084,5.334973070505991,5.334973070505991,6.789563254840927,0.8360175441272655,28,0.713730241126918,2,1.8222608913092924,24,9,6,14,1.2850291093422799,0.9391846123108251,5.615989265140237,1.050122601727525,1.3302703615152547,0.829482950141548,0.9081596245396458,0.9965755760686764,3,1:2,0.4864229657368532,1
L10_ma1_mb3_den10,main,10,45,1,3,10,odd-odd,1,10,10,0,10,1.2809491335957507e-14,18.789574831416882,76.23618079528833,8.061803505201143,8.061803505201143,8.951803456091216,0.8289112725064193,386,0.5910613340090506,2,1.8301874728337713,38,7,12,17,1.7271313767189453,0.8818309286175707,11.253372139856035,1.280640702211324,1.4228494732759154,0.9684318071617122,0.9797535169694223,0.999743297066539,1,1:3,0.24646532178561265,2
L10_ma1_mb5_den10,main,10,45,1,5,10,odd-odd,1,10,2,0,10,9.565974336450907e-14,35.51903656999398,79.48537775761741,8.373575488943613,7.729848188185324,8.77994211726522,0.8444370113465531,6,0.6462908566161041,2,1.882190969652685,43,13,32,36,4.743140616943615,0.5999165436038989,24.718958198223437,1.2604280736453002,1.4809173937122022,0.9719504011877248,0.9414025029261168,0.9994600101445362,1,1:5,0.4468625245552166,3
L10_ma3_mb5_den10,main,10,45,3,5,10,odd-odd,1,10,2,0,10,9.880860174216386e-14,27.5405979115336,76.23618079528838,8.191023268152279,8.191023268152279,8.875179843097975,0.9014431987230578,8,0.6244931614881223,2,1.8688356141912865,42,10,27,31,3.126520463793165,0.7229247561590729,20.282098716376787,1.153791200505114,1.4936587374506995,0.9558193308767972,0.9913971916103292,0.9959729011254065,1,3:5,0.36125364130564747,2
L10_ma2_mb4_den10,main,10,45,2,4,10,even-even,2,5,5,0,5,7.105427357601002e-15,18.78957483141688,76.23618079528836,8.061803505201143,7.734900892344284,8.937757746597512,0.8912629722684319,7,0.614930152789857,2,1.7952554431705137,38,6,11,17,1.7547687659015374,0.8756362856977545,11.286518331141114,1.2921942357265155,1.4618486533005886,0.8884886019449362,0.9788692454584232,0.9984332451303037,2,1:2,0.2464653217856125,2
L10_ma2_mb6_den10,main,10,45,2,6,10,even-even,2,5,5,0,5,1.4458497151625688e-14,21.88345124060608,79.48537775761744,7.821114911482862,7.821114911482862,8.893560165950465,0.9302671832834212,8,0.608652558421288,2,1.8535755162661498,40,8,13,21,2.04152934463052,0.8579915310008623,13.568350401487187,1.3443686320495962,1.4100783055346275,0.9333540338448889,0.9894102515963469,0.9964324239267751,2,1:3,0.27531417548693593,2
L10_ma4_mb6_den10,main,10,45,4,6,10,even-even,2,5,5,0,5,1.8848241525839821e-13,76.23618079528839,76.23618079528839,1.0615585059325929e-14,1.0615585059325929e-14,1.0615585059477848e-14,0.0,2,0.0,2,2.7306090780850424e-08,1,1,1,1,1.0,1.0,1.0,0.0,0.6841004367442981,2.1073425297697654e-12,1.7266653931007547e-11,1.7266653931007547e-11,2,2:3,1.0,-1
L10_ma1_mb2_den10,main,10,45,1,2,10,odd-even,1,10,5,0,10,3.972054645195637e-15,23.573334698749754,70.97886967409697,7.941060185742395,7.941060185742395,8.870404908892002,0.7269013147766702,8,0.5643499055992235,2,1.9184636823688297,42,11,21,28,2.6416912990599046,0.7738681890839473,17.441712906431775,1.3719424465754362,1.5055786980365216,0.9702646199999774,0.9937642014211675,0.9962354092672064,1,1:2,0.33211764017922374,2
L10_ma2_mb3_den10,main,10,45,2,3,10,odd-even,1,5,10,0,10,4.654136093024044e-15,18.506508083520405,70.97886967409698,8.037345383477192,8.037345383477192,8.909573528381086,0.920811926734462,9,0.5116862926841684,2,1.8539518776098851,39,6,13,19,1.6821039138121454,0.8632546597481462,12.34945316516468,1.3885654885569692,1.5142331920688088,0.9561956814758134,0.9824795238404311,0.9971287584211324,1,2:3,0.26073264012929426,3
L10_ma3_mb6_den10,main,10,45,3,6,10,odd-even,3,10,5,0,10,4.050716828981883e-14,33.97926332380346,78.24429495415067,7.164970670283662,7.164970670283662,8.741637630672507,0.8536950678254953,7,0.677644605278901,3,1.8816832633562908,43,13,34,35,4.519930376669781,0.6238819750398593,24.89132274579013,1.3145843132170265,1.45058261724044,0.9807943583493692,0.980736298142248,0.9995137917593141,3,1:2,0.4342714487198653,1
L12_ma1_mb3_den12,main,12,66,1,3,12,odd-odd,1,12,4,0,12,1.1234667099445444e-14,26.920745215554078,115.02943725152286,9.865757879355419,9.415687537198396,10.903830377319611,1.006648048897135,40,0.5796343366865203,2,1.815832296282808,46,5,7,11,1.6035195087260001,0.9027661977606453,8.85655258676837,1.4063395009391388,1.4498505970096067,0.9637161526987245,0.990358945614027,0.9971088241168578,1,1:3,0.23403352966675212,2
L12_ma1_mb5_den12,main,12,66,1,5,12,odd-odd,1,12,12,0,12,1.271637993994719e-14,18.211657082460505,118.6157391401951,10.203340928369443,10.203340928369443,10.970142559839259,0.982016322028195,11,0.36897202729915607,2,1.849245796016893,24,3,4,4,1.1371980900728993,0.9713636064331924,4.087282838618054,1.4026909679889257,1.5501802022965994,0.9554065368330875,0.9924143013859332,0.9987734158311038,1,1:5,0.15353491209910738,4
L12_ma3_mb5_den12,main,12,66,3,5,12,odd-odd,1,4,12,0,12,2.161031364628563e-14,26.92074521555406,115.0294372515229,9.865757879355419,9.865757879355419,10.906561847249089,0.889157698596665,10,0.5044289926092612,2,1.8485099658735678,46,5,9,12,1.5351901143352078,0.9049312573240055,9.385710299143533,1.3460815387915355,1.5029819208627138,0.8844315111729779,0.9879317484440884,0.9982096637382668,1,3:5,0.23403352966675187,3
L12_ma2_mb4_den12,main,12,66,2,4,12,even-even,2,6,3,0,6,7.786254904621032e-15,21.797958971132708,115.02943725152289,9.821054952661232,9.821054952661232,10.928765382109582,0.8912306004158739,10,0.40542322919900753,2,1.8594987933926668,33,4,4,6,1.2805111002496714,0.9499366688197594,5.78881354743124,1.3170574800555828,1.451843250408593,0.8880925859878998,0.9731743444618385,0.9958125697158696,2,1:2,0.18949896210888506,3
L12_ma2_mb6_den12,main,12,66,2,6,12,even-even,2,6,2,0,6,2.431533407636103e-13,49.21086678740026,118.61573914019516,10.521119257693202,9.801395859391397,10.739968807085933,0.5504046002532351,16,0.3121151446673463,3,1.9731346468957158,63,12,46,48,4.262710584063478,0.6134340081552928,29.769161410115192,1.3343569825357748,1.469145865512414,0.9766093951123295,0.9718651415809684,0.9998056534293387,2,1:3,0.41487636585256704,9
L12_ma4_mb6_den12,main,12,66,4,6,12,even-even,2,3,2,1,6,2.3515100257573227e-13,45.3928838708431,115.02943725152292,10.062873578006963,9.80638621520791,10.751295288236495,0.7799066801966487,9,0.6117308722242327,2,1.873812109725735,62,16,43,46,4.042775277604793,0.6455486167383309,27.134424899841147,1.2714571020053336,1.4960050972611139,0.9775546205532022,0.9909425156690076,0.9965170204188138,2,2:3,0.3946197160956912,2
