step,edge_index,i,j,a,b,a2,b2,ab,r2,theta,z2_re,z2_im,z2_phase_pi
5000,0,1,2,-0.15928360641221564,-0.07014923127559007,0.025371267271681625,0.0049209146485562245,0.011173622544620577,0.03029218192023785,-2.7267468639391392,0.0204503526231254,0.022347245089241154,0.2640990321750488
5000,1,1,3,-0.14937772173997169,-0.08932232741060543,0.02231370375222441,0.007978478174047395,0.013342765769108063,0.030292181926271804,-2.602672408031378,0.014335225578177015,0.026685531538216126,0.3430872840516794
5000,2,1,4,0.05683186302975715,-0.16450629557375723,0.003229860655433078,0.02706232128340038,-0.009349199257580517,0.030292181938833457,-1.2381635175961108,-0.023832460627967303,-0.018698398515161033,-0.7882393767258798
5000,3,1,5,0.15652948056693747,0.07609667292177287,0.024501478286555255,0.00579070362976328,0.011911372685317244,0.030292181916318536,0.4525056521368266,0.018710774656791974,0.023822745370634488,0.2880740452583905
5000,4,1,6,0.12297610759096476,-0.12316273340048946,0.015123123038224542,0.015169058898680041,-0.015146073553855902,0.030292181936904583,-0.7861563768228874,-4.593586045549945e-05,-0.030292147107711803,-0.5004826936583091
5000,5,1,7,0.01515984190077758,-0.17338500825386177,0.00022982080645657157,0.030062361087191715,-0.00262848931309356,0.030292181893648285,-1.4835835570333864,-0.029832540280735145,-0.00525697862618712,-0.9444786263668811
5000,6,1,8,-0.15932167555147952,-0.07006272648195698,0.025383396300530908,0.0049087856420855155,0.011162510976810402,0.030292181942616424,-2.7272898858053805,0.020474610658445393,0.022325021953620804,0.26375333371817183
5000,7,1,9,-0.019542196642087985,0.17294590043169022,0.00038189744959803493,0.029910284476128108,-0.00337974279467906,0.030292181925726143,1.6833150727244477,-0.029528387026530073,-0.00675948558935812,-0.9283683415792435
5000,8,1,10,0.15675190429934716,0.07563744066332867,0.02457115950147169,0.005721022430098565,0.011856312860305645,0.030292181931570253,0.4495738983155313,0.018850137071373126,0.02371262572061129,0.2862076328080397
5000,9,1,11,0.10822109221320159,-0.13630985704327042,0.01171180479981828,0.01858037712715682,-0.014751601608648093,0.0302921819269751,-0.8997648455434656,-0.006868572327338537,-0.029503203217296187,-0.572808091154233
