N,M,total_closure_residual,best_pair_residual,pair_hits_lt1e-6,pair_exact_cover_count_capped100,best_triple_residual,triple_hits_lt1e-6,triple_exact_cover_count_capped100,roundrobin_min,roundrobin_mean,roundrobin_max,hamilton_min,hamilton_mean,hamilton_max
3,3,1.7998372611042504e-15,0.47602425106811475,0,0,1.7998372611042504e-15,1,1,0.9999999999999998,1.0,1.0000000000000002,1.7998372611042504e-15,1.7998372611042504e-15,1.7998372611042504e-15
4,6,4.107004631837896e-15,0.49998955224545877,0,0,4.0202492576080064e-15,8,4,0.9999999999999997,0.9999999999999999,1.0000000000000002,,,
5,10,2.683486577255867e-15,1.879825521094725e-10,13,12,0.33333333207545784,0,0,0.08658395947735205,0.8165657031269493,1.0000000000000002,0.21724850436547935,0.21724850438759818,0.21724850440971705
6,15,3.906212482352837e-15,0.1763169474667994,0,0,0.11817918127314957,0,0,0.6374157247030899,0.7990123074942179,0.9982731156227079,,,
7,21,3.997892965516156e-15,0.013714266381916177,0,0,0.019342632661121552,0,0,0.23607273486770433,0.522912279857359,0.9358219386340176,0.09951837486374042,0.13691540326934182,0.1697177321524014
8,28,4.7900917174763284e-15,0.0005122277438287503,0,0,0.0032908732398394557,0,0,0.19748352087040294,0.3773670896067608,0.5743507131219039,,,
9,36,3.5000168788903737e-16,0.0032220868065559734,0,0,0.12599364921672135,0,0,0.23571913528134916,0.49196588381885914,0.8692204622043717,0.12493514002467374,0.2211313397640389,0.313057378498005
10,45,4.253663027666947e-15,0.00027353258139990104,0,0,0.006251782756417187,0,0,0.07207158230962506,0.4578964063087851,0.847809321168533,,,
11,55,5.2419807290137234e-15,4.4663943369469675e-05,0,0,0.025385958691943957,0,0,0.3143384717833137,0.5409425604895903,0.9634920792848592,0.09876014493076914,0.18061262502144754,0.27477630237071093
12,66,4.93162083690173e-16,1.0066286838361526e-05,0,0,0.021024447719860107,0,0,0.20843323874793657,0.402739978272249,0.9669117785248094,,,
13,78,6.451305766912988e-16,0.0005007552158206244,0,0,0.010018623498834143,0,0,0.030225106463824165,0.3315899434245427,0.6605704158573817,0.0642317603653648,0.17870662000361134,0.44341181998488627
14,91,3.966169817156289e-15,0.0001558292115537193,0,0,0.007225499896400858,0,0,0.11931217741801341,0.30560934178835514,0.7517852682984475,,,
15,105,1.1032964046397748e-15,2.543654732514777e-05,0,0,0.002756969816414222,0,0,0.1589915434053978,0.42516989934415556,0.7079916492981161,0.03683203470953276,0.13028480015347768,0.2742457326033078
16,120,4.33680868994177e-16,0.00013248572973898525,0,0,0.008069473407810413,0,0,0.03887993715260885,0.3108578022988604,0.7425728092997512,,,
