m,parity,max_algebraic_self_consistency_residual_abs,max_transition_residual_abs,loop_closure_residual_abs,max_static_exp_crosscheck_residual_abs,global_sum_re_over_4_unique_states,global_sum_im_over_4_unique_states,global_sum_a2_over_4_unique_states,global_sum_b2_over_4_unique_states,global_sum_ab_over_4_unique_states,global_quadratic_sum_re,global_quadratic_sum_im,global_quadratic_sum_abs,global_quadratic_closed,base_generator,base_minimal_order,harmonic_generator,harmonic_minimal_order,pair_state_minimal_loop_order,pair_state_U4_closure
2,even,0.0,0.0,0.0,4.002966042486721e-16,0.0,0.0,6.0,2.0,0.0,4.0,0.0,4.0,False,i,4,(-1+0j),2,4,True
3,odd,0.0,0.0,0.0,5.51091059616309e-16,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,True,i,4,(-0-1j),4,4,True
