t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(45.54749628098898),np.float64(45.54749628098899),np.float64(-1.0827366859659904e-13),np.float64(1.136806487333139e-14),np.float64(3.944304526105059e-31)
1,np.float64(45.54749628098901),np.float64(45.54749628098901),np.float64(-1.0813256050621687e-13),np.float64(1.2462300564294976e-14),np.float64(7.888609052210118e-31)
2,np.float64(45.54749628098905),np.float64(45.54749628098905),np.float64(-1.0995871198411494e-13),np.float64(1.7215411335435058e-14),np.float64(7.888609052210118e-31)
3,np.float64(45.54749628098911),np.float64(45.54749628098911),np.float64(-1.0608914980744556e-13),np.float64(1.4162368402383894e-14),np.float64(7.888609052210118e-31)
4,np.float64(45.547496280988994),np.float64(45.547496280988994),np.float64(-1.0194738062806293e-13),np.float64(1.2645533316053287e-14),np.float64(7.888609052210118e-31)
5,np.float64(45.54749628098907),np.float64(45.547496280989066),np.float64(-9.962184211613193e-14),np.float64(6.2639686963933865e-15),np.float64(5.17689969051289e-31)
6,np.float64(45.54749628098908),np.float64(45.54749628098908),np.float64(-9.742501819808364e-14),np.float64(9.77805295779423e-15),np.float64(5.9164567891575885e-31)
7,np.float64(45.54749628098911),np.float64(45.54749628098911),np.float64(-9.542648731173929e-14),np.float64(2.888809298123362e-14),np.float64(1.5777218104420236e-30)
8,np.float64(45.547496280989044),np.float64(45.54749628098905),np.float64(-9.411402754813687e-14),np.float64(3.9726018859839494e-14),np.float64(7.888609052210118e-31)
9,np.float64(45.547496280989094),np.float64(45.5474962809891),np.float64(-9.336268094855073e-14),np.float64(4.3122590437631326e-14),np.float64(3.1554436208840472e-30)
10,np.float64(45.54749628098901),np.float64(45.54749628098901),np.float64(-9.402281576854417e-14),np.float64(3.647280694518554e-14),np.float64(3.1554436208840472e-30)
11,np.float64(45.54749628098894),np.float64(45.54749628098894),np.float64(-9.19343789676041e-14),np.float64(4.853767199509189e-14),np.float64(7.888609052210118e-31)
12,np.float64(45.547496280988895),np.float64(45.547496280988895),np.float64(-9.404376070546109e-14),np.float64(4.860179475953741e-14),np.float64(3.1554436208840472e-30)
13,np.float64(45.54749628098885),np.float64(45.54749628098885),np.float64(-9.906439264408529e-14),np.float64(5.908477535497445e-14),np.float64(3.1554436208840472e-30)
14,np.float64(45.54749628098895),np.float64(45.547496280988945),np.float64(-1.090973247814401e-13),np.float64(4.9931095047446986e-14),np.float64(1.5777218104420236e-30)
15,np.float64(45.54749628098891),np.float64(45.54749628098891),np.float64(-1.0965285371723461e-13),np.float64(3.105507271092758e-14),np.float64(1.5777218104420236e-30)
16,np.float64(45.54749628098894),np.float64(45.54749628098894),np.float64(-1.0673259595891287e-13),np.float64(3.1662775968498013e-14),np.float64(1.5777218104420236e-30)
17,np.float64(45.54749628098887),np.float64(45.54749628098887),np.float64(-1.0776288530926012e-13),np.float64(4.5518726271989175e-14),np.float64(1.5777218104420236e-30)
18,np.float64(45.54749628098878),np.float64(45.54749628098878),np.float64(-1.0841143532053544e-13),np.float64(5.218539726070729e-14),np.float64(3.1554436208840472e-30)
19,np.float64(45.54749628098876),np.float64(45.54749628098877),np.float64(-1.0702441947726903e-13),np.float64(6.882322921264977e-14),np.float64(6.310887241768095e-30)
20,np.float64(45.54749628098877),np.float64(45.54749628098877),np.float64(-1.0701007344423403e-13),np.float64(8.328608306374588e-14),np.float64(6.310887241768095e-30)
21,np.float64(45.54749628098878),np.float64(45.54749628098878),np.float64(-1.064543714224459e-13),np.float64(9.487425670988445e-14),np.float64(6.310887241768095e-30)
22,np.float64(45.547496280988724),np.float64(45.547496280988724),np.float64(-1.0933104815545856e-13),np.float64(8.71082250772123e-14),np.float64(3.1554436208840472e-30)
23,np.float64(45.5474962809887),np.float64(45.54749628098871),np.float64(-1.0945275303698524e-13),np.float64(8.919086745060118e-14),np.float64(6.310887241768095e-30)
24,np.float64(45.54749628098861),np.float64(45.54749628098861),np.float64(-1.0883738913509648e-13),np.float64(6.842383809634091e-14),np.float64(3.1554436208840472e-30)
25,np.float64(45.547496280988554),np.float64(45.547496280988554),np.float64(-1.1235252522310843e-13),np.float64(6.743843648715949e-14),np.float64(3.1554436208840472e-30)
26,np.float64(45.547496280988554),np.float64(45.547496280988554),np.float64(-1.1184597410434696e-13),np.float64(6.848825946263401e-14),np.float64(3.1554436208840472e-30)
27,np.float64(45.547496280988504),np.float64(45.547496280988504),np.float64(-1.0996832314217756e-13),np.float64(6.622889916178117e-14),np.float64(6.310887241768095e-30)
28,np.float64(45.5474962809885),np.float64(45.5474962809885),np.float64(-1.0825584718600384e-13),np.float64(7.318041381912882e-14),np.float64(3.1554436208840472e-30)
29,np.float64(45.54749628098837),np.float64(45.547496280988376),np.float64(-1.0676528692328391e-13),np.float64(8.407072961544492e-14),np.float64(3.1554436208840472e-30)
30,np.float64(45.547496280988256),np.float64(45.547496280988256),np.float64(-1.0754160490590391e-13),np.float64(9.872382854990339e-14),np.float64(3.1554436208840472e-30)
31,np.float64(45.54749628098822),np.float64(45.54749628098822),np.float64(-1.0704983345867688e-13),np.float64(1.0113136375757408e-13),np.float64(6.310887241768095e-30)
32,np.float64(45.5474962809882),np.float64(45.54749628098819),np.float64(-1.070916273354074e-13),np.float64(9.157043757315706e-14),np.float64(3.1554436208840472e-30)
33,np.float64(45.54749628098804),np.float64(45.54749628098805),np.float64(-1.0946911490319261e-13),np.float64(8.686685608525384e-14),np.float64(3.1554436208840472e-30)
34,np.float64(45.547496280987986),np.float64(45.547496280987986),np.float64(-1.1455589705578942e-13),np.float64(7.216854197213757e-14),np.float64(6.310887241768095e-30)
35,np.float64(45.54749628098794),np.float64(45.54749628098794),np.float64(-1.162258514321323e-13),np.float64(7.488614808018085e-14),np.float64(3.1554436208840472e-30)
36,np.float64(45.54749628098793),np.float64(45.547496280987936),np.float64(-1.1761328462664122e-13),np.float64(6.333393988155274e-14),np.float64(3.1554436208840472e-30)
