step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,5.482866548426587e-32,2.249653040681814e-32,1.0,3.249353604749327e-12
25,6.524883867819166e-23,2.6771989986784207e-23,1.0000000000000004,3.595863159937049e-12
50,2.4154497581619135e-22,9.910735278834115e-23,0.9999999999999999,4.109349774309401e-12
75,4.702812421950087e-22,1.9295921524539405e-22,1.0,4.4118765305047715e-12
100,7.062425467122809e-22,2.897755541991217e-22,1.0000000000000002,4.573249587568537e-12
125,9.35905120523834e-22,3.8400748615344545e-22,1.0000000000000002,4.562828346178886e-12
150,1.141176830907357e-21,4.682317005040155e-22,1.0000000000000002,4.17362652016802e-12
200,1.6301331329633835e-21,6.688534048561943e-22,0.9999999999999998,3.329407393208499e-12
300,3.548569165915724e-21,1.4559992193249583e-21,1.0,4.866311179426046e-12
500,5.581789454160183e-21,2.2902417024176334e-21,1.0000000000000007,5.120862616527629e-12
750,4.807513271529201e-21,1.9725515392158198e-21,0.9999999999999999,4.575468406228281e-12
1000,3.651271959431374e-21,1.4981387916961342e-21,0.9999999999999997,3.5291097694180257e-12
1500,3.864597272982792e-21,1.585667447746117e-21,0.9999999999999997,4.241341241529136e-12
2000,8.739940146040606e-21,3.586049879430105e-21,1.0000000000000004,5.700053051869419e-12
3000,1.2383744592476004e-20,5.0811247057403644e-21,1.0,1.3064589840737685e-11
4000,1.743260476667966e-20,7.152702327145012e-21,0.9999999999999997,5.260633850883214e-11
5000,4.950923073398777e-20,2.0313934413459408e-20,1.0000000000000002,3.230280215021295e-10
7500,1.6524349780392199e-16,6.780039856962235e-17,0.999999999999907,3.213539980995126e-08
10000,8.738012559367397e-13,3.585258979052076e-13,0.9999999991311629,3.1024425776030446e-06
15000,2.31561542569537e-05,9.501109022903946e-06,0.9887334630043663,0.011248034244174256
20000,2.288741768440479,0.9390844794830366,0.21162672406136987,0.16276530414244408
25000,2.375838520028292,0.9748207992179349,0.18315189073825341,0.18531042893015356
30000,2.363231989187332,0.969648263976415,0.18188014462657642,0.1893451742102174
35000,2.360971174572896,0.9687206381735046,0.18182139969438915,0.19017280050585572
40000,2.361537015732203,0.9689528061960634,0.1818183210171106,0.19036003372177981
