t,H,Q2_re,Q2_im,generator_norm
0,np.float64(115.02943725152289),np.float64(-21.797958971132708),np.float64(8.513197950573756e-15),np.float64(9.821054952661232)
1,np.float64(115.029437251523),np.float64(-21.797958971132758),np.float64(7.049916206369744e-15),np.float64(10.85469741819127)
2,np.float64(115.02943725152312),np.float64(-21.797958971132797),np.float64(2.015054789694659e-14),np.float64(10.933325227957525)
3,np.float64(115.02943725152289),np.float64(-21.797958971132786),np.float64(-2.3314683517128287e-15),np.float64(10.959648643458033)
4,np.float64(115.02943725152286),np.float64(-21.79795897113285),np.float64(3.1086244689504383e-15),np.float64(10.918910723022812)
5,np.float64(115.02943725152265),np.float64(-21.79795897113281),np.float64(-9.325873406851315e-15),np.float64(10.92856802831071)
6,np.float64(115.02943725152267),np.float64(-21.797958971132868),np.float64(-1.2434497875801753e-14),np.float64(10.927131273846074)
7,np.float64(115.02943725152323),np.float64(-21.797958971133042),np.float64(1.4876988529977098e-14),np.float64(10.92608417044748)
8,np.float64(115.02943725152343),np.float64(-21.797958971133028),np.float64(4.707345624410664e-14),np.float64(10.938950920849166)
9,np.float64(115.0294372515232),np.float64(-21.797958971132935),np.float64(6.394884621840902e-14),np.float64(10.94718269743174)
10,np.float64(115.02943725152298),np.float64(-21.797958971132886),np.float64(4.218847493575595e-14),np.float64(10.95881380278398)
11,np.float64(115.02943725152289),np.float64(-21.797958971132857),np.float64(4.163336342344337e-14),np.float64(10.963398754077831)
12,np.float64(115.02943725152267),np.float64(-21.797958971132783),np.float64(3.8941072588727366e-14),np.float64(10.96100555638911)
13,np.float64(115.02943725152258),np.float64(-21.797958971132772),np.float64(4.2299497238218464e-14),np.float64(10.951336750721252)
14,np.float64(115.02943725152235),np.float64(-21.797958971132772),np.float64(3.4638958368304884e-14),np.float64(10.945495996359083)
15,np.float64(115.02943725152232),np.float64(-21.79795897113285),np.float64(1.6431300764452317e-14),np.float64(10.926271447008302)
16,np.float64(115.02943725152264),np.float64(-21.797958971132914),np.float64(-5.329070518200751e-15),np.float64(10.928676637637764)
17,np.float64(115.02943725152282),np.float64(-21.79795897113288),np.float64(4.39648317751562e-14),np.float64(10.924835773596039)
18,np.float64(115.02943725152286),np.float64(-21.797958971132992),np.float64(3.907985046680551e-14),np.float64(10.931052427972409)
19,np.float64(115.02943725152332),np.float64(-21.797958971133014),np.float64(3.574918139293004e-14),np.float64(10.946207549506175)
20,np.float64(115.02943725152329),np.float64(-21.79795897113304),np.float64(2.042810365310288e-14),np.float64(10.952920228728814)
21,np.float64(115.02943725152318),np.float64(-21.797958971132985),np.float64(2.353672812205332e-14),np.float64(10.961434166499982)
22,np.float64(115.029437251523),np.float64(-21.7979589711331),np.float64(4.440892098500626e-16),np.float64(10.963366288111544)
23,np.float64(115.029437251523),np.float64(-21.797958971133095),np.float64(-1.3322676295501878e-15),np.float64(10.957493073757009)
24,np.float64(115.0294372515229),np.float64(-21.79795897113297),np.float64(7.105427357601002e-15),np.float64(10.94414587431297)
25,np.float64(115.029437251523),np.float64(-21.797958971132985),np.float64(2.0650148258027912e-14),np.float64(10.939971594338033)
26,np.float64(115.0294372515227),np.float64(-21.797958971132854),np.float64(3.952393967665557e-14),np.float64(10.922427703409937)
27,np.float64(115.02943725152258),np.float64(-21.797958971132914),np.float64(1.8207657603852567e-14),np.float64(10.927420479083999)
28,np.float64(115.02943725152232),np.float64(-21.7979589711329),np.float64(3.68594044175552e-14),np.float64(10.929459640652443)
29,np.float64(115.02943725152215),np.float64(-21.79795897113284),np.float64(2.1760371282653068e-14),np.float64(10.936894676693763)
30,np.float64(115.02943725152235),np.float64(-21.797958971132868),np.float64(3.774758283725532e-14),np.float64(10.952408583014286)
31,np.float64(115.02943725152213),np.float64(-21.797958971132903),np.float64(4.929390229335695e-14),np.float64(10.95854395186217)
32,np.float64(115.02943725152227),np.float64(-21.797958971133),np.float64(1.5765166949677223e-14),np.float64(10.962184215360661)
33,np.float64(115.02943725152225),np.float64(-21.797958971132864),np.float64(5.256906021600116e-14),np.float64(10.960444977595964)
34,np.float64(115.02943725152228),np.float64(-21.797958971132868),np.float64(6.9111383282916e-14),np.float64(10.952677182247264)
35,np.float64(115.0294372515221),np.float64(-21.797958971132644),np.float64(1.0258460747536446e-13),np.float64(10.936542369672638)
36,np.float64(115.02943725152227),np.float64(-21.797958971132577),np.float64(1.4788170688007085e-13),np.float64(10.934855998019431)
37,np.float64(115.02943725152218),np.float64(-21.79795897113258),np.float64(1.2856382625159313e-13),np.float64(10.920971755187923)
38,np.float64(115.02943725152201),np.float64(-21.797958971132545),np.float64(1.2967404927621828e-13),np.float64(10.928423601889492)
39,np.float64(115.0294372515221),np.float64(-21.797958971132694),np.float64(1.3944401189291966e-13),np.float64(10.935850319099112)
40,np.float64(115.02943725152176),np.float64(-21.79795897113258),np.float64(1.8562928971732617e-13),np.float64(10.943980521340949)
41,np.float64(115.02943725152176),np.float64(-21.79795897113258),np.float64(1.6253665080512292e-13),np.float64(10.9577536732875)
42,np.float64(115.0294372515215),np.float64(-21.797958971132616),np.float64(1.3067324999838092e-13),np.float64(10.962244398870144)
43,np.float64(115.02943725152167),np.float64(-21.797958971132815),np.float64(9.769962616701378e-14),np.float64(10.960838874182894)
44,np.float64(115.02943725152181),np.float64(-21.797958971132708),np.float64(1.3261614029147495e-13),np.float64(10.955085596975264)
45,np.float64(115.02943725152187),np.float64(-21.797958971132758),np.float64(1.4854784069484595e-13),np.float64(10.946772517148794)
46,np.float64(115.02943725152164),np.float64(-21.797958971132772),np.float64(1.3433698597964394e-13),np.float64(10.92942220119867)
47,np.float64(115.02943725152153),np.float64(-21.797958971132605),np.float64(1.5298873279334657e-13),np.float64(10.930886590482226)
48,np.float64(115.02943725152167),np.float64(-21.79795897113257),np.float64(1.4099832412739488e-13),np.float64(10.922159493262352)
49,np.float64(115.02943725152124),np.float64(-21.79795897113248),np.float64(1.503241975342462e-13),np.float64(10.931790560194697)
50,np.float64(115.02943725152136),np.float64(-21.797958971132452),np.float64(1.6919798895287386e-13),np.float64(10.943357351703487)
51,np.float64(115.02943725152154),np.float64(-21.797958971132367),np.float64(1.8074430840897548e-13),np.float64(10.951402981154033)
52,np.float64(115.02943725152154),np.float64(-21.797958971132445),np.float64(1.475486399726833e-13),np.float64(10.961507117361368)
53,np.float64(115.0294372515216),np.float64(-21.797958971132502),np.float64(1.5593082380860324e-13),np.float64(10.963338725538932)
54,np.float64(115.02943725152163),np.float64(-21.79795897113266),np.float64(1.2040368702059823e-13),np.float64(10.957372647243599)
55,np.float64(115.02943725152181),np.float64(-21.797958971132587),np.float64(1.5643042416968456e-13),np.float64(10.947811190349857)
56,np.float64(115.02943725152166),np.float64(-21.79795897113268),np.float64(1.624256285026604e-13),np.float64(10.940402334373118)
57,np.float64(115.02943725152156),np.float64(-21.797958971132687),np.float64(1.3988810110276972e-13),np.float64(10.923677331144946)
58,np.float64(115.02943725152168),np.float64(-21.79795897113268),np.float64(1.5187850976872141e-13),np.float64(10.928659617502456)
59,np.float64(115.02943725152164),np.float64(-21.797958971132726),np.float64(1.412203687323199e-13),np.float64(10.92599165451926)
60,np.float64(115.0294372515219),np.float64(-21.797958971132818),np.float64(1.3500311979441904e-13),np.float64(10.937312388856158)
61,np.float64(115.02943725152201),np.float64(-21.797958971132886),np.float64(1.4588330543574557e-13),np.float64(10.951112451590719)
62,np.float64(115.02943725152224),np.float64(-21.7979589711328),np.float64(1.6187051699034782e-13),np.float64(10.958091730879556)
63,np.float64(115.0294372515227),np.float64(-21.797958971132736),np.float64(1.8962609260597674e-13),np.float64(10.963077192115925)
64,np.float64(115.02943725152304),np.float64(-21.797958971132857),np.float64(1.5727696922596124e-13),np.float64(10.96147274280653)
65,np.float64(115.02943725152315),np.float64(-21.797958971132854),np.float64(1.636746294053637e-13),np.float64(10.952044129119695)
66,np.float64(115.02943725152359),np.float64(-21.797958971133014),np.float64(1.3178347302300608e-13),np.float64(10.939437826949018)
67,np.float64(115.02943725152355),np.float64(-21.79795897113305),np.float64(9.969802761133906e-14),np.float64(10.934290181327901)
68,np.float64(115.02943725152366),np.float64(-21.797958971133042),np.float64(9.325873406851315e-14),np.float64(10.920063696806734)
69,np.float64(115.02943725152346),np.float64(-21.797958971133),np.float64(9.814371537686384e-14),np.float64(10.92861692046412)
70,np.float64(115.02943725152366),np.float64(-21.797958971133014),np.float64(9.57012247226885e-14),np.float64(10.932130714935791)
71,np.float64(115.02943725152369),np.float64(-21.79795897113297),np.float64(1.0347278589506459e-13),np.float64(10.944424229399823)
72,np.float64(115.02943725152373),np.float64(-21.797958971132864),np.float64(1.2789769243681803e-13),np.float64(10.958150754992571)
73,np.float64(115.02943725152365),np.float64(-21.7979589711329),np.float64(1.0724754417879012e-13),np.float64(10.962984429508156)
74,np.float64(115.02943725152363),np.float64(-21.797958971132807),np.float64(1.4199752484955752e-13),np.float64(10.962131705036747)
75,np.float64(115.02943725152394),np.float64(-21.797958971132864),np.float64(1.322830733840874e-13),np.float64(10.956725702677941)
76,np.float64(115.02943725152383),np.float64(-21.797958971132775),np.float64(1.3261614029147495e-13),np.float64(10.945378714004189)
77,np.float64(115.02943725152429),np.float64(-21.79795897113268),np.float64(1.7408297026122455e-13),np.float64(10.930955576798715)
78,np.float64(115.0294372515244),np.float64(-21.79795897113273),np.float64(1.865174681370263e-13),np.float64(10.929162048597295)
79,np.float64(115.0294372515244),np.float64(-21.797958971132694),np.float64(1.9806378759312793e-13),np.float64(10.919083957812628)
80,np.float64(115.02943725152446),np.float64(-21.797958971132793),np.float64(1.8851586958135158e-13),np.float64(10.93096047352878)
81,np.float64(115.02943725152437),np.float64(-21.797958971132758),np.float64(2.0738966099997924e-13),np.float64(10.939928269191608)
82,np.float64(115.029437251524),np.float64(-21.797958971132676),np.float64(2.2160051571518125e-13),np.float64(10.952245901500604)
83,np.float64(115.02943725152387),np.float64(-21.7979589711326),np.float64(2.595701431573616e-13),np.float64(10.963553994706857)
84,np.float64(115.02943725152402),np.float64(-21.79795897113266),np.float64(2.44582132324922e-13),np.float64(10.965239468383121)
85,np.float64(115.02943725152406),np.float64(-21.797958971132772),np.float64(2.617905892066119e-13),np.float64(10.958676204083273)
86,np.float64(115.029437251524),np.float64(-21.797958971132715),np.float64(2.6789681584205027e-13),np.float64(10.94961141947174)
87,np.float64(115.02943725152389),np.float64(-21.797958971132676),np.float64(2.6689761511988763e-13),np.float64(10.938086372247522)
88,np.float64(115.02943725152377),np.float64(-21.797958971132598),np.float64(2.6645352591003757e-13),np.float64(10.923371351415732)
89,np.float64(115.02943725152386),np.float64(-21.797958971132555),np.float64(2.5623947408348613e-13),np.float64(10.9256501664735)
90,np.float64(115.02943725152394),np.float64(-21.797958971132566),np.float64(2.595701431573616e-13),np.float64(10.920915319045932)
91,np.float64(115.029437251524),np.float64(-21.797958971132527),np.float64(2.5868196473766147e-13),np.float64(10.935590647189226)
92,np.float64(115.02943725152389),np.float64(-21.79795897113248),np.float64(2.517985819849855e-13),np.float64(10.948507266779718)
93,np.float64(115.02943725152383),np.float64(-21.797958971132456),np.float64(2.753353101070388e-13),np.float64(10.959707724707316)
94,np.float64(115.02943725152375),np.float64(-21.797958971132445),np.float64(2.715605518233133e-13),np.float64(10.966602501805255)
95,np.float64(115.02943725152377),np.float64(-21.79795897113238),np.float64(3.06588088250237e-13),np.float64(10.964414543039288)
96,np.float64(115.02943725152358),np.float64(-21.797958971132324),np.float64(3.141098492420724e-13),np.float64(10.953055409626243)
97,np.float64(115.02943725152358),np.float64(-21.797958971132342),np.float64(3.249622793077833e-13),np.float64(10.94097480155231)
98,np.float64(115.02943725152352),np.float64(-21.797958971132346),np.float64(3.219646771412954e-13),np.float64(10.930941273748118)
99,np.float64(115.02943725152352),np.float64(-21.79795897113228),np.float64(3.3639757646142243e-13),np.float64(10.917556904283948)
100,np.float64(115.02943725152323),np.float64(-21.79795897113221),np.float64(3.659295089164516e-13),np.float64(10.924219468849145)
101,np.float64(115.02943725152346),np.float64(-21.79795897113226),np.float64(3.603783937933258e-13),np.float64(10.925397861438652)
102,np.float64(115.02943725152352),np.float64(-21.797958971132125),np.float64(4.0878411766698264e-13),np.float64(10.942088951388639)
103,np.float64(115.0294372515236),np.float64(-21.797958971132118),np.float64(3.907985046680551e-13),np.float64(10.956882410746507)
104,np.float64(115.02943725152352),np.float64(-21.797958971132353),np.float64(3.695932448977146e-13),np.float64(10.965738214120421)
105,np.float64(115.02943725152355),np.float64(-21.797958971132367),np.float64(3.7347902548390266e-13),np.float64(10.966892771286615)
106,np.float64(115.02943725152346),np.float64(-21.797958971132516),np.float64(3.689271110829395e-13),np.float64(10.96054560942084)
107,np.float64(115.02943725152352),np.float64(-21.7979589711325),np.float64(3.6637359812630166e-13),np.float64(10.945872984908895)
108,np.float64(115.02943725152315),np.float64(-21.797958971132534),np.float64(3.7547742692822794e-13),np.float64(10.931823861072003)
109,np.float64(115.02943725152326),np.float64(-21.79795897113255),np.float64(3.8613556796462944e-13),np.float64(10.92466829750173)
110,np.float64(115.02943725152356),np.float64(-21.797958971132594),np.float64(3.892441924335799e-13),np.float64(10.914140963931022)
111,np.float64(115.02943725152376),np.float64(-21.797958971132644),np.float64(3.9190872769268026e-13),np.float64(10.9251225347449)
112,np.float64(115.02943725152349),np.float64(-21.797958971132573),np.float64(3.959055305813308e-13),np.float64(10.932076520968103)
113,np.float64(115.0294372515236),np.float64(-21.797958971132594),np.float64(3.772537837676282e-13),np.float64(10.949757807605124)
114,np.float64(115.02943725152349),np.float64(-21.797958971132605),np.float64(3.82804898890754e-13),np.float64(10.964094032959718)
115,np.float64(115.02943725152353),np.float64(-21.79795897113268),np.float64(3.4727776210274897e-13),np.float64(10.96945968044265)
116,np.float64(115.02943725152373),np.float64(-21.797958971132715),np.float64(3.461675390781238e-13),np.float64(10.964383109764587)
117,np.float64(115.0294372515239),np.float64(-21.797958971132694),np.float64(3.436695372727172e-13),np.float64(10.954103459806351)
118,np.float64(115.02943725152406),np.float64(-21.797958971132708),np.float64(3.3717473257866004e-13),np.float64(10.937863691126937)
119,np.float64(115.02943725152409),np.float64(-21.7979589711327),np.float64(3.8458125573015423e-13),np.float64(10.923157950139702)
120,np.float64(115.02943725152412),np.float64(-21.79795897113269),np.float64(3.694822225952521e-13),np.float64(10.919870942592635)
121,np.float64(115.02943725152399),np.float64(-21.797958971132665),np.float64(3.9879211044535623e-13),np.float64(10.913463422379943)
122,np.float64(115.02943725152409),np.float64(-21.7979589711327),np.float64(3.765876499528531e-13),np.float64(10.928378909832755)
123,np.float64(115.02943725152437),np.float64(-21.797958971132743),np.float64(3.597122599785507e-13),np.float64(10.94027449870503)
124,np.float64(115.02943725152468),np.float64(-21.797958971132793),np.float64(3.665956427312267e-13),np.float64(10.9577120812465)
125,np.float64(115.02943725152522),np.float64(-21.79795897113285),np.float64(4.0445424787094453e-13),np.float64(10.969329539387871)
126,np.float64(115.02943725152525),np.float64(-21.797958971132864),np.float64(3.9890313274781874e-13),np.float64(10.97033281009423)
127,np.float64(115.02943725152528),np.float64(-21.797958971132857),np.float64(4.0401015866109447e-13),np.float64(10.959356491200111)
128,np.float64(115.02943725152508),np.float64(-21.797958971132722),np.float64(4.1944225870338414e-13),np.float64(10.945859507049327)
129,np.float64(115.02943725152508),np.float64(-21.797958971132733),np.float64(4.2099657093785936e-13),np.float64(10.929772779661302)
130,np.float64(115.02943725152554),np.float64(-21.79795897113285),np.float64(4.134470543704083e-13),np.float64(10.915841483851327)
