関係ID,関係辺,標本数,実効振幅,最小振幅,最大振幅,時間位相セル数,検出周波数セル数,支配周波数セル,支配符号付き倍数k,支配成分種別,支配強度比,実効周波数セル数,関係標本列の閉塞絶対値,関係標本列の閉塞相対値
1,"(1,2)",144,0.3188602590072227,0.20101076407604718,0.41146881579716976,120,144,1,1,基底波,0.8483617992363881,1.6611354860621403,2.9049078195635327,0.19841252065162807
2,"(1,3)",144,0.35799585369976406,0.19803314841438263,0.42666942397339275,119,144,1,1,基底波,0.8438802845971881,1.654597073795457,0.6850320406134253,0.037118669393526524
3,"(1,4)",144,0.25873777010429316,0.2312373486001997,0.28363124939478185,130,144,1,1,基底波,0.9452259494289567,1.373773334364235,0.7865899652493231,0.08159550746302471
4,"(1,5)",144,0.18337268818349065,0.1138663926429992,0.22795869032601762,109,144,2,2,倍音,0.4357062022797908,6.458735980546702,0.6798020779362072,0.140394693269532
5,"(2,3)",144,0.42007586142998343,0.3848432955175342,0.45409040976516996,123,144,1,1,基底波,0.9368260913841512,1.4621503541191219,4.923421345621944,0.19375327800230097
6,"(2,4)",144,0.32364950204419624,0.2351715187299761,0.45558421515879766,123,144,1,1,基底波,0.8594938934720966,1.6779057217295643,2.861264733106805,0.18969053591924856
7,"(2,5)",144,0.3952789254532937,0.3036945041903411,0.5340428010905744,125,144,1,1,基底波,0.8913086104302006,1.765286284333399,5.7027398381641605,0.2534625189623546
8,"(3,4)",144,0.19520795865648227,0.12486145082924513,0.24160086410878226,117,144,1,1,基底波,0.5514630668858682,4.461487416287606,0.17657290858763872,0.032178555080058444
9,"(3,5)",144,0.26580367708586067,0.225883864695607,0.30695031757115193,123,144,1,1,基底波,0.8729231850974781,1.788951895437587,1.5127277198558056,0.14868813148422513
10,"(4,5)",144,0.35125550130515776,0.28203182707860897,0.4045269468531079,100,144,1,1,基底波,0.669886916469095,2.8956392686666064,0.4789363397799661,0.026956842990285102
