関係ID,関係辺,周波数セル,符号付き倍数k,成分種別,振幅,強度,関係内強度比,絶対位相度,絶対位相セル,絶対位相セル誤差度,同周波数基準関係への相対位相度,相対位相セル
1,"(1,2)",0,0,直流成分,1.4237729837371558,2.027129509219803,0.13845805119972152,89.48154077713646,36,-0.5184592228635342,-60.08201973615805,120
2,"(1,3)",0,0,直流成分,1.6194015847840448,2.622461492801076,0.142098873304335,-128.69789071577307,93,-1.1978907157730725,81.73854877093241,33
3,"(1,4)",0,0,直流成分,0.36803192943543045,0.13544750108396567,0.014050405006173302,-101.48930300039878,103,1.0106969996012052,108.94713648630672,44
4,"(1,5)",0,0,直流成分,0.6504285074307067,0.42305724327853683,0.08737100669927285,133.81496888500416,54,-1.1850311149958277,-15.748591628290358,138
5,"(2,3)",0,0,直流成分,0.8158256472349462,0.6655714866863189,0.02619248856387465,89.75805302611488,36,-0.24194697388511363,-59.80550748717963,120
6,"(2,4)",0,0,直流成分,1.3145799699121141,1.7281204972941349,0.11456755450545951,-130.89177433710088,92,-0.8917743371008712,79.54466514960463,32
7,"(2,5)",0,0,直流成分,0.9426953848148228,0.8886745885511669,0.039497803887985974,-0.5701053527208801,0,-0.5701053527208801,-150.13366586601538,84
8,"(3,4)",0,0,直流成分,0.6909975701402795,0.4774776419397705,0.08701527727867396,-159.44620329859077,80,0.5537967014092136,50.990236188114714,20
9,"(3,5)",0,0,直流成分,0.740267622385558,0.5479961527523671,0.05386331125145263,171.8895907104885,69,-0.6104092895114928,22.32603019719399,9
10,"(4,5)",0,0,直流成分,2.072277319371829,4.2943332883828935,0.24170575207568476,149.56356051329453,60,-0.4364394867054883,-6.330088145936928e-15,0
1,"(1,2)",1,1,基底波,3.524294505704479,12.420651762938778,0.8483617992363881,-174.86803528315605,74,0.13196471684394512,-136.8053351756136,89
2,"(1,3)",1,1,基底波,3.946386920417983,15.573969725646133,0.8438802845971881,67.22231529202813,27,-0.27768470797186495,105.28501539957061,42
3,"(1,4)",1,1,基底波,3.018623126054365,9.112085577150227,0.9452259494289567,-43.40137017218831,127,-0.9013701721883273,-5.338670064645839,142
4,"(1,5)",1,1,基底波,1.1142678402083446,1.241592819722569,0.25641734373598224,53.59384806475607,21,1.0938480647560693,91.65654817229854,37
5,"(2,3)",1,1,基底波,4.879085869453944,23.805478921505152,0.9368260913841512,-38.06270010754248,129,-0.5627001075424977,-1.4989100033040874e-15,0
6,"(2,4)",1,1,基底波,3.60062246611341,12.964482143480614,0.8594938934720966,-124.35342849924179,94,0.6465715007581967,-86.29072839169929,109
7,"(2,5)",1,1,基底波,4.478153307122238,20.053857042089835,0.8913086104302006,-113.02856653211198,99,-0.5285665321119855,-74.9658664245695,114
8,"(3,4)",1,1,基底波,1.7395502629635915,3.0260351173767,0.5514630668858682,-66.02176118558091,118,-1.0217611855808917,-27.95906107803843,133
9,"(3,5)",1,1,基底波,2.9800959343244036,8.880971777776839,0.8729231850974781,-167.65164752995742,77,-0.15164752995739395,-129.58894742241492,92
10,"(4,5)",1,1,基底波,3.4498890540991534,11.90173448559315,0.669886916469095,-31.672035028785757,131,0.8279649712142687,6.3906650787567205,3
1,"(1,2)",2,2,倍音,0.13641583652281347,0.01860928045421897,0.0012710607261160658,137.5889338353933,55,0.08893383539329634,-118.2146445776442,97
2,"(1,3)",2,2,倍音,0.3694054796174928,0.1364604083714299,0.0073941487161811705,84.54875160774704,34,-0.45124839225295754,-171.25482680529043,75
