edge_index,edge,amplitude,a,b,a2,b2,ab,r2,a2_norm,b2_norm,ab_norm,z2_re,z2_im,z2_phase_over_pi
0,1-2,0.3162277661046203,-0.16851374080232825,-0.2675875916710716,0.02839688083919427,0.07160311921632415,0.04509218606477821,0.10000000005551841,0.2839688082342877,0.7160311917657123,0.4509218603974374,-0.04320623837712988,0.09018437212955642,0.6422139752914074
1,1-3,0.3162277658367501,0.16851373930569777,0.2675875922970155,0.02839688033478867,0.07160311955131379,0.04509218576977861,0.09999999988610246,0.28396880367132016,0.7160311963286798,0.450921858211375,-0.043206239216525125,0.09018437153955722,0.6422139785124481
2,1-4,0.3162277660917642,-0.26758759315333364,0.16851373842447842,0.07160312000959401,0.028396880037793535,-0.045092185678276615,0.10000000004738754,0.7160311997566305,0.2839688002433695,-0.45092185656908534,0.04320623997180048,-0.09018437135655323,-0.3577860190677299
3,1-5,0.3162277659953469,-0.26758759078678895,0.1685137420014459,0.07160311874307802,0.02839688124332987,-0.045092186236633434,0.09999999998640789,0.7160311875281039,0.28396881247189604,-0.4509218624276241,0.043206237499748154,-0.09018437247326687,-0.35778602769995926
4,2-3,0.3162277660147406,-0.267587591999267,0.16851374011251238,0.07160311939196619,0.028396880606707364,-0.04509218593549748,0.09999999999867355,0.7160311939291597,0.28396880607084035,-0.450921859360956,0.043206238785258824,-0.09018437187099496,-0.3577860231813952
5,2-4,0.3162277661535371,0.14471209878240793,0.28117327140474563,0.02094159153400939,0.07905840855244675,0.040689174226496344,0.10000000008645614,0.209415915159041,0.790584084840959,0.40689174191318056,-0.058116817018437364,0.08137834845299269,0.6974041526760446
6,2-5,0.3162277661406619,0.2811732710429329,-0.1447120994572691,0.0790584083489826,0.020941591729330543,-0.040689174363890586,0.10000000007831314,0.7905840828706948,0.20941591712930524,-0.4068917433202562,0.05811681661965206,-0.08137834872778117,-0.3025958488652858
7,3-4,0.3162277658634393,-0.28117327024579103,0.1447121004003105,0.07905840790071264,0.020941592002269544,-0.04068917451369255,0.09999999990298218,0.7905840797741338,0.2094159202258662,-0.406891745531683,0.0581168158984431,-0.0813783490273851,-0.3025958512877138
8,3-5,0.3162277659092901,0.14471210133088844,0.28117326981841545,0.020941592271601323,0.07905840766037946,0.040689174713499775,0.09999999993198078,0.2094159228584563,0.7905840771415438,0.4068917474117624,-0.05811681538877814,0.08137834942699955,0.6974041466528209
9,4-5,0.3162277660582381,0.16851374016997742,0.2675875920144824,0.02839688062607466,0.07160311940010909,0.04509218595343841,0.10000000002618376,0.2839688061863929,0.716031193813607,0.45092185941631585,-0.04320623877403443,0.09018437190687682,0.6422139767370353
