step,H_total,abs_ZtZ,phase_pair_max_rat_err_q_le_256,phase_pair_median_rat_err_q_le_256,phase_pair_frac_err_lt_1e10,phase_pair_smallest_global_q_tol_1e10
0,0.8596491228070171,1.2981741749855094e-15,5.654319433712919e-16,1.4135798584282297e-16,1.0,2.0
1,0.8596491228070162,2.1038992884147314e-15,0.0019164214597457863,0.0008237865911128184,0.4,
2,0.8596491228070173,1.923270293671234e-15,0.0002549968540026537,9.601911700629628e-06,0.4,
3,0.8596491228070164,3.21238763117753e-15,1.5872301933515624e-05,5.006826133191478e-06,0.4,
4,0.8596491228070183,3.4059802535474165e-15,1.162096262791179e-05,1.8516729302642254e-06,0.4,
5,0.8596491228070168,4.1090540891557595e-15,6.0961263029998825e-06,5.336274632117277e-06,0.4,
6,0.8596491228070168,3.803978697944861e-15,2.1363382523982913e-05,2.010803269120176e-05,0.4,
7,0.8596491228070169,3.347682716575116e-15,2.7592433331904975e-05,3.908000464347694e-07,0.4,
8,0.8596491228070169,4.0519931691429184e-15,2.8744473048181174e-05,1.0493680427769991e-05,0.4,
9,0.8596491228070184,4.307386010068635e-15,2.7073966467141414e-05,6.680373962952846e-06,0.4,
10,0.8596491228070192,3.9684106348628676e-15,1.0336996543458543e-05,7.257863072651638e-06,0.4,
11,0.8596491228070199,3.807554491794501e-15,1.6802819951478032e-05,8.60253801149291e-06,0.4,
12,0.8596491228070193,4.252644905556934e-15,1.95156105209926e-05,3.955005912992249e-06,0.4,
13,0.8596491228070198,4.186600623207057e-15,4.94584803308884e-05,3.6727634655231434e-06,0.4,
14,0.8596491228070188,3.652439851836033e-15,1.4754495873181561e-05,4.415694868198372e-06,0.4,
15,0.85964912280702,4.224354418446626e-15,2.238012233335418e-05,1.2430463740553677e-05,0.4,
16,0.8596491228070187,3.991021060431637e-15,2.4971592510802942e-05,5.715427123964556e-06,0.4,
17,0.8596491228070197,3.665365878305275e-15,2.683505417555576e-05,2.490485374745388e-05,0.4,
18,0.8596491228070204,3.601071123204319e-15,5.9772088555176683e-05,4.488607626695895e-07,0.4,
19,0.8596491228070211,4.202137098585118e-15,1.3561350724139443e-05,1.0561288555865911e-05,0.4,
20,0.859649122807022,4.39836186359396e-15,5.222990075448575e-05,2.132319318237652e-05,0.4,
21,0.8596491228070219,4.363477092524425e-15,4.808418506393325e-05,1.0513045665072607e-05,0.4,
22,0.8596491228070222,3.947613192745334e-15,3.272128979470157e-05,7.968431262883602e-06,0.4,
23,0.8596491228070215,3.4870424672941037e-15,4.922924345640567e-05,2.0519994260281837e-05,0.4,
24,0.8596491228070213,3.24302318050439e-15,8.966201675891794e-05,4.602051951407837e-06,0.4,
25,0.8596491228070202,3.1680608043765647e-15,3.07723963012263e-05,2.0827717242544175e-06,0.4,
26,0.8596491228070201,2.9989588784002224e-15,1.549126852160715e-05,6.014878365434573e-06,0.4,
27,0.8596491228070214,3.1255206736235153e-15,9.174143096452037e-05,7.288488301460117e-05,0.4,
28,0.8596491228070215,2.7625382146831746e-15,9.940934417751457e-06,9.618375261366552e-06,0.4,
29,0.8596491228070192,2.602353958665224e-15,2.642803354614004e-05,4.00188977595084e-06,0.4,
30,0.8596491228070187,2.546382523621977e-15,1.6415952712400816e-05,3.955207971306773e-06,0.4,
31,0.859649122807018,2.6697560956378518e-15,0.00012453369688625315,2.039611159410093e-07,0.4,
32,0.859649122807018,2.698126486597465e-15,1.50010833905867e-05,8.595559255475393e-06,0.4,
33,0.8596491228070183,2.5481603224367266e-15,4.598164961394646e-05,2.120031771041253e-05,0.4,
34,0.8596491228070189,2.764958877241452e-15,8.712513810367473e-05,1.8479463609888391e-06,0.4,
35,0.8596491228070198,2.9232715296849065e-15,6.328854770809578e-06,5.129939886439061e-06,0.4,
36,0.8596491228070193,3.0071221306126687e-15,1.6111255355055754e-05,1.103082679831946e-05,0.4,
37,0.8596491228070199,2.906252222930953e-15,8.854860935070263e-05,1.4862630408285504e-05,0.4,
38,0.8596491228070213,2.8400628212521066e-15,2.5743303545933127e-05,2.1080439041365473e-05,0.4,
39,0.8596491228070229,2.8296798934426275e-15,2.2094750490142534e-05,2.1333249060728754e-05,0.4,
40,0.8596491228070218,2.9236199623039424e-15,6.52067916697141e-05,4.852153066781106e-06,0.4,
41,0.8596491228070224,2.8465707923067436e-15,5.1206801546771485e-05,8.75300113473143e-06,0.4,
