kernel,kernel_kind,row_count,expected_dominant_lag,recovered_dominant_lag,expected_lag0_abs_fraction,recovered_lag0_abs_fraction,expected_delayed_abs_fraction,recovered_delayed_abs_fraction,lag_kernel_r2,lag_kernel_nrmse,lag_kernel_max_residual_abs,max_coefficient_error_abs,best_single_feature,best_single_feature_r2,dominant_lag_recovered,delayed_fraction_recovered,coefficients_recovered
instant_control,control,1692,0,0,1.0,0.9999999999999953,0.0,4.582050672484828e-15,1.0,2.089223411502638e-15,4.2374874734618464e-24,9.506478398674303e-19,delta_C_lag_0,1.0,True,True,True
lag1_dominant,one_step_delay,1692,1,1,0.25,0.24999999999999867,0.75,0.7500000000000016,1.0,2.225858217303675e-15,3.308722450212111e-24,4.899953046586687e-19,delta_C_lag_1,0.8975397744553169,True,True,True
lag2_dominant,two_step_delay,1692,2,2,0.2,0.19999999999999943,0.8,0.8000000000000007,1.0,1.7587288199967884e-15,2.481541837659083e-24,6.505213034913027e-19,delta_C_lag_2,0.944825763668342,True,True,True
exponential_tail,tail,1692,1,1,0.25,0.24999999999999964,0.75,0.7500000000000004,1.0,1.5214914968375987e-15,1.4217166778255163e-24,2.9730417700753874e-19,delta_C_lag_1,0.43758870846699705,True,True,True
pure_delayed_tail,tail_no_current,1692,1,1,0.0,5.366641401007883e-16,1.0,0.9999999999999994,1.0,2.7100592401638206e-15,2.68833699079734e-24,4.2678941409788804e-19,delta_C_lag_1,0.6584544374547411,True,True,True
alternating_delay,signed_tail,1692,1,1,0.24390243902439024,0.24390243902438996,0.7560975609756098,0.7560975609756101,1.0,3.2525781690409522e-15,3.9291079096268815e-24,7.426016056624135e-19,delta_C_lag_1,0.5403909352383935,True,True,True
