kernel,kernel_kind,protocol,protocol_kind,step,particle,C_memory,actual_Ra,signed_target_Ra,sign_normalizer,injected_weight_lag_0,expected_coefficient_lag_0,injected_weight_lag_1,expected_coefficient_lag_1,injected_weight_lag_2,expected_coefficient_lag_2,injected_weight_lag_3,expected_coefficient_lag_3,injected_weight_lag_4,expected_coefficient_lag_4,injected_weight_lag_5,expected_coefficient_lag_5,injected_weight_lag_6,expected_coefficient_lag_6,injected_weight_lag_7,expected_coefficient_lag_7,injected_weight_lag_8,expected_coefficient_lag_8,delta_C_lag_0,delta_C_lag_1,delta_C_lag_2,delta_C_lag_3,delta_C_lag_4,delta_C_lag_5,delta_C_lag_6,delta_C_lag_7,delta_C_lag_8,C_level,C_integral,delayed_delta_tail,delta_tail_including_current,Q_raw_abs_proxy,Q_recovery_abs_tail_proxy,Q_recovery_signed_tail_proxy
instant_control,control,single_impulse,impulse,6,A,3.8e-06,-2.3170731707317074e-09,-2.3170731707317074e-09,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,3.8e-06,3.8e-06,-3.0399999999999997e-07,3.8e-09,3.8e-09,3.8e-09
instant_control,control,single_impulse,impulse,6,B,3.8e-06,2.3170731707317074e-09,-2.3170731707317074e-09,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,3.8e-06,3.8e-06,-3.0399999999999997e-07,3.8e-09,3.8e-09,3.8e-09
instant_control,control,single_impulse,impulse,7,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,-3.0399999999999997e-07,-2.796799999999999e-07,0.0,7.2960000000000004e-09,-3.04e-10
instant_control,control,single_impulse,impulse,7,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,-3.0399999999999997e-07,-2.796799999999999e-07,0.0,7.2960000000000004e-09,-3.04e-10
instant_control,control,single_impulse,impulse,8,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,-2.796799999999999e-07,-2.5730560000000005e-07,0.0,6.71232e-09,-2.796799999999999e-10
instant_control,control,single_impulse,impulse,8,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,-2.796799999999999e-07,-2.5730560000000005e-07,0.0,6.71232e-09,-2.796799999999999e-10
instant_control,control,single_impulse,impulse,9,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,3.8e-06,-2.5730560000000005e-07,-2.3672115199999986e-07,0.0,6.175334400000001e-09,-2.5730560000000006e-10
instant_control,control,single_impulse,impulse,9,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,3.8e-06,-2.5730560000000005e-07,-2.3672115199999986e-07,0.0,6.175334400000001e-09,-2.5730560000000006e-10
instant_control,control,single_impulse,impulse,10,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,3.8e-06,-2.3672115199999986e-07,-2.177834598399997e-07,0.0,5.681307648e-09,-2.367211519999999e-10
instant_control,control,single_impulse,impulse,10,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,3.8e-06,-2.3672115199999986e-07,-2.177834598399997e-07,0.0,5.681307648e-09,-2.367211519999999e-10
