kernel,kernel_kind,protocol,protocol_kind,step,particle,C_memory,actual_Ra,signed_target_Ra,sign_normalizer,injected_weight_lag_0,expected_coefficient_lag_0,injected_weight_lag_1,expected_coefficient_lag_1,injected_weight_lag_2,expected_coefficient_lag_2,injected_weight_lag_3,expected_coefficient_lag_3,injected_weight_lag_4,expected_coefficient_lag_4,injected_weight_lag_5,expected_coefficient_lag_5,injected_weight_lag_6,expected_coefficient_lag_6,injected_weight_lag_7,expected_coefficient_lag_7,injected_weight_lag_8,expected_coefficient_lag_8,delta_C_lag_0,delta_C_lag_1,delta_C_lag_2,delta_C_lag_3,delta_C_lag_4,delta_C_lag_5,delta_C_lag_6,delta_C_lag_7,delta_C_lag_8,C_level,C_integral,delayed_delta_tail,delta_tail_including_current,Q_raw_abs_proxy,Q_recovery_abs_tail_proxy,Q_recovery_signed_tail_proxy
instant_control,control,single_impulse,impulse,11,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,3.8e-06,-2.177834598399997e-07,-2.0036078305280018e-07,0.0,5.2268030361600014e-09,-2.177834598399997e-10
instant_control,control,single_impulse,impulse,11,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,3.8e-06,-2.177834598399997e-07,-2.0036078305280018e-07,0.0,5.2268030361600014e-09,-2.177834598399997e-10
instant_control,control,single_impulse,impulse,12,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,3.8e-06,-2.0036078305280018e-07,-1.843319204085755e-07,0.0,4.808658793267201e-09,-2.003607830528002e-10
instant_control,control,single_impulse,impulse,12,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,3.8e-06,-2.0036078305280018e-07,-1.843319204085755e-07,0.0,4.808658793267201e-09,-2.003607830528002e-10
instant_control,control,single_impulse,impulse,13,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,3.8e-06,-1.843319204085755e-07,-1.6958536677589033e-07,0.0,4.423966089805826e-09,-1.843319204085755e-10
instant_control,control,single_impulse,impulse,13,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,3.8e-06,-1.843319204085755e-07,-1.6958536677589033e-07,0.0,4.423966089805826e-09,-1.843319204085755e-10
instant_control,control,single_impulse,impulse,14,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,0.0,3.8e-06,-2.119817084698625e-06,-1.9502317179227346e-06,0.0,2.119817084698625e-09,-2.119817084698625e-09
instant_control,control,single_impulse,impulse,14,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,0.0,3.8e-06,-2.119817084698625e-06,-1.9502317179227346e-06,0.0,2.119817084698625e-09,-2.119817084698625e-09
instant_control,control,single_impulse,impulse,15,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,15,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,16,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,16,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,17,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,17,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,18,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,18,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,19,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,19,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,20,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,20,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
