波ID,振動数倍数n,関係ID,関係辺,振幅,強度,波内強度比,絶対位相度,絶対位相セル,絶対位相セル誤差度,基準関係への相対位相度,相対位相セル,相対位相セル誤差度
W0003,3,5,"(2,3)",0.10649647021660495,0.011341498168596226,0.0999999999999967,54.16494073329283,1,-17.83505926670717,-179.9999999999981,3,-35.99999999999809
W0003,3,6,"(2,4)",0.10649647021660552,0.011341498168596347,0.09999999999999777,-35.83505926670934,0,-35.835059266709365,89.99999999999974,1,17.999999999999744
W0003,3,7,"(2,5)",0.10649647021660873,0.011341498168597029,0.10000000000000378,-125.8350592667091,3,18.16494073329091,-6.118226727290229e-16,0,-1.4033418597069752e-14
W0003,3,8,"(3,4)",0.10649647021660759,0.011341498168596788,0.10000000000000166,54.16494073329084,1,-17.835059266709163,179.99999999999991,2,35.99999999999992
W0003,3,9,"(3,5)",0.10649647021660692,0.011341498168596646,0.1000000000000004,-35.83505926670797,0,-35.83505926670799,90.00000000000112,1,18.00000000000112
W0003,3,10,"(4,5)",0.10649647021660759,0.011341498168596788,0.10000000000000166,-35.835059266708136,0,-35.835059266708136,90.00000000000095,1,18.000000000000956
W0004,4,1,"(1,2)",0.13723275969371637,0.018832830333153305,0.08333333333329025,63.59666009627514,1,-8.403339903724865,90.00000000002285,1,18.00000000002285
W0004,4,2,"(1,3)",0.13723275969377177,0.018832830333168512,0.08333333333335755,-116.40333990376058,3,27.59666009623945,-90.00000000001286,4,-18.000000000012875
W0004,4,3,"(1,4)",0.13723275969376733,0.01883283033316729,0.08333333333335213,63.59666009624229,1,-8.403339903757713,89.99999999999,1,17.99999999999
W0004,4,4,"(1,5)",0.22006198672092847,0.0484272779995621,0.21428571428571425,-26.403339903747714,0,-26.40333990374774,-1.5162922696822963e-16,0,-1.4033418597069752e-14
W0004,4,5,"(2,3)",0.14670799114728567,0.02152323466647205,0.09523809523809525,153.59666009625226,2,9.596660096252274,179.99999999999997,2,35.99999999999997
W0004,4,6,"(2,4)",0.14670799114728572,0.021523234666472067,0.09523809523809533,-26.40333990374768,0,-26.40333990374769,3.71958071439288e-14,0,3.71958071439288e-14
W0004,4,7,"(2,5)",0.1372327596937872,0.018832830333172745,0.08333333333337627,63.5966600962295,1,-8.4033399037705,89.99999999997722,1,17.999999999977213
W0004,4,8,"(3,4)",0.1467079911472856,0.021523234666472033,0.09523809523809518,153.59666009625224,2,9.596660096252249,179.99999999999994,2,35.99999999999995
W0004,4,9,"(3,5)",0.137232759693732,0.018832830333157594,0.08333333333330924,-116.40333990373495,3,27.596660096265047,-89.99999999998722,4,-17.999999999987228
W0004,4,10,"(4,5)",0.13723275969373627,0.018832830333158766,0.08333333333331441,63.5966600962623,1,-8.4033399037377,90.00000000001002,1,18.00000000001001
W0005,5,1,"(1,2)",0.14933424312523363,0.022300716169786388,0.09523809523809534,-22.57865745573836,0,-22.578657455738362,-2.3971272558448594e-14,0,-1.4033418597069752e-14
W0005,5,2,"(1,3)",0.13968939347195333,0.0195131266485622,0.08333333333332962,-112.57865745575242,3,31.421342544247604,-90.00000000001408,4,-18.000000000014094
W0005,5,3,"(1,4)",0.13968939347195963,0.019513126648563958,0.08333333333333713,-112.5786574557243,3,31.421342544275696,-89.99999999998597,4,-17.999999999985953
W0005,5,4,"(1,5)",0.14933424312523352,0.022300716169786357,0.0952380952380952,157.4213425442617,2,13.421342544261703,-179.99999999999997,3,-35.99999999999997
W0005,5,5,"(2,3)",0.139689393471956,0.01951312664856294,0.0833333333333328,67.42134254425953,1,-4.5786574557404744,89.99999999999787,1,17.99999999999786
W0005,5,6,"(2,4)",0.13968939347195694,0.019513126648563205,0.08333333333333393,-112.57865745573619,3,31.42134254426378,-89.99999999999785,4,-17.99999999999786
W0005,5,7,"(2,5)",0.1493342431252335,0.022300716169786346,0.09523809523809516,-22.578657455738274,0,-22.578657455738263,5.979517366408279e-14,0,5.979517366408279e-14
W0005,5,8,"(3,4)",0.2240013646878503,0.050176611382019315,0.21428571428571427,-22.57865745573833,0,-22.578657455738362,6.860105043891155e-16,0,6.860105043891155e-16
W0005,5,9,"(3,5)",0.1396893934719601,0.01951312664856409,0.0833333333333377,-112.57865745572212,3,31.42134254427789,-89.99999999998379,4,-17.999999999983814
W0005,5,10,"(4,5)",0.13968939347195275,0.019513126648562036,0.08333333333332893,67.42134254424553,1,-4.578657455754469,89.99999999998387,1,17.999999999983867
