波ID,振動数倍数n,関係ID,関係辺,振幅,強度,波内強度比,絶対位相度,絶対位相セル,絶対位相セル誤差度,基準関係への相対位相度,相対位相セル,相対位相セル誤差度
W0001,1,1,"(1,2)",0.1487204298383309,0.022117766251297903,0.08333333333334705,124.2383185020985,2,-19.76168149790151,-89.9999999999928,4,-17.999999999992774
W0001,1,2,"(1,3)",0.15898882710535428,0.025277447144336235,0.09523809523809501,34.23831850209143,0,34.23831850209143,-179.99999999999986,3,-35.99999999999987
W0001,1,3,"(1,4)",0.14872042983830647,0.022117766251290638,0.08333333333331969,124.23831850208408,2,-19.76168149791591,-90.0000000000072,4,-18.000000000007226
W0001,1,4,"(1,5)",0.1589888271053547,0.025277447144336367,0.0952380952380955,34.23831850209108,0,34.23831850209108,179.9999999999998,2,35.999999999999794
W0001,1,5,"(2,3)",0.1487204298383378,0.022117766251299957,0.0833333333333548,-55.76168149789724,4,16.23831850210274,90.00000000001147,1,18.000000000011475
W0001,1,6,"(2,4)",0.23848324065803167,0.05687425607475665,0.21428571428571422,-145.7616814979087,3,-1.761681497908709,-3.0930171853319204e-15,0,-1.4033418597069752e-14
W0001,1,7,"(2,5)",0.1487204298382878,0.02211776625128508,0.08333333333329875,-55.76168149792715,4,16.238318502072868,89.99999999998157,1,17.999999999981565
W0001,1,8,"(3,4)",0.1487204298382996,0.022117766251288598,0.083333333333312,-55.761681497919774,4,16.238318502080247,89.99999999998893,1,17.999999999988933
W0001,1,9,"(3,5)",0.15898882710535445,0.025277447144336287,0.0952380952380952,-145.7616814979087,3,-1.761681497908709,-2.884178123811922e-15,0,-1.4033418597069752e-14
W0001,1,10,"(4,5)",0.14872042983834938,0.0221177662513034,0.08333333333336776,-55.76168149789039,4,16.23831850210961,90.00000000001832,1,18.00000000001832
W0002,2,1,"(1,2)",0.12383565896084074,0.015335270430265656,0.09523809523809511,-128.34704089856044,3,15.652959101439556,-180.0,2,36.0
W0002,2,2,"(1,3)",0.11583765202421134,0.013418361626482274,0.08333333333333214,141.65295910143482,2,-2.347040898565176,89.99999999999527,1,17.999999999995268
W0002,2,3,"(1,4)",0.12383565896084077,0.015335270430265663,0.09523809523809516,51.65295910143952,1,-20.347040898560483,-2.8339599411652077e-14,0,-6.492229350048602e-14
W0002,2,4,"(1,5)",0.11583765202421308,0.013418361626482675,0.08333333333333462,-38.34704089855592,4,33.65295910144408,-89.99999999999545,4,-17.99999999999547
W0002,2,5,"(2,3)",0.1158376520242149,0.013418361626483096,0.08333333333333724,-38.34704089854584,4,33.652959101454165,-89.99999999998539,4,-17.999999999985395
W0002,2,6,"(2,4)",0.12383565896084066,0.015335270430265635,0.09523809523809498,51.652959101439585,1,-20.347040898560415,3.208899394011052e-14,0,3.208899394011052e-14
W0002,2,7,"(2,5)",0.11583765202420941,0.013418361626481827,0.08333333333332936,141.65295910142493,2,-2.3470408985750737,89.99999999998536,1,17.99999999998537
W0002,2,8,"(3,4)",0.11583765202421029,0.01341836162648203,0.08333333333333062,-38.347040898570526,4,33.65295910142948,-90.00000000001008,4,-18.000000000010075
W0002,2,9,"(3,5)",0.18575348844126136,0.034504358468097816,0.21428571428571455,51.65295910143955,1,-20.34704089856045,1.1447920726023012e-16,0,1.1447920726023012e-16
W0002,2,10,"(4,5)",0.11583765202421405,0.0134183616264829,0.08333333333333602,141.65295910144954,2,-2.3470408985504694,90.00000000000998,1,18.000000000009972
W0003,3,1,"(1,2)",0.10649647021660799,0.011341498168596873,0.1000000000000024,-35.83505926670696,0,-35.83505926670696,90.00000000000212,1,18.000000000002125
W0003,3,2,"(1,3)",0.10649647021660535,0.01134149816859631,0.09999999999999745,-35.83505926670842,0,-35.83505926670844,90.00000000000067,1,18.00000000000066
W0003,3,3,"(1,4)",0.10649647021660683,0.011341498168596625,0.10000000000000021,-125.8350592667083,3,18.164940733291672,7.876629030044943e-13,0,7.876629030044943e-13
W0003,3,4,"(1,5)",0.10649647021660565,0.011341498168596373,0.099999999999998,-125.83505926670698,3,18.164940733292994,2.1089524597235994e-12,0,2.1089524597235994e-12
