run_id,L,ma,mb,series,chi,analytic_fixed,t,dominant_weight,opposite_weight,pair_weight,null_weight,dominant_eigenvalue_H,cycles_per_step,principal_cycles_per_step,plane_overlap_previous,single_ellipse_dominant_weight,nonzero_rank
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,0,0.781668556758453,0.048694960493140954,0.830363517251594,0.1662940172473777,-6.92820323027549,0.8660254037844363,-0.13397459621556385,,0.9813323060998912,14
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,512,0.9774952420895665,0.018796011294494153,0.9962912533840607,0.0035186488960629037,-6.92126101710022,0.8651576271375275,-0.13484237286247236,0.4260155156794765,0.9813323060998912,16
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,1024,0.9774131452696079,0.01842903745176929,0.9958421827213771,0.004119185149035309,-6.90400833956708,0.863001042445885,-0.13699895755411484,0.973701484542592,0.9813323060998912,16
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,1536,0.9776485215937442,0.018881329406405915,0.9965298510001501,0.003455926397156306,-6.924236047291786,0.8655295059114733,-0.13447049408852685,0.9753200967299787,0.9813323060998912,16
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,2048,0.9774943269795486,0.018579589867183485,0.9960739168467321,0.0037666671273483,-6.905869496792833,0.8632336870991041,-0.13676631290089603,0.9579607485982186,0.9813323060998912,16
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,2560,0.9773922415034114,0.018651167617850194,0.9960434091212617,0.003896863928823824,-6.918039624214946,0.8647549530268682,-0.1352450469731319,0.9668809292788408,0.9813323060998912,16
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,3072,0.9778090761380679,0.018743505225706742,0.9965525813637747,0.0034091404819370785,-6.901526068664752,0.862690758583094,-0.13730924141690615,0.9745110289205688,0.9813323060998912,16
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,3584,0.977408754694684,0.018535770254518878,0.9959445249492029,0.004054876815904773,-6.91201684579348,0.864002105724185,-0.13599789427581488,0.9739437729586439,0.9813323060998912,16
L8_ma1_mb3_den8,8,1,3,main,0.2706969604894793,False,4096,0.977769954280153,0.0188238384885249,0.9965937927686779,0.0034062072310286906,-6.913462263822319,0.8641827829777898,-0.13581721702221028,0.9740161994385044,0.9813323060998912,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,0,0.6493482356831336,0.025464646980177936,0.6748128826633115,0.31497872110524505,-6.763225649874577,0.8454032062343221,-0.1545967937656778,,0.9742332645348672,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,512,0.9682510979596114,0.025816121111930032,0.9940672190715414,0.005034589101429066,-6.877537949365918,0.8596922436707397,-0.1403077563292603,0.23384132537703972,0.9742332645348672,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,1024,0.9687589460015379,0.025593865030377028,0.9943528110319149,0.00529740847555682,-6.867696528476456,0.858462066059557,-0.141537933940443,0.9663915952217217,0.9742332645348672,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,1536,0.9683619318240344,0.025880459650111057,0.9942423914741455,0.004906374385141188,-6.877852733966714,0.8597315917458392,-0.14026840825416076,0.9725562187454453,0.9742332645348672,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,2048,0.9689295030987359,0.025883917152077062,0.994813420250813,0.004763457591393849,-6.887894109411436,0.8609867636764295,-0.13901323632357054,0.9720153447729301,0.9742332645348672,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,2560,0.968568361096688,0.025945827510306257,0.9945141886069943,0.0046418480050404165,-6.878541307240182,0.8598176634050227,-0.14018233659497725,0.9727265029461396,0.9742332645348672,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,3072,0.9685692078783383,0.02592163917611621,0.9944908470544546,0.0049847846161188425,-6.888960870668562,0.8611201088335703,-0.13887989116642974,0.9721870861349821,0.9742332645348672,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,3584,0.9683487355507302,0.02571200954104334,0.9940607450917736,0.005460721624897746,-6.897926853671805,0.8622408567089757,-0.13775914329102434,0.9719541844855106,0.9742332645348672,16
L8_ma1_mb5_den8,8,1,5,main,0.3168773315250089,False,4096,0.9682392238875251,0.02572944382201511,0.9939686677095403,0.005364356962923367,-6.8945385549972436,0.8618173193746554,-0.13818268062534456,0.9720430032231689,0.9742332645348672,16
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,0,0.0,0.0,0.0,1.0,,,,,,0
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,512,0.0,0.0,0.0,1.0,,,,,,0
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,1024,0.0,0.0,0.0,1.0,,,,,,0
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,1536,0.0,0.0,0.0,1.0,,,,,,0
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,2048,0.0,0.0,0.0,1.0,,,,,,0
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,2560,0.0,0.0,0.0,1.0,,,,,,0
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,3072,0.0,0.0,0.0,1.0,,,,,,0
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,3584,0.0,0.0,0.0,1.0,,,,,,0
L8_ma3_mb5_den8,8,3,5,main,1.0000000000000002,True,4096,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,0,0.8342445925162528,0.043719468113232275,0.8779640606294851,0.10783934871960388,-6.7632256498745695,0.8454032062343212,-0.1545967937656787,,0.9728853589300093,16
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,512,0.9671087911426466,0.02700546931623345,0.9941142604588801,0.005885739299723913,-6.885004841999812,0.8606256052499766,-0.13937439475002344,0.4896070117328362,0.9728853589300093,16
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,1024,0.9673551146552122,0.027192935801010492,0.9945480504562226,0.005451949543773704,-6.8867121866411605,0.8608390233301451,-0.13916097666985494,0.9698579478857203,0.9728853589300093,16
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,1536,0.9675940320879391,0.027311749309644612,0.9949057813975838,0.005094218494573366,-6.871024009393212,0.8588780011741515,-0.14112199882584853,0.9765586555308507,0.9728853589300093,16
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,2048,0.9670459420187026,0.026851141621102144,0.9938970836398048,0.006102916360195221,-6.877125699609348,0.8596407124511685,-0.14035928754883154,0.9899925341993678,0.9728853589300093,16
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,2560,0.967294165490954,0.02701606049040124,0.9943102259813553,0.005689774018644678,-6.8695462681934245,0.8586932835241781,-0.14130671647582194,0.9965049118821914,0.9728853589300093,16
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,3072,0.9673359694537982,0.027141785925389423,0.9944777553791876,0.005522244620812411,-6.876240204226985,0.8595300255283731,-0.1404699744716269,0.9986954747961786,0.9728853589300093,16
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,3584,0.967278173520602,0.027109631203034813,0.9943878047236367,0.005612195276363252,-6.87658338543228,0.859572923179035,-0.140427076820965,0.9997738125529183,0.9728853589300093,16
L8_ma2_mb4_den8,8,2,4,main,0.32483495692204306,False,4096,0.9672773324063246,0.027087430627182597,0.9943647630335072,0.005635236966492818,-6.874645338991378,0.8593306673739223,-0.14066933262607773,0.9998877112853304,0.9728853589300093,16
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,0,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,512,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,1024,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,1536,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,2048,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,2560,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,3072,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,3584,0.0,0.0,0.0,1.0,,,,,,0
L8_ma2_mb6_den8,8,2,6,main,0.9999999999999999,True,4096,0.0,0.0,0.0,1.0,,,,,,0
L8_ma4_mb6_den8,8,4,6,main,0.32483495692204245,False,0,0.8342445925162525,0.043719468113231796,0.8779640606294843,0.10783934871960466,-6.763225649874577,0.8454032062343221,-0.1545967937656778,,0.9728853589300093,16
L8_ma4_mb6_den8,8,4,6,main,0.32483495692204245,False,512,0.9676610975346109,0.027352294135627186,0.9950133916702382,0.004884653776716763,-6.875026945728507,0.8593783682160634,-0.1406216317839366,0.41338202307936955,0.9728853589300093,16
L8_ma4_mb6_den8,8,4,6,main,0.32483495692204245,False,1024,0.9675646604998401,0.027527454475991198,0.9950921149758314,0.0049076453454200974,-6.895184059459309,0.8618980074324136,-0.13810199256758637,0.9443961976971122,0.9728853589300093,16
L8_ma4_mb6_den8,8,4,6,main,0.32483495692204245,False,1536,0.9677995954721957,0.027638659177094738,0.9954382546492905,0.004561606750214886,-6.8869964323802595,0.8608745540475324,-0.13912544595246756,0.9716743714851527,0.9728853589300093,16
