L,ma,mb,chi,r99_main,r99_control,period_main,period_control,transfer_main,transfer_control,omega_main,omega_control
12,1,3,0.2340335296667521,25,8,10.24,3.6702508960573477,0.1397051987704381,0.8735782542730659,10.716835993602992,10.869295611772362
12,2,4,0.18949896210888506,14,2,10.778947368421052,3.657142857142857,0.19709606425164564,0.9949726010094638,10.836920015808786,10.921413774047679
12,2,3,0.2170971113719823,22,6,10.448979591836734,3.657142857142857,0.1763574917961049,0.8856294674408302,10.764362241201251,10.89031579497626
24,1,3,0.20736356540076228,6,16,19.692307692307693,2.2857142857142856,0.45913285865630915,0.13118967386515712,22.7477777594576,22.469791926741976
24,2,4,0.13363644666241747,3,1,22.26086956521739,2.3378995433789953,0.8051731546799675,0.9994967896802422,22.900782665779122,22.89111717807742
24,2,3,0.15665764299280568,4,1,21.333333333333332,2.3325740318906605,0.6645294420172937,0.9993082177721795,22.861245482188423,22.848929538035293
32,1,3,0.20149506218264926,5,2,25.6,4.3760683760683765,0.5084522063553698,0.9886237243352867,30.689231872867186,30.735001947793968
32,2,4,0.12642207058751173,2,1,29.257142857142856,4.413793103448276,0.8764977621497223,0.9993502932473874,30.883704948860604,30.898468985644996
32,2,3,0.14775198684827237,3,1,28.444444444444443,4.413793103448276,0.8306281784130416,0.9988469650365942,30.840517336425123,30.8608475914964
