run_id,L,ma,mb,den,series,chi,omega_generator_mean,omega_generator_std,generator_cycles_per_step_mean,principal_phase_mean,principal_phase_std,sampled_cycles_per_step,sampled_principal_period,off_plane_step_rms,off_plane_generator_rms,phase_prediction_error_rms,polar_orientation_flip_fraction
L8_ma1_mb3_den8,8,1,3,8,main,0.2706969604894793,6.8858453298295315,0.006845535268783428,0.8607306662286914,-0.8510051013225393,0.006006170508629968,-0.13544166847190137,7.383252224240425,0.05171288789681038,0.43036464374700417,0.024059575061832962,0.0
L8_ma1_mb5_den8,8,1,5,8,main,0.3168773315250089,6.840236721851372,0.008878227464185541,0.8550295902314216,-0.8750457845831786,0.007673510898110503,-0.1392678620481387,7.180407491674888,0.07658255758481232,0.5213913783639701,0.03584835785308969,0.0
L8_ma2_mb4_den8,8,2,4,8,main,0.32483495692204306,6.834227035576074,0.001119016387715937,0.8542783794470092,-0.8791788882810554,0.000973428551267894,-0.13992566593196717,7.146651712104103,0.06549151118364116,0.5264500433927095,0.036417216574706486,0.0
L8_ma4_mb6_den8,8,4,6,8,main,0.32483495692204245,6.832057114039826,0.01204803229755238,0.8540071392549783,-0.880177120116308,0.010282762588476218,-0.14008453946289934,7.13854650794526,0.07248739453979854,0.5312465145386852,0.037139994809115624,0.0
L8_ma1_mb2_den8,8,1,2,8,main,0.37682180756750816,6.772250094209316,0.013679700197637173,0.8465312617761644,-0.9128624167839039,0.011711301358477118,-0.14528656599397227,6.882948833971948,0.08222198928788818,0.6219491794993819,0.05144100229097397,0.0
L8_ma2_mb3_den8,8,2,3,8,main,0.37682180756750827,6.77450403926027,0.0005621564106920268,0.8468130049075338,-0.9109819001636243,0.00046991136160790854,-0.14498727247828833,6.897157129083513,0.08065529119809495,0.6221000922275712,0.051520410025709736,0.0
L8_ma3_mb6_den8,8,3,6,8,main,0.4864229657368531,6.518488637479631,0.0712315452934381,0.8148110796849539,-1.0290924533351666,0.052522555329497324,-0.1637851508468574,6.105559599447579,0.21607231619853343,0.9885117484201632,0.14068979023942207,0.0
L10_ma1_mb3_den10,10,1,3,10,main,0.24646532178561273,8.702619757520397,0.048499740321794035,0.8702619757520397,-0.7125449787238218,0.018874432245231325,-0.11340505553920564,8.817949034505668,0.19157341924195395,1.3406574925238695,0.10515244414616698,0.0
L10_ma1_mb5_den10,10,1,5,10,main,0.4468625245552165,8.172494686697267,0.13375975681734772,0.8172494686697267,-0.8384853480351768,0.059242080928792025,-0.13344908784992662,7.493494456287134,0.4034452272772068,1.992820174028695,0.31762971980345334,0.0
L10_ma3_mb5_den10,10,3,5,10,main,0.36125364130564747,8.396783279881735,0.09335712154833312,0.8396783279881734,-0.7726724567160295,0.040683419790082574,-0.12297464087731463,8.131757839387777,0.3267947657857751,1.8779601248099733,0.23959193419327626,0.0
L10_ma2_mb4_den10,10,2,4,10,main,0.24646532178561256,8.706232956629172,0.042901890230689056,0.8706232956629172,-0.7130604937240441,0.018484682774478633,-0.11348710229972904,8.8115740003557,0.19377110931901778,1.3141897249351966,0.10182024862217962,0.0
L10_ma2_mb6_den10,10,2,6,10,main,0.27531417548693593,8.62746669741301,0.05645941989969701,0.8627466697413009,-0.7275618572740629,0.023785701220273504,-0.11579506599028716,8.635946544422538,0.23173970068288088,1.5037204028791826,0.13763214192309509,0.0
L10_ma1_mb2_den10,10,1,2,10,main,0.3321176401792237,8.47970719358579,0.07351777772975404,0.847970719358579,-0.7567516687332192,0.03313883399436602,-0.12044076877193234,8.302836408273086,0.2942944173916415,1.7597543403314284,0.2020906822355336,0.0
L10_ma2_mb3_den10,10,2,3,10,main,0.26073264012929426,8.668901531166334,0.04534417989237367,0.8668901531166334,-0.7200313469987553,0.020693042843922684,-0.11459654805596764,8.726266340165948,0.20837315501641357,1.410880898937552,0.11836364521165174,0.0
L10_ma3_mb6_den10,10,3,6,10,main,0.43427144871986517,8.201449910100143,0.12751176607620965,0.8201449910100143,-0.8237398327242899,0.05462387838671312,-0.13110226619976173,7.627633213267959,0.3857783809028535,2.0326415794254062,0.3140250476059451,0.0
L12_ma1_mb3_den12,12,1,3,12,main,0.2340335296667521,10.716835993602992,0.036883178409253085,0.8930696661335826,-0.6209121305459683,0.015341890756259313,-0.09882123480211107,10.11928258134493,0.1359636792757571,1.1165307940190117,0.052024901881106374,0.0
L12_ma1_mb5_den12,12,1,5,12,main,0.15353491209910733,10.899550524224527,0.010339038476635237,0.9082958770187105,-0.563875257163473,0.004845168763720341,-0.0897435344647804,11.142864006458842,0.059864289840420186,0.550824915188669,0.012465941638779853,0.0
L12_ma3_mb5_den12,12,3,5,12,main,0.23403352966675184,10.714745913956058,0.036367436534251195,0.8928954928296715,-0.6196301952263626,0.014277580192435387,-0.09861720845927174,10.140218077791092,0.13500114632414972,1.1449118483502994,0.054449496804177086,0.0
L12_ma2_mb4_den12,12,2,4,12,main,0.18949896210888506,10.836920015808786,0.01946614747686184,0.9030766679840655,-0.5852864088200109,0.007853842562616693,-0.09315122508820863,10.735231866817209,0.08632685934108296,0.7641569803305098,0.02412748773205546,0.0
L12_ma2_mb6_den12,12,2,6,12,main,0.41487636585256704,9.941986053375057,0.1333879889976987,0.8284988377812548,-0.7458594231866593,0.05908859494548555,-0.11870721405182665,8.424087853358328,0.414734911881697,2.555769973504752,0.33652026601342977,0.0
L12_ma4_mb6_den12,12,4,6,12,main,0.3946197160956911,10.007465114335355,0.1262174033708469,0.8339554261946129,-0.7360380309720894,0.055484792822538466,-0.1171440909328336,8.536495456466223,0.4081301503591761,2.4655732478940906,0.3115150373847851,0.0
