run_id,series,L,ma,mb,den,parity_class,chi,analytic_fixed,window,r90,r99,r999,Reff,p1,E2,centered_r90,centered_r99,centered_r999,centered_Reff,centered_p1,centered_E2,mean_fraction,dynamic_fraction,initial_mode_eta_mean,amp_cv_mean,amp_pr_fraction_mean,generator_norm_mean
L8_ma1_mb3_den8,main,8,1,3,8,odd-odd,0.2706969604894793,False,full,1,3,8,1.072671403376717,0.9653143056801158,0.9837366734882748,1.0,3.0,8.0,1.0726711748060687,0.9653144088034015,0.9837367745811866,2.626947089009982e-07,0.999999737305291,0.7858643396020514,0.08881497487459508,0.9699610715724986,6.898543160318213
L8_ma1_mb3_den8,main,8,1,3,8,odd-odd,0.2706969604894793,False,W1,1,3,7,1.0902763172125431,0.9573362745524492,0.9768206896920818,1.0,3.0,7.0,1.0902729284206394,0.9573377683654714,0.9768221483732173,2.967771955829397e-06,0.999997032228044,0.7817553384900258,0.09180136753993254,0.9676129268274629,6.895659809725499
L8_ma1_mb3_den8,main,8,1,3,8,odd-odd,0.2706969604894793,False,W2,1,2,4,1.0503274878255071,0.9755625461291669,0.9941141212023876,1.0,2.0,4.0,1.0503275395057114,0.9755625220444873,0.9941140963207828,5.616185193899876e-06,0.9999943838148061,0.8079802089193044,0.08818435415552292,0.9705156776912809,6.899364639846162
L8_ma1_mb3_den8,main,8,1,3,8,odd-odd,0.2706969604894793,False,W3,1,2,4,1.0437163022529032,0.9786547964622341,0.9972672464747451,1.0,2.0,4.0,1.0437163214047998,0.9786547874684204,0.9972672374298285,5.530248253013027e-06,0.9999944697517472,0.7866591488355736,0.08786820324134625,0.9706965092899671,6.899487526884038
L8_ma1_mb3_den8,main,8,1,3,8,odd-odd,0.2706969604894793,False,W4,1,2,3,1.0419615844156596,0.9794793663631737,0.9981001655496434,1.0,2.0,3.0,1.0419616014521913,0.9794793583549775,0.9981001569965845,5.470948924116499e-06,0.999994529051076,0.7671051162497124,0.08740732983304092,0.9710175378443595,6.899657603569741
L8_ma1_mb5_den8,main,8,1,5,8,odd-odd,0.3168773315250089,False,full,1,3,9,1.0889524425890464,0.9578860839176329,0.9832404364528508,1.0,3.0,9.0,1.088952053510753,0.9578862551437968,0.9832406135042582,2.438705415932508e-07,0.9999997561294584,0.7420905513356345,0.10964567048737157,0.9545060786464457,6.857813520475147
L8_ma1_mb5_den8,main,8,1,5,8,odd-odd,0.3168773315250089,False,W1,1,4,12,1.1588982796831313,0.927951024703155,0.9620495196967536,1.0,4.0,12.0,1.1588915673663018,0.9279537171143968,0.962052296644666,4.955993575158014e-06,0.9999950440064247,0.7375003046664446,0.11842990634447717,0.9459644709303633,6.849370895789528
L8_ma1_mb5_den8,main,8,1,5,8,odd-odd,0.3168773315250089,False,W2,1,2,3,1.0576582204648555,0.9720192662830006,0.9977237237770439,1.0,2.0,3.0,1.0576582240950316,0.9720192646142397,0.9977237216588423,4.262476356283523e-06,0.9999957375236437,0.7441046329553511,0.10671430261004869,0.9573551951522337,6.860617645661559
L8_ma1_mb5_den8,main,8,1,5,8,odd-odd,0.3168773315250089,False,W3,1,2,3,1.0576284721569476,0.9720329302402428,0.9977379561442531,1.0,2.0,3.0,1.0576284775467744,0.9720329277506301,0.9977379536322664,4.189587393148721e-06,0.9999958104126069,0.7433752001944031,0.10672051422417395,0.9573507424906704,6.860626954065908
L8_ma1_mb5_den8,main,8,1,5,8,odd-odd,0.3168773315250089,False,W4,1,2,3,1.057627896712207,0.9720331900881375,0.9977384197056379,1.0,2.0,3.0,1.0576279027659548,0.9720331872903871,0.9977384170037426,4.24376762537859e-06,0.9999957562323746,0.7433693927351297,0.1067163729473252,0.9573547277889949,6.860622698258263
L8_ma3_mb5_den8,main,8,3,5,8,odd-odd,1.0000000000000002,True,full,1,1,1,1.0000000000000009,0.9999999999999996,0.9999999999999997,,,,,,,1.0,5.298207534899417e-23,1.134568039371972e-11,0.49095041452847477,0.6147018910307391,7.833878385646921e-15
L8_ma3_mb5_den8,main,8,3,5,8,odd-odd,1.0000000000000002,True,W1,1,1,1,1.0000000000000002,0.9999999999999999,1.0,,,,,,,0.9999999999999996,3.309906092463703e-24,2.8337913574545664e-12,0.49095041452788674,0.6147018910342585,7.83387838583343e-15
L8_ma3_mb5_den8,main,8,3,5,8,odd-odd,1.0000000000000002,True,W2,1,1,1,1.0000000000000002,0.9999999999999999,1.0,,,,,,,0.9999999999999999,3.309508464889463e-24,8.506668476587416e-12,0.4909504145282786,0.6147018910319131,7.833878385709121e-15
L8_ma3_mb5_den8,main,8,3,5,8,odd-odd,1.0000000000000002,True,W3,1,1,1,1.0000000000000007,0.9999999999999997,0.9999999999999998,,,,,,,1.0000000000000009,3.309743869358656e-24,1.417919451672547e-11,0.4909504145286705,0.6147018910295675,7.83387838558484e-15
L8_ma3_mb5_den8,main,8,3,5,8,odd-odd,1.0000000000000002,True,W4,1,1,1,1.0000000000000002,0.9999999999999999,1.0,,,,,,,1.000000000000001,3.31014231820786e-24,1.9851987770798342e-11,0.4909504145290626,0.614701891027222,7.833878385460538e-15
L8_ma2_mb4_den8,main,8,2,4,8,even-even,0.32483495692204306,False,full,1,2,6,1.0757672389407196,0.9637547392960009,0.9905866796542633,1.0,2.0,6.0,1.0757671108109157,0.9637547968057043,0.9905867356278439,2.6389947044941494e-07,0.9999997361005295,0.7413318417802469,0.10762438394861143,0.9569634884704188,6.853829653234833
L8_ma2_mb4_den8,main,8,2,4,8,even-even,0.32483495692204306,False,W1,1,2,8,1.0769719780535751,0.9632179774607892,0.9900243528484203,1.0,2.0,8.0,1.0769700645268576,0.9632188341736111,0.9900252309989166,4.201046355987775e-06,0.999995798953644,0.7241589381324685,0.11045537163572486,0.9540015624268214,6.850158582917114
L8_ma2_mb4_den8,main,8,2,4,8,even-even,0.32483495692204306,False,W2,1,2,4,1.0653437451310457,0.9684668216793376,0.9954336907280557,1.0,2.0,4.0,1.0653436829270393,0.9684668500033576,0.9954337205751782,1.2155026076920777e-06,0.9999987844973922,0.7403860687144315,0.10657999850204503,0.9579694953909448,6.8544144031634815
L8_ma2_mb4_den8,main,8,2,4,8,even-even,0.32483495692204306,False,W3,1,2,3,1.060634244695817,0.9706177896359763,0.9976378133808903,1.0,2.0,3.0,1.060634236961968,0.9706177931758475,0.997637817034197,7.379970063370148e-08,0.9999999262002993,0.7534573333377699,0.10672099066334403,0.9579417614768764,6.855301061693668
L8_ma2_mb4_den8,main,8,2,4,8,even-even,0.32483495692204306,False,W4,1,2,3,1.0596395067599533,0.9710734165253302,0.9981042318771843,1.0,2.0,3.0,1.0596395049455976,0.9710734173565195,0.9981042327391055,6.173477829864829e-09,0.9999999938265222,0.7473310044573922,0.1067420600892171,0.9579401840240577,6.855443180211934
L8_ma2_mb6_den8,main,8,2,6,8,even-even,0.9999999999999999,True,full,1,1,1,1.0000000000000007,0.9999999999999997,0.9999999999999998,,,,,,,0.9999999999999997,4.3047314177446546e-23,1.116289674601953e-11,0.7311130767803107,0.4739932399776376,7.061400392207675e-15
L8_ma2_mb6_den8,main,8,2,6,8,even-even,0.9999999999999999,True,W1,1,1,1,1.0000000000000009,0.9999999999999996,0.9999999999999999,,,,,,,1.0000000000000002,2.6888301699437475e-24,2.787879578468167e-12,0.7311130767778775,0.47399323997829934,7.061400392360186e-15
L8_ma2_mb6_den8,main,8,2,6,8,even-even,0.9999999999999999,True,W2,1,1,1,1.0000000000000009,0.9999999999999996,0.9999999999999999,,,,,,,1.0000000000000002,2.68897788855343e-24,8.369503633656262e-12,0.7311130767794991,0.47399323997785836,7.061400392258536e-15
L8_ma2_mb6_den8,main,8,2,6,8,even-even,0.9999999999999999,True,W3,1,1,1,1.0000000000000007,0.9999999999999997,1.0,,,,,,,0.9999999999999997,2.6892271450297458e-24,1.3950813841607518e-11,0.7311130767811206,0.47399323997741727,7.061400392156904e-15
L8_ma2_mb6_den8,main,8,2,6,8,even-even,0.9999999999999999,True,W4,1,1,1,1.0000000000000002,0.9999999999999999,1.0,,,,,,,0.9999999999999999,2.688769795625834e-24,1.9532488645525353e-11,0.7311130767827421,0.47399323997697623,7.061400392055275e-15
L8_ma4_mb6_den8,main,8,4,6,8,even-even,0.32483495692204245,False,full,1,3,9,1.111648665743092,0.9479342081847932,0.9743799757952147,1.0,3.0,9.0,1.1116483683621146,0.9479343351523947,0.9743801055580956,2.605282902267872e-07,0.9999997394717098,0.8383753500845321,0.10798317892987107,0.9566190256307667,6.852665108903338
L8_ma4_mb6_den8,main,8,4,6,8,even-even,0.32483495692204245,False,W1,1,3,8,1.1027510173443489,0.9518089903646277,0.9783422748256094,1.0,3.0,8.0,1.102746639829618,0.9518108846911679,0.9783442293980271,5.032925982423613e-06,0.9999949670740176,0.8266509888111536,0.11052182140278738,0.9541254067474754,6.84932872582516
L8_ma4_mb6_den8,main,8,4,6,8,even-even,0.32483495692204245,False,W2,1,2,4,1.064577661292297,0.9688155957980786,0.9957947531189693,1.0,2.0,4.0,1.0645776667550437,0.9688155933008409,0.995794750756232,2.8095030422595734e-06,0.9999971904969577,0.8388555110668026,0.1064627896080317,0.9579814007382571,6.8536198089913825
L8_ma4_mb6_den8,main,8,4,6,8,even-even,0.32483495692204245,False,W3,1,2,4,1.0651679249721397,0.9685470730657345,0.9955176323565167,1.0,2.0,4.0,1.0651678717245048,0.9685470973514402,0.9955176561609106,1.1394188325001223e-06,0.9999988605811674,0.840432284859979,0.1067448872210656,0.9578324413725487,6.8542914185395905
L8_ma4_mb6_den8,main,8,4,6,8,even-even,0.32483495692204245,False,W4,1,2,4,1.0624638938757938,0.9697808598653626,0.9967979153059598,1.0,2.0,4.0,1.0624638498096015,0.9697808800301347,0.9967979343746661,1.3549037118057445e-06,0.9999986450962883,0.8475380494550135,0.10820101486839612,0.956538227645288,6.8534071844112585
L8_ma1_mb2_den8,main,8,1,2,8,odd-even,0.37682180756750816,False,full,1,3,7,1.1011368372836765,0.952256314734155,0.9886495322958083,1.0,3.0,7.0,1.1011364919687978,0.9522564643720206,0.9886496818942144,3.898400793856735e-07,0.9999996101599208,0.7212517712200499,0.1270876516900774,0.9417920460794623,6.802130283596617
L8_ma1_mb2_den8,main,8,1,2,8,odd-even,0.37682180756750816,False,W1,1,3,8,1.1145412091851963,0.9464830928014181,0.9826528186394855,1.0,3.0,8.0,1.114535555876269,0.94648550122439,0.9826551876715512,5.38342358736549e-06,0.9999946165764126,0.7166301570862094,0.12874114607734788,0.9397858741096825,6.798009893476833
L8_ma1_mb2_den8,main,8,1,2,8,odd-even,0.37682180756750816,False,W2,1,2,5,1.0882739877777134,0.957881076838245,0.9944914990445218,1.0,2.0,5.0,1.0882739710059763,0.9578810843009092,0.9944915048609232,2.8934145447151935e-06,0.999997106585455,0.7256711498013988,0.12634828495851766,0.9426295846938371,6.803595690732165
L8_ma1_mb2_den8,main,8,1,2,8,odd-even,0.37682180756750816,False,W3,1,2,3,1.0826779705802796,0.9603560506070785,0.99704505421981,1.0,2.0,3.0,1.082677947601486,0.960356060784331,0.9970450652305488,4.7257599022705314e-07,0.9999995274240098,0.7233055227040575,0.12650024916825234,0.9425687102021293,6.80465681787969
