body_count,relation_count,relation_names,trial_index,all_relations_are_physical_waves,observer_C_or_D_used,normalization_applied,absolute_background_axis_used,raw_generator_spectral_norm,update_orthogonality_error,max_closure_target_error_abs,max_hermitian_amplitude_drift,active_relation_wave_count,min_relation_activity_variance,max_relation_activity_variance,target_period_recurrence_error,generator_label_covariance_error,update_label_covariance_error,trajectory_label_covariance_error,generator_rank,generator_nullity,rotation_plane_count,generator_singular_values,positive_generator_frequencies,independent_rotation_frequency_count,single_rotation_plane,unique_invariant_normal,one_plane_plus_one_normal,permuted_generator_rank,permuted_generator_nullity,kernel_projection_drift_max,kernel_projection_norm2_drift_max,active_plane_norm2_drift_max,kernel_projector_idempotence_error,kernel_generator_annihilation_error,kernel_projector_label_covariance_error,generator_spectrum_label_covariance_error,initial_closure_real_E,initial_closure_imag_F,initial_hermitian_amplitude_sum,stationary_relation_system
2,1,AB,27,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0000000000000000e+00,,0,False,True,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,28,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0000000000000000e+00,,0,False,True,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,29,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0000000000000000e+00,,0,False,True,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,30,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0000000000000000e+00,,0,False,True,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2,1,AB,31,True,False,False,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0000000000000000e+00,,0,False,True,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
3,3,AB;BC;CA,0,True,False,False,False,1.4459987079663066,3.149474651249135e-16,2.378735415427638e-14,2.5757174171303632e-14,3,0.28317883522955833,0.47357020804465005,2.5988543094932425e-15,0.0,2.48374603233007e-16,5.477507118315502e-14,2,1,1,9.9999999999999989e-01;9.9999999999999978e-01;0.0000000000000000e+00,1.0000000000000000e+00,1,True,True,True,2,1,1.0336375269432293e-14,9.020562075079397e-15,1.687538997430238e-14,1.576213700060856e-16,2.603917618620492e-17,2.466969522362136e-16,2.220446049250313e-16,1.0,-1.3877787807814457e-17,1.2449999999999999,False
3,3,AB;BC;CA,1,True,False,False,False,1.4379380221609495,2.2237073538513986e-16,8.193894053722103e-14,1.0014211682118912e-13,3,0.2856962891411063,0.49173489766438744,6.533137198048622e-15,0.0,0.0,0.0,2,1,1,1.0000000000000000e+00;9.9999999999999989e-01;3.8139659046174957e-17,9.9999999999999967e-01,1,True,True,True,2,1,1.977688265072414e-14,1.5376588891058418e-14,8.526512829121202e-14,2.779024842816778e-16,2.3310911737039495e-16,0.0,0.0,1.0,-1.3877787807814457e-17,1.245,False
3,3,AB;BC;CA,2,True,False,False,False,1.4415324777814675,4.580756131410547e-16,9.782029234771785e-14,1.2168044349891716e-13,3,0.295682818911915,0.4961436501040727,7.989520905397721e-15,0.0,1.5700924586837752e-16,1.8486260415696088e-14,2,1,1,1.0000000000000002e+00;9.9999999999999989e-01;8.1655854797875371e-17,9.9999999999999978e-01,1,True,True,True,2,1,4.442610226582404e-15,3.0808688933348094e-15,1.1945999744966684e-13,1.1188630228279524e-16,1.2426652239632408e-16,4.871083751574258e-16,1.1102230246251565e-16,1.0,-5.551115123125783e-17,1.2449999999999999,False
3,3,AB;BC;CA,3,True,False,False,False,1.0841105511033868,3.151550553217306e-16,1.0946962289678371e-14,1.1546319456101628e-14,3,0.2937953293060452,0.6117257831381451,2.160749724328002e-15,2.2291027918243403e-16,1.9342944644403212e-16,1.7176328910243915e-14,2,1,1,1.0000000000000000e+00;9.9999999999999989e-01;1.5981508584142441e-17,9.9999999999999967e-01,1,True,True,True,2,1,9.309965399481083e-15,2.1527918336872176e-15,1.354472090042691e-14,2.0062931968381231e-16,1.4689800289010967e-17,3.103194965374025e-16,1.1102230246251565e-16,0.9999999999999998,2.7755575615628914e-17,1.2449999999999999,False
3,3,AB;BC;CA,4,True,False,False,False,1.291352545101669,5.093136964286178e-16,1.1116255739042949e-13,1.3455903058456897e-13,3,0.2635022131302008,0.5011752857778763,9.337523884378442e-15,1.7554167342883506e-16,2.7205862451911343e-16,2.624763355242445e-14,2,1,1,1.0000000000000000e+00;9.9999999999999989e-01;2.6771631324573262e-17,1.0000000000000000e+00,1,True,True,True,2,1,3.1115659117924972e-15,1.3461454173580023e-15,1.3433698597964394e-13,5.74211813252823e-16,1.325811250345865e-16,3.6295124768498446e-16,3.3306690738754696e-16,1.0000000000000004,-5.551115123125783e-17,1.2450000000000006,False
3,3,AB;BC;CA,5,True,False,False,False,1.4780198216773166,2.2234953426380285e-16,7.19686822294674e-14,9.14823772291129e-14,3,0.31310445889268734,0.4159647542052162,6.82670642542326e-15,2.3551386880256624e-16,1.1210126175528405e-16,2.83926650769167e-14,2,1,1,1.0000000000000002e+00;1.0000000000000000e+00;4.7921640939427549e-17,1.0000000000000002e+00,1,True,True,True,2,1,1.053468552370187e-14,7.993605777301127e-15,8.37108160567368e-14,1.9229626863835638e-16,1.3253093666651307e-16,4.335559509131367e-16,3.3306690738754696e-16,1.0000000000000002,-1.6653345369377348e-16,1.245,False
3,3,AB;BC;CA,6,True,False,False,False,0.8977308732948541,2.722657269254651e-16,1.1990537163298417e-14,5.995204332975845e-15,3,0.2504840384218434,0.5856369744453942,1.631687946612622e-15,0.0,0.0,0.0,2,1,1,1.0000000000000002e+00;1.0000000000000000e+00;4.9863573004062984e-17,1.0000000000000004e+00,1,True,True,True,2,1,7.708901895827517e-15,2.0261570199409107e-15,4.440892098500626e-15,1.5716250041522723e-16,1.0152750984999558e-16,0.0,0.0,1.0,-8.326672684688674e-17,1.245,False
3,3,AB;BC;CA,7,True,False,False,False,1.077874946492938,2.232526359497113e-16,3.7109526370389704e-14,4.551914400963142e-14,3,0.25496980254064605,0.5688815567057716,3.653734528193663e-15,2.254873622441467e-16,1.5830718051098916e-16,2.9573588611619484e-14,2,1,1,9.9999999999999978e-01;9.9999999999999978e-01;1.5470496095427049e-17,9.9999999999999989e-01,1,True,True,True,2,1,1.181294465969462e-15,4.579669976578771e-16,4.574118861455645e-14,2.3387263717801085e-16,8.260343608219382e-17,5.863262701543584e-16,1.1102230246251565e-16,0.9999999999999997,-1.3877787807814457e-16,1.2449999999999997,False
