body_count,relation_count,trial_index,step,relation_index,relation_name,relation_real,relation_imag,relation_abs2,relation_phase_rad,closure_real_E,closure_imag_F,closure_target_error_abs,closure_complex_abs,hermitian_amplitude_sum
2,1,0,0,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,1,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,2,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,3,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,4,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,5,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,6,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,7,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,8,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,9,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,10,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,11,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,12,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,13,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,14,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,15,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,16,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,17,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,18,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,19,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,20,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,21,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,22,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,23,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,24,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,25,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,26,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,27,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,28,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,29,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,30,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,31,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,32,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,33,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,34,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,35,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,36,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,37,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,38,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,39,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,40,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,41,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,42,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,43,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,44,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,45,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,46,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,47,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,48,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,49,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,50,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,51,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,52,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,53,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,54,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,55,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,56,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,57,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,58,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,59,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,60,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,61,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,62,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,63,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,64,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,65,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,66,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,67,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,68,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,69,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,70,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,71,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,72,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,73,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,74,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,75,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,76,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,77,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,78,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,79,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,80,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,81,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,82,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,83,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,84,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,85,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,1,0,86,0,AB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
