body_count,trial_count,expected_relation_count,relation_count_min,relation_count_max,active_relation_wave_count_min,active_relation_wave_count_max,max_closure_target_error_abs,max_hermitian_amplitude_drift,max_update_orthogonality_error,max_generator_label_covariance_error,max_update_label_covariance_error,max_trajectory_label_covariance_error,max_target_period_recurrence_error,stationary_all_trials,all_relation_waves_active_all_trials,body_count_test_pass
2,32,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True
3,32,3,3,3,3,3,1.3628177067653198e-13,1.680877659282487e-13,5.098353665742054e-16,6.131407058289218e-16,3.52059127112863e-16,1.177581414036749e-13,9.7299246860287e-15,False,True,True
4,32,6,6,6,6,6,1.9218001973240896e-13,2.41140440948584e-13,8.743266067507484e-16,1.0703004862754796e-15,5.902600124568972e-16,1.4608516699761366e-13,1.0808092541811567,False,True,True
