case,delta_chi_A,delta_chi_B,delta_tau_A,delta_tau_B,max_chi_perturbation_over_epsilon_C,max_tau_perturbation_over_epsilon_C,tau_difference_after_perturbation,tau_difference_over_epsilon_AB,chi_difference_after_perturbation,observation_bound_respected,epsilon_chi_C,epsilon_tau_C,epsilon_chi_AB,epsilon_tau_AB,min_abs_chi_gap,min_abs_tau_gap,collision_cell_reached,spatial_crossed_without_time_cell,collision_step,post_collision_steps,post_collision_propagation_completed,q_reversed,label_preserved,amplitude_preserved,separated_after_collision,closure_preserved,closure_residual_abs,collision_map_valid,model_valid
none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,True,0.0031415926535897933,0.0031415926535897933,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.0,True,False,185,215,True,True,True,True,True,True,0.0,True,True
common_spatial_within_C,0.002513274122871835,0.002513274122871835,0.0,0.0,0.8,0.0,0.0,0.0,0.4,True,0.0031415926535897933,0.0031415926535897933,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.0,True,False,185,215,True,True,True,True,True,True,0.0,True,True
differential_spatial_within_C,0.0031415926535897933,-0.0031415926535897933,0.0,0.0,1.0,0.0,0.0,0.0,0.39371681469282044,True,0.0031415926535897933,0.0031415926535897933,0.031415926535897934,0.031415926535897934,0.029716814692820115,0.0,True,False,182,218,True,True,True,True,True,True,0.0,True,True
differential_time_within_C,0.0,0.0,0.0031415926535897933,-0.0031415926535897933,0.0,1.0,0.006283185307179584,0.1999999999999999,0.4,True,0.0031415926535897933,0.0031415926535897933,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.006283185307179584,True,False,185,219,True,True,True,True,True,True,0.0,True,True
mixed_corner_within_C,0.0031415926535897933,-0.0031415926535897933,0.0031415926535897933,-0.0031415926535897933,1.0,1.0,0.006283185307179584,0.1999999999999999,0.39371681469282044,True,0.0031415926535897933,0.0031415926535897933,0.031415926535897934,0.031415926535897934,0.029716814692820115,0.006283185307179584,True,False,182,222,True,True,True,True,True,True,0.0,True,True
over_C_time_still_in_AB,0.0,0.0,0.00942477796076938,-0.00942477796076938,0.0,3.0,0.018849555921538752,0.5999999999999998,0.4,False,0.0031415926535897933,0.0031415926535897933,0.031415926535897934,0.031415926535897934,0.029999999999999694,0.01884955592153875,True,False,185,225,True,True,True,True,True,True,0.0,True,False
over_C_time_breaks_AB,0.0,0.0,0.025132741228718346,-0.025132741228718346,0.0,8.0,0.05026548245743667,1.5999999999999992,0.4,False,0.0031415926535897933,0.0031415926535897933,0.031415926535897934,0.031415926535897934,3.191891195797325e-16,0.05026548245743666,False,True,200,0,False,False,True,True,False,True,0.0,False,False
over_C_spatial_only,-0.031415926535897934,0.031415926535897934,0.0,0.0,10.0,0.0,0.0,0.0,0.46283185307179586,False,0.0031415926535897933,0.0031415926535897933,0.031415926535897934,0.031415926535897934,0.03083185307179548,0.0,True,False,216,184,True,True,True,True,True,True,0.0,True,False
