edge_index,i,j,class,theta_deg,a_Re,b_Im,abs_z,abs_z_sq
0,0,1,4,102.85714285714286,-0.06416629483027986,0.28113090637849597,0.2883607114595209,0.08315189991344107
1,0,2,1,25.714285714285715,0.2063093002185346,0.09935332260918879,0.2289860477630613,0.05243461007014699
2,0,3,5,128.57142857142858,-0.10395887337709563,0.13036030396297713,0.1667370870656999,0.027801256203154788
3,0,4,2,51.42857142857143,0.10395887337709563,0.1303603039629771,0.1667370870656999,0.027801256203154788
4,0,5,6,154.28571428571428,-0.20630930021853455,0.0993533226091888,0.22898604776306125,0.05243461007014697
5,0,6,3,77.14285714285714,0.0641662948302799,0.28113090637849597,0.2883607114595209,0.08315189991344107
6,0,7,0,0.0,0.3111629476054536,0.0,0.3111629476054536,0.09682237996251426
7,1,2,5,128.57142857142858,-0.10395887337709563,0.13036030396297713,0.1667370870656999,0.027801256203154788
8,1,3,2,51.42857142857143,0.10395887337709563,0.1303603039629771,0.1667370870656999,0.027801256203154788
9,1,4,6,154.28571428571428,-0.20630930021853455,0.0993533226091888,0.22898604776306125,0.05243461007014697
10,1,5,3,77.14285714285714,0.0641662948302799,0.28113090637849597,0.2883607114595209,0.08315189991344107
11,1,6,0,0.0,0.3111629476054536,0.0,0.3111629476054536,0.09682237996251426
12,1,7,1,25.714285714285715,0.2063093002185346,0.09935332260918879,0.2289860477630613,0.05243461007014699
13,2,3,6,154.28571428571428,-0.20630930021853455,0.0993533226091888,0.22898604776306125,0.05243461007014697
14,2,4,3,77.14285714285714,0.0641662948302799,0.28113090637849597,0.2883607114595209,0.08315189991344107
15,2,5,0,0.0,0.3111629476054536,0.0,0.3111629476054536,0.09682237996251426
16,2,6,4,102.85714285714286,-0.06416629483027986,0.28113090637849597,0.2883607114595209,0.08315189991344107
17,2,7,2,51.42857142857143,0.10395887337709563,0.1303603039629771,0.1667370870656999,0.027801256203154788
18,3,4,0,0.0,0.3111629476054536,0.0,0.3111629476054536,0.09682237996251426
19,3,5,4,102.85714285714286,-0.06416629483027986,0.28113090637849597,0.2883607114595209,0.08315189991344107
20,3,6,1,25.714285714285715,0.2063093002185346,0.09935332260918879,0.2289860477630613,0.05243461007014699
21,3,7,3,77.14285714285714,0.0641662948302799,0.28113090637849597,0.2883607114595209,0.08315189991344107
22,4,5,1,25.714285714285715,0.2063093002185346,0.09935332260918879,0.2289860477630613,0.05243461007014699
23,4,6,5,128.57142857142858,-0.10395887337709563,0.13036030396297713,0.1667370870656999,0.027801256203154788
24,4,7,4,102.85714285714286,-0.06416629483027986,0.28113090637849597,0.2883607114595209,0.08315189991344107
25,5,6,2,51.42857142857143,0.10395887337709563,0.1303603039629771,0.1667370870656999,0.027801256203154788
26,5,7,5,128.57142857142858,-0.10395887337709563,0.13036030396297713,0.1667370870656999,0.027801256203154788
27,6,7,6,154.28571428571428,-0.20630930021853455,0.0993533226091888,0.22898604776306125,0.05243461007014697
