edge_index,i,j,class,theta_deg,a_Re,b_Im,abs_z,abs_z_sq
0,0,1,3,108.0,-0.09007245960348302,0.2772145260745229,0.29148060217747496,0.08496094144574341
1,0,2,1,36.0,0.15536871059611362,0.11288197576943368,0.1920462878732883,0.036881776685909924
2,0,3,4,144.0,-0.1553687105961136,0.1128819757694337,0.1920462878732883,0.036881776685909924
3,0,4,2,72.0,0.09007245960348308,0.27721452607452285,0.2914806021774749,0.08496094144574338
4,0,5,0,0.0,0.33863771115755353,0.0,0.33863771115755353,0.11467549941802666
5,1,2,4,144.0,-0.1553687105961136,0.1128819757694337,0.1920462878732883,0.036881776685909924
6,1,3,2,72.0,0.09007245960348308,0.27721452607452285,0.2914806021774749,0.08496094144574338
7,1,4,0,0.0,0.33863771115755353,0.0,0.33863771115755353,0.11467549941802666
8,1,5,1,36.0,0.15536871059611362,0.11288197576943368,0.1920462878732883,0.036881776685909924
9,2,3,0,0.0,0.33863771115755353,0.0,0.33863771115755353,0.11467549941802666
10,2,4,3,108.0,-0.09007245960348302,0.2772145260745229,0.29148060217747496,0.08496094144574341
11,2,5,2,72.0,0.09007245960348308,0.27721452607452285,0.2914806021774749,0.08496094144574338
12,3,4,1,36.0,0.15536871059611362,0.11288197576943368,0.1920462878732883,0.036881776685909924
13,3,5,3,108.0,-0.09007245960348302,0.2772145260745229,0.29148060217747496,0.08496094144574341
14,4,5,4,144.0,-0.1553687105961136,0.1128819757694337,0.1920462878732883,0.036881776685909924
