phase,case,step,particle,gauge,chi_read,delta_chi_read,R_read,C_memory,distance_AB_abs,reembedded,delta_chi_gauge_offset,phase_bias,gain
R1,C_reference_plus,3,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,3,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,3,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,3,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,3,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,3,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,4,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,4,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,4,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,4,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,4,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,4,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,4,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,4,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,4,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,4,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,4,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,4,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,4,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,4,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,5,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,5,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,5,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,5,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,5,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,5,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,5,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,5,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,5,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,5,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,5,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,5,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,5,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,5,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,6,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,6,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,6,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,6,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,6,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,6,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,6,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,6,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,6,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,6,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,6,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,6,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,6,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,6,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,7,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,7,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,7,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,7,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,7,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,7,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,7,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,7,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,7,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,7,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,7,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,7,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,7,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,7,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,8,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,8,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,8,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,8,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,8,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,8,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,8,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,8,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,8,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,8,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,8,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,8,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,8,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,8,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,9,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,9,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,9,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,9,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,9,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,9,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,9,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,9,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,9,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,9,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,9,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,9,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,9,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,9,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,10,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,10,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,10,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,10,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,10,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,10,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,10,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,10,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,10,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,10,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,10,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,10,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,10,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,10,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,11,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,11,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,11,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,11,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,11,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,11,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,11,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,11,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,11,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,11,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,11,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,11,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,11,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,11,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,12,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,12,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,12,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,12,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,12,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,12,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,12,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,12,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,12,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,12,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,12,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,12,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,12,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,12,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,13,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,13,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,13,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,13,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,13,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,13,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,13,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,13,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,13,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,13,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,13,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,13,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,13,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,13,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,14,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,14,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,14,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,14,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,14,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,14,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,14,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,14,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,14,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,14,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,14,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,14,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,14,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,14,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,15,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,15,A,g_chi_plus,-0.2495,2e-08,1.0,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,15,A,g_chi_minus,-0.2505,2e-08,1.0,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,15,A,g_phase_plus,-0.25,2.0000000001097785e-08,1.0,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,15,A,g_phase_minus,-0.25,1.999999999870366e-08,1.0,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,15,A,g_gain_high,-0.25,2e-08,1.2,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,15,A,g_gain_low,-0.25,2e-08,0.8,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,15,B,g0,0.25,2e-08,1.5625,2e-08,0.5,False,0.0,0.0,1.0
R1,C_reference_plus,15,B,g_chi_plus,0.2505,2e-08,1.5625,2e-08,0.5,False,0.0005,0.0,1.0
R1,C_reference_plus,15,B,g_chi_minus,0.2495,2e-08,1.5625,2e-08,0.5,False,-0.0005,0.0,1.0
R1,C_reference_plus,15,B,g_phase_plus,0.25,2.0000000001097785e-08,1.5625,2e-08,0.5,False,0.0,0.11,1.0
R1,C_reference_plus,15,B,g_phase_minus,0.25,1.999999999870366e-08,1.5625,2e-08,0.5,False,0.0,-0.13,1.0
R1,C_reference_plus,15,B,g_gain_high,0.25,2e-08,1.875,2e-08,0.5,False,0.0,0.0,1.2
R1,C_reference_plus,15,B,g_gain_low,0.25,2e-08,1.25,2e-08,0.5,False,0.0,0.0,0.8
R1,C_reference_plus,16,A,g0,-0.25,2e-08,1.0,2e-08,0.5,False,0.0,0.0,1.0
