t,H,Q2_re,Q2_im,generator_norm
0,np.float64(928.308177492978),np.float64(-62.40685057396726),np.float64(122.13959175410638),np.float64(27.710672743280128)
1,np.float64(928.3081774929759),np.float64(-62.40685057396718),np.float64(122.13959175410608),np.float64(28.30946379726571)
2,np.float64(928.3081774929788),np.float64(-62.406850573967375),np.float64(122.13959175410633),np.float64(28.466285897652575)
3,np.float64(928.3081774929809),np.float64(-62.406850573967446),np.float64(122.13959175410635),np.float64(28.44506280265723)
4,np.float64(928.3081774929801),np.float64(-62.40685057396771),np.float64(122.13959175410636),np.float64(28.632573038207354)
5,np.float64(928.3081774929806),np.float64(-62.40685057396764),np.float64(122.13959175410619),np.float64(29.051281124145774)
6,np.float64(928.3081774929794),np.float64(-62.406850573967574),np.float64(122.13959175410592),np.float64(29.460913100682273)
7,np.float64(928.3081774929796),np.float64(-62.406850573967674),np.float64(122.13959175410558),np.float64(29.683672851169952)
8,np.float64(928.3081774929764),np.float64(-62.40685057396726),np.float64(122.13959175410503),np.float64(29.70835326446593)
9,np.float64(928.3081774929738),np.float64(-62.40685057396737),np.float64(122.1395917541051),np.float64(29.638640752022543)
10,np.float64(928.3081774929732),np.float64(-62.4068505739683),np.float64(122.13959175410514),np.float64(29.543204409585762)
11,np.float64(928.3081774929717),np.float64(-62.40685057396797),np.float64(122.13959175410518),np.float64(29.585288352424556)
12,np.float64(928.3081774929701),np.float64(-62.40685057396812),np.float64(122.13959175410525),np.float64(29.75951456861398)
13,np.float64(928.3081774929686),np.float64(-62.40685057396835),np.float64(122.13959175410476),np.float64(30.011593646123533)
14,np.float64(928.3081774929648),np.float64(-62.40685057396897),np.float64(122.13959175410372),np.float64(30.18815320231324)
15,np.float64(928.3081774929672),np.float64(-62.4068505739692),np.float64(122.13959175410383),np.float64(30.286408078124246)
16,np.float64(928.3081774929669),np.float64(-62.40685057396939),np.float64(122.13959175410399),np.float64(30.33187409703696)
17,np.float64(928.3081774929673),np.float64(-62.40685057396945),np.float64(122.13959175410386),np.float64(30.338674534877782)
18,np.float64(928.3081774929658),np.float64(-62.40685057396997),np.float64(122.13959175410288),np.float64(30.335993174228285)
19,np.float64(928.3081774929674),np.float64(-62.406850573970246),np.float64(122.13959175410304),np.float64(30.34378126312316)
20,np.float64(928.3081774929681),np.float64(-62.40685057397014),np.float64(122.13959175410292),np.float64(30.35248802089553)
21,np.float64(928.3081774929653),np.float64(-62.406850573969905),np.float64(122.13959175410253),np.float64(30.365418426982966)
22,np.float64(928.3081774929676),np.float64(-62.406850573969905),np.float64(122.13959175410257),np.float64(30.359780731332144)
23,np.float64(928.3081774929684),np.float64(-62.40685057397043),np.float64(122.13959175410277),np.float64(30.36395553001447)
24,np.float64(928.3081774929653),np.float64(-62.40685057396945),np.float64(122.13959175410263),np.float64(30.389565235063028)
25,np.float64(928.3081774929649),np.float64(-62.40685057396915),np.float64(122.13959175410284),np.float64(30.447683144768703)
26,np.float64(928.3081774929649),np.float64(-62.40685057396878),np.float64(122.13959175410298),np.float64(30.51289444537909)
27,np.float64(928.308177492969),np.float64(-62.406850573968896),np.float64(122.1395917541037),np.float64(30.560438712628187)
28,np.float64(928.3081774929722),np.float64(-62.40685057396855),np.float64(122.13959175410366),np.float64(30.58356882117554)
29,np.float64(928.3081774929742),np.float64(-62.40685057396884),np.float64(122.13959175410399),np.float64(30.589200871657635)
30,np.float64(928.3081774929738),np.float64(-62.4068505739686),np.float64(122.13959175410396),np.float64(30.590634292048946)
31,np.float64(928.3081774929724),np.float64(-62.40685057396783),np.float64(122.13959175410398),np.float64(30.602030195744486)
32,np.float64(928.3081774929715),np.float64(-62.4068505739676),np.float64(122.13959175410385),np.float64(30.621510299559038)
33,np.float64(928.3081774929724),np.float64(-62.4068505739676),np.float64(122.13959175410352),np.float64(30.642928298444613)
34,np.float64(928.3081774929709),np.float64(-62.406850573967695),np.float64(122.13959175410322),np.float64(30.65078213896883)
35,np.float64(928.3081774929713),np.float64(-62.406850573968),np.float64(122.13959175410318),np.float64(30.65159938214125)
36,np.float64(928.3081774929731),np.float64(-62.40685057396837),np.float64(122.13959175410349),np.float64(30.64171513727174)
37,np.float64(928.3081774929747),np.float64(-62.40685057396858),np.float64(122.13959175410378),np.float64(30.633093014148358)
38,np.float64(928.3081774929747),np.float64(-62.40685057396792),np.float64(122.139591754104),np.float64(30.630325971834633)
39,np.float64(928.3081774929764),np.float64(-62.40685057396749),np.float64(122.13959175410403),np.float64(30.63834364792232)
40,np.float64(928.30817749298),np.float64(-62.4068505739683),np.float64(122.13959175410403),np.float64(30.65621459066157)
41,np.float64(928.3081774929775),np.float64(-62.406850573968526),np.float64(122.13959175410423),np.float64(30.676014351696164)
42,np.float64(928.3081774929792),np.float64(-62.40685057396837),np.float64(122.13959175410423),np.float64(30.693614716685126)
43,np.float64(928.3081774929758),np.float64(-62.40685057396804),np.float64(122.13959175410405),np.float64(30.712305096301446)
44,np.float64(928.3081774929744),np.float64(-62.40685057396783),np.float64(122.13959175410393),np.float64(30.7391167367845)
45,np.float64(928.3081774929708),np.float64(-62.40685057396795),np.float64(122.1395917541038),np.float64(30.770837911654755)
46,np.float64(928.3081774929693),np.float64(-62.40685057396789),np.float64(122.13959175410346),np.float64(30.795705494905437)
47,np.float64(928.30817749297),np.float64(-62.40685057396763),np.float64(122.13959175410372),np.float64(30.800986441341912)
48,np.float64(928.3081774929663),np.float64(-62.406850573967134),np.float64(122.13959175410302),np.float64(30.78312766207752)
49,np.float64(928.3081774929652),np.float64(-62.40685057396711),np.float64(122.13959175410247),np.float64(30.75121570025806)
50,np.float64(928.3081774929644),np.float64(-62.40685057396681),np.float64(122.1395917541023),np.float64(30.715856331923973)
51,np.float64(928.308177492963),np.float64(-62.406850573967155),np.float64(122.13959175410196),np.float64(30.70061975546091)
52,np.float64(928.3081774929616),np.float64(-62.4068505739676),np.float64(122.13959175410183),np.float64(30.713270442379812)
53,np.float64(928.3081774929593),np.float64(-62.406850573966736),np.float64(122.13959175410228),np.float64(30.745679360946717)
54,np.float64(928.3081774929562),np.float64(-62.40685057396674),np.float64(122.13959175410218),np.float64(30.77508928498543)
55,np.float64(928.3081774929547),np.float64(-62.406850573966864),np.float64(122.13959175410182),np.float64(30.78961910124258)
56,np.float64(928.3081774929543),np.float64(-62.40685057396685),np.float64(122.13959175410166),np.float64(30.79245535363345)
57,np.float64(928.3081774929526),np.float64(-62.40685057396645),np.float64(122.13959175410159),np.float64(30.792220430855362)
58,np.float64(928.3081774929526),np.float64(-62.40685057396637),np.float64(122.13959175410163),np.float64(30.79447389982436)
59,np.float64(928.3081774929534),np.float64(-62.406850573966764),np.float64(122.13959175410214),np.float64(30.80031154752476)
60,np.float64(928.3081774929528),np.float64(-62.40685057396642),np.float64(122.139591754102),np.float64(30.80637703722751)
61,np.float64(928.308177492954),np.float64(-62.40685057396672),np.float64(122.13959175410162),np.float64(30.808085469963135)
62,np.float64(928.3081774929526),np.float64(-62.406850573966594),np.float64(122.13959175410143),np.float64(30.802001493596684)
63,np.float64(928.308177492953),np.float64(-62.4068505739663),np.float64(122.13959175410153),np.float64(30.79232474276419)
64,np.float64(928.3081774929515),np.float64(-62.40685057396641),np.float64(122.13959175410133),np.float64(30.786079937813014)
65,np.float64(928.3081774929495),np.float64(-62.406850573967056),np.float64(122.1395917541007),np.float64(30.79070680875507)
66,np.float64(928.3081774929499),np.float64(-62.406850573966594),np.float64(122.13959175410096),np.float64(30.804161157277775)
67,np.float64(928.3081774929494),np.float64(-62.40685057396678),np.float64(122.13959175410073),np.float64(30.818003460832596)
68,np.float64(928.3081774929487),np.float64(-62.40685057396624),np.float64(122.13959175410065),np.float64(30.82851225029914)
69,np.float64(928.30817749295),np.float64(-62.406850573966715),np.float64(122.13959175410073),np.float64(30.832996009605832)
70,np.float64(928.3081774929532),np.float64(-62.406850573966786),np.float64(122.13959175410147),np.float64(30.830692359327834)
71,np.float64(928.3081774929502),np.float64(-62.40685057396648),np.float64(122.13959175410098),np.float64(30.823115930817565)
72,np.float64(928.30817749295),np.float64(-62.406850573966764),np.float64(122.13959175410065),np.float64(30.812083732759966)
73,np.float64(928.3081774929531),np.float64(-62.40685057396678),np.float64(122.13959175410086),np.float64(30.804841605752735)
74,np.float64(928.3081774929517),np.float64(-62.40685057396675),np.float64(122.13959175410078),np.float64(30.804266238002484)
75,np.float64(928.3081774929541),np.float64(-62.40685057396609),np.float64(122.13959175410095),np.float64(30.812210088098773)
76,np.float64(928.3081774929524),np.float64(-62.40685057396511),np.float64(122.13959175410113),np.float64(30.824820112183172)
77,np.float64(928.3081774929502),np.float64(-62.40685057396496),np.float64(122.13959175410066),np.float64(30.8382751508866)
78,np.float64(928.3081774929487),np.float64(-62.40685057396448),np.float64(122.1395917541008),np.float64(30.848274379691237)
79,np.float64(928.3081774929494),np.float64(-62.40685057396439),np.float64(122.13959175410129),np.float64(30.850855629812223)
80,np.float64(928.3081774929465),np.float64(-62.40685057396436),np.float64(122.13959175410113),np.float64(30.846450468953552)
81,np.float64(928.3081774929473),np.float64(-62.40685057396435),np.float64(122.13959175410145),np.float64(30.83743838665089)
82,np.float64(928.3081774929481),np.float64(-62.40685057396436),np.float64(122.13959175410139),np.float64(30.832074920041997)
83,np.float64(928.3081774929493),np.float64(-62.40685057396442),np.float64(122.13959175410145),np.float64(30.83046186818381)
84,np.float64(928.3081774929497),np.float64(-62.40685057396479),np.float64(122.13959175410088),np.float64(30.82989354447564)
85,np.float64(928.3081774929517),np.float64(-62.406850573963986),np.float64(122.13959175410139),np.float64(30.829590814146325)
86,np.float64(928.3081774929567),np.float64(-62.406850573964306),np.float64(122.13959175410184),np.float64(30.82939487370989)
87,np.float64(928.3081774929537),np.float64(-62.40685057396453),np.float64(122.13959175410143),np.float64(30.832390447660963)
88,np.float64(928.3081774929528),np.float64(-62.406850573964064),np.float64(122.13959175410145),np.float64(30.837994572960657)
89,np.float64(928.3081774929535),np.float64(-62.40685057396393),np.float64(122.13959175410137),np.float64(30.84694231954212)
90,np.float64(928.3081774929551),np.float64(-62.406850573963574),np.float64(122.13959175410186),np.float64(30.85718244503976)
91,np.float64(928.3081774929553),np.float64(-62.40685057396357),np.float64(122.13959175410176),np.float64(30.865615940081888)
92,np.float64(928.3081774929558),np.float64(-62.40685057396368),np.float64(122.13959175410189),np.float64(30.86756635972776)
93,np.float64(928.3081774929566),np.float64(-62.40685057396328),np.float64(122.1395917541026),np.float64(30.859146385376956)
94,np.float64(928.3081774929578),np.float64(-62.40685057396369),np.float64(122.13959175410251),np.float64(30.843747956204222)
95,np.float64(928.3081774929582),np.float64(-62.406850573963546),np.float64(122.13959175410233),np.float64(30.828362906694778)
96,np.float64(928.3081774929583),np.float64(-62.40685057396361),np.float64(122.1395917541023),np.float64(30.823280869520186)
97,np.float64(928.3081774929575),np.float64(-62.40685057396378),np.float64(122.13959175410223),np.float64(30.829161946865437)
98,np.float64(928.3081774929578),np.float64(-62.40685057396397),np.float64(122.13959175410233),np.float64(30.84024036535436)
99,np.float64(928.3081774929574),np.float64(-62.40685057396452),np.float64(122.13959175410207),np.float64(30.852206377894948)
100,np.float64(928.3081774929547),np.float64(-62.40685057396462),np.float64(122.1395917541015),np.float64(30.86153652012304)
101,np.float64(928.3081774929574),np.float64(-62.40685057396511),np.float64(122.1395917541017),np.float64(30.86616516866995)
102,np.float64(928.3081774929578),np.float64(-62.406850573965116),np.float64(122.13959175410143),np.float64(30.864665133075853)
103,np.float64(928.3081774929587),np.float64(-62.406850573965514),np.float64(122.13959175410142),np.float64(30.859754692934562)
104,np.float64(928.3081774929608),np.float64(-62.406850573965585),np.float64(122.13959175410172),np.float64(30.855066652507684)
105,np.float64(928.3081774929644),np.float64(-62.40685057396555),np.float64(122.13959175410204),np.float64(30.852778340800118)
106,np.float64(928.3081774929631),np.float64(-62.40685057396631),np.float64(122.13959175410153),np.float64(30.85141156137205)
107,np.float64(928.3081774929609),np.float64(-62.4068505739666),np.float64(122.13959175410116),np.float64(30.847266803931493)
108,np.float64(928.3081774929595),np.float64(-62.406850573966594),np.float64(122.13959175410096),np.float64(30.840924004217054)
