variant,amplitude,theta_over_pi_tail_mean,theta_over_pi_tail_std,theta_over_pi_initial
V1_coherent_X_power,0.05,5.477245401638108e-09,9.094158095061104e-09,0.015524766083820626
V1_coherent_X_power,0.05398875811638549,1.9631141015242274e-09,3.4354653028601235e-09,0.01676089045037693
V1_coherent_X_power,0.05829572005899158,6.451512583015342e-10,1.1886968440675006e-09,0.01809501572839849
V1_coherent_X_power,0.06294627058970836,1.9291387721022996e-10,3.7386516957674865e-10,0.01953480247154006
V1_coherent_X_power,0.06796781954392626,5.204316651608802e-11,1.0599196569126614e-10,0.02108848192625798
V1_coherent_X_power,0.07338996338110348,1.2548623401848952e-11,2.6836208988858675e-11,0.02276489125224766
V1_coherent_X_power,0.07924465962305566,2.6765375151066573e-12,6.006360544503643e-12,0.024573508958597966
V1_coherent_X_power,0.08556641520808904,4.993512867050941e-13,1.174916365273074e-12,0.02652448993553621
V1_coherent_X_power,0.09239248987111452,8.148080692593115e-14,1.9796202464479856e-13,0.028628699262770438
V1_coherent_X_power,0.09976311574844397,2.5717444553710667e-14,4.213614562849998e-14,0.03089774372903597
V1_coherent_X_power,0.10772173450159415,2.3682147774489126e-13,5.997545527778372e-13,0.03334399969460113
V1_coherent_X_power,0.1163152533576813,4.629299981707178e-12,1.2299247954519291e-11,0.03598063555953029
V1_coherent_X_power,0.125594321575479,1.3621722080380154e-10,3.7712558329181713e-10,0.038821626655489536
V1_coherent_X_power,0.1356136289666014,5.186897027492383e-09,1.495523219005298e-08,0.04188175984836974
V1_coherent_X_power,0.1464322282312618,2.080024279526627e-07,6.242380043282083e-07,0.04517662451534075
V1_coherent_X_power,0.15811388300841894,1.2581026043480557e-05,3.927978827287707e-05,0.04872258583927937
V1_coherent_X_power,0.17072744369168005,0.001009483581312195,0.0033301451684595532,0.0525367355486829
V1_coherent_X_power,0.18434725322597875,0.006651618854524782,0.026120774974981064,0.05663681433589266
V1_coherent_X_power,0.1990535852767486,0.006666631772078551,0.023517354492838854,0.06104109924086732
V1_coherent_X_power,0.2149331173541138,0.0066666647959195335,0.03239957500405805,0.06576824834575033
V1_coherent_X_power,0.2320794416806389,0.006666594018629823,0.02973065869681541,0.07083709427360063
V1_coherent_X_power,0.25059361681363607,0.006663211868411773,0.031157256891697068,0.07626637735222279
V1_coherent_X_power,0.2705847632732318,0.006421898177946197,0.03656802927312316,0.08207440907341688
V1_coherent_X_power,0.2921707066867587,0.00010894698509663378,0.0005333634771157368,0.08827865689272454
V1_coherent_X_power,0.3154786722400966,1.0097579876414778e-07,4.1983822620643077e-07,0.09489524278191627
V1_coherent_X_power,0.3406460345289806,7.003933407354977e-05,0.0003162520200642699,0.10193835062730669
V1_coherent_X_power,0.36782112722982063,0.006665762679940762,0.03367415172717093,0.10941954194873131
V1_coherent_X_power,0.39716411736214075,0.006666666666489555,0.03879341922952003,0.11734698585381277
V1_coherent_X_power,0.428847949295447,0.006666666666664034,0.03682829454973812,0.1257246178756488
V1_coherent_X_power,0.4630593640643967,0.00666666666653218,0.03686136291348868,0.13455125335393728
V1_coherent_X_power,0.49999999999999994,0.00666733612629223,0.03850945447633563,0.14381969388458327
V1_coherent_X_power,0.5398875811638546,0.013308292267359594,0.04624968359283063,0.15351587908443617
V1_coherent_X_power,0.5829572005899157,0.006667722729403133,0.03434636929831703,0.16361814881509382
V1_coherent_X_power,0.6294627058970836,0.006666666669762392,0.040506167994052066,0.17409669072646075
V1_coherent_X_power,0.6796781954392627,0.00670975370679564,0.03790939899627965,0.18491325169761783
V1_coherent_X_power,0.7338996338110348,0.013333333283802965,0.052937498304137805,0.19602118665943505
V1_coherent_X_power,0.7924465962305566,0.01332393984191302,0.05550918378895323,0.20736590229792018
V1_coherent_X_power,0.8556641520808904,0.013333171924090371,0.05303676986422477,0.2188857257423625
V1_coherent_X_power,0.9239248987111452,0.013333333356565984,0.05398362321527105,0.23051319129154824
V1_coherent_X_power,0.9976311574844398,0.01981696887951515,0.06867139786602054,0.24217669580474543
V1_coherent_X_power,1.0772173450159415,0.12453593670680159,0.1276859721173247,0.2538024319314325
V1_coherent_X_power,1.163152533576813,0.1350181982720214,0.1343712474099239,0.2653164750737109
V1_coherent_X_power,1.2559432157547896,0.14011438930734632,0.1397234990870846,0.27664688119036873
V1_coherent_X_power,1.356136289666014,0.1994185831345493,0.12596385244915217,0.28772565200651856
V1_coherent_X_power,1.4643222823126176,0.19476684490565968,0.1374168198041646,0.29849044198300123
V1_coherent_X_power,1.5811388300841895,0.22434234675071935,0.12867700291379255,0.30888591393647763
V1_coherent_X_power,1.7072744369168,0.2515552546307422,0.11363999663049681,0.31886469122776573
V1_coherent_X_power,1.8434725322597874,0.221110253905312,0.1396959046396717,0.3283878967089974
V1_coherent_X_power,1.9905358527674863,0.23520639273644178,0.1383489223661651,0.33742530565478535
V1_coherent_X_power,2.149331173541138,0.2724872643805022,0.12072710970362158,0.3459551672428552
V1_coherent_X_power,2.3207944168063896,0.27032331409761656,0.12873668372977184,0.3539637648846368
V1_coherent_X_power,2.505936168136361,0.30644620395691025,0.10791109075801837,0.36144479026617904
V1_coherent_X_power,2.7058476327323184,0.33333333333333326,0.0647356060334559,0.3683986014414773
V1_coherent_X_power,2.921707066867587,0.3333333333333333,0.06757399438781188,0.37483142465916325
V1_coherent_X_power,3.1547867224009662,0.3333333333264438,0.0730214515751444,0.38075454584019863
V1_coherent_X_power,3.4064603452898052,0.3333318519812931,0.08444662794325813,0.3861835233969868
V1_coherent_X_power,3.6782112722982063,0.33332573264940135,0.08916961384391424,0.3911374413621825
V1_coherent_X_power,3.971641173621406,0.319150028828347,0.11776805805220525,0.3956382118009321
V1_coherent_X_power,4.28847949295447,0.2968694114064175,0.14330436600015736,0.3997099287316052
V1_coherent_X_power,4.630593640643966,0.3180720020613089,0.12879681782280328,0.4033782721981932
V1_coherent_X_power,5.0,0.3293385240299313,0.11865741776419012,0.4066699601877728
V2_relational_cross,0.05,0.015525977033444592,9.458364003515743e-17,0.23922981526384055
V2_relational_cross,0.05398875811638549,0.016762414329841314,6.806398840807378e-16,0.23939223492330086
