amplitude,theta_over_pi_tail_mean,tail_std,dist_to_one_third,locked
2.4,0.2885170789050092,0.11923462518844928,0.0448162544283241,False
2.5,0.3143723640649578,0.09844189939483412,0.018960969268375538,False
2.6,0.3333333333333333,0.06449618324057785,0.0,True
2.7,0.3333333333333333,0.06468726201697711,0.0,True
2.8,0.33333333333333326,0.06578899464017922,5.551115123125783e-17,True
2.9,0.3333333333333333,0.06723606521091322,0.0,True
3.0,0.3333333333333333,0.06883264089103854,0.0,True
3.1,0.3333340949224987,0.07048859364390388,7.615891653989237e-07,False
3.2,0.3333333333333333,0.075353610535934,0.0,True
3.3,0.3333333333333333,0.08004134975903571,0.0,True
3.4000000000000004,0.3333333025113033,0.0841889989660687,3.0822030039345805e-08,False
3.5,0.33326875558977764,0.08674509607484306,6.457774355567159e-05,False
3.6,0.3336413502482999,0.08705329340451946,0.000308016914966569,False
