edge_index,i,j,class,theta_deg,a_Re,b_Im,abs_z,abs_z_sq
0,0,1,4,102.85714285714286,-0.0509541892112016,0.22324488946440868,0.22898604776306128,0.05243461007014698
1,0,2,1,25.714285714285715,0.15022492457093076,0.07234451078563572,0.16673708706569992,0.0278012562031548
2,0,3,5,128.57142857142858,-0.17978996285174015,0.22544948252593314,0.288360711459521,0.08315189991344114
3,0,4,2,51.42857142857143,0.17978996285174012,0.225449482525933,0.2883607114595209,0.08315189991344107
4,0,5,6,154.28571428571428,-0.1502249245709307,0.07234451078563572,0.16673708706569987,0.027801256203154778
5,0,6,3,77.14285714285714,0.050954189211201636,0.2232448894644087,0.2289860477630613,0.05243461007014699
6,0,7,0,0.0,0.3111629476054536,0.0,0.3111629476054536,0.09682237996251426
7,1,2,5,128.57142857142858,-0.17978996285174015,0.22544948252593314,0.288360711459521,0.08315189991344114
8,1,3,2,51.42857142857143,0.17978996285174012,0.225449482525933,0.2883607114595209,0.08315189991344107
9,1,4,6,154.28571428571428,-0.1502249245709307,0.07234451078563572,0.16673708706569987,0.027801256203154778
10,1,5,3,77.14285714285714,0.050954189211201636,0.2232448894644087,0.2289860477630613,0.05243461007014699
11,1,6,0,0.0,0.3111629476054536,0.0,0.3111629476054536,0.09682237996251426
12,1,7,1,25.714285714285715,0.15022492457093076,0.07234451078563572,0.16673708706569992,0.0278012562031548
13,2,3,6,154.28571428571428,-0.1502249245709307,0.07234451078563572,0.16673708706569987,0.027801256203154778
14,2,4,3,77.14285714285714,0.050954189211201636,0.2232448894644087,0.2289860477630613,0.05243461007014699
15,2,5,0,0.0,0.3111629476054536,0.0,0.3111629476054536,0.09682237996251426
16,2,6,4,102.85714285714286,-0.0509541892112016,0.22324488946440868,0.22898604776306128,0.05243461007014698
17,2,7,2,51.42857142857143,0.17978996285174012,0.225449482525933,0.2883607114595209,0.08315189991344107
18,3,4,0,0.0,0.3111629476054536,0.0,0.3111629476054536,0.09682237996251426
19,3,5,4,102.85714285714286,-0.0509541892112016,0.22324488946440868,0.22898604776306128,0.05243461007014698
20,3,6,1,25.714285714285715,0.15022492457093076,0.07234451078563572,0.16673708706569992,0.0278012562031548
21,3,7,3,77.14285714285714,0.050954189211201636,0.2232448894644087,0.2289860477630613,0.05243461007014699
22,4,5,1,25.714285714285715,0.15022492457093076,0.07234451078563572,0.16673708706569992,0.0278012562031548
23,4,6,5,128.57142857142858,-0.17978996285174015,0.22544948252593314,0.288360711459521,0.08315189991344114
24,4,7,4,102.85714285714286,-0.0509541892112016,0.22324488946440868,0.22898604776306128,0.05243461007014698
25,5,6,2,51.42857142857143,0.17978996285174012,0.225449482525933,0.2883607114595209,0.08315189991344107
26,5,7,5,128.57142857142858,-0.17978996285174015,0.22544948252593314,0.288360711459521,0.08315189991344114
27,6,7,6,154.28571428571428,-0.1502249245709307,0.07234451078563572,0.16673708706569987,0.027801256203154778
