step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,2.2148194360453212e-32,1.3071472802069166e-32,0.8474576271186441,0.05440475431240307
25,4.430208740356582e-29,2.6146308865909105e-29,0.8474576271186439,0.05440475431240344
50,1.2365354930532398e-28,7.297813899944394e-29,0.8474576271186429,0.05440475431240336
75,1.4040480743646957e-28,8.286443543960262e-29,0.8474576271186417,0.054404754312403734
100,2.6308452935178275e-28,1.5526783872762532e-28,0.8474576271186408,0.05440475431240399
125,3.984323972509963e-28,2.351477578429115e-28,0.8474576271186409,0.05440475431240384
150,6.217797318757899e-28,3.6696340666958804e-28,0.847457627118641,0.054404754312404345
200,1.3158037486267323e-27,7.76564113223827e-28,0.8474576271186393,0.05440475431240509
300,4.4366946901089526e-27,2.6184587794837546e-27,0.8474576271186433,0.05440475431240465
500,2.60833737138549e-26,1.539394609501902e-26,0.8474576271186373,0.054404754312406885
750,2.3898405035674023e-25,1.4104416204435701e-25,0.8474576271186338,0.05440475431241146
1000,5.011086381697696e-24,2.9574546024441612e-24,0.8474576271186239,0.05440475431241906
1500,3.8481648473315116e-20,2.2711188696064593e-20,0.8474576271186146,0.05440475431242758
2000,3.881326256119872e-16,2.290690146885089e-16,0.8474576271186124,0.05440475431243109
3000,3.2017780003179376e-08,1.8896327785581105e-08,0.8474575942042272,0.05440475888490242
4000,1.0344665604456647,0.6105238779035528,0.3848429710574116,0.11862009692197882
5000,1.652512702080846,0.9752837856108176,0.42160865592473573,0.13260107671588714
7500,1.445252046990351,0.8529622106840848,0.2420773160890386,0.14534858818126756
10000,1.6434778745330192,0.9699515900988871,0.22702278337632986,0.16123683380189857
15000,1.543104701497693,0.9107131176511096,0.17423555402039348,0.1987380242466423
20000,1.6282590229551424,0.9609696929181393,0.16650629786780063,0.21215859907756768
25000,1.6531490256023242,0.9756593325044467,0.16554942390726088,0.21693123263304237
30000,1.661665233844375,0.9806854480693902,0.16560999787530067,0.21858047416079124
35000,1.6618295254372946,0.9807824100630834,0.1653848400110722,0.2192548280097922
40000,1.6679584521831823,0.9843995942882492,0.16533972429383412,0.21954205417521616
