N,M,decomposition,block_id,block_size,closure_residual,edges
3,3,round_robin_matching,0,1,0.9999999999999999,2-3
3,3,round_robin_matching,1,1,1.0,1-3
3,3,round_robin_matching,2,1,1.0,1-2
3,3,walecki_hamilton_cycle,0,3,2.8085494517735225e-14,"1-3,1-2,2-3"
4,6,round_robin_matching,0,2,0.9999999999999999,"1-4,2-3"
4,6,round_robin_matching,1,2,1.0,"1-3,2-4"
4,6,round_robin_matching,2,2,1.0,"1-2,3-4"
5,10,round_robin_matching,0,2,1.0,"2-5,3-4"
5,10,round_robin_matching,1,2,1.0,"1-5,2-3"
5,10,round_robin_matching,2,2,0.08658395947735205,"1-4,3-5"
5,10,round_robin_matching,3,2,0.996244556157394,"1-3,2-4"
5,10,round_robin_matching,4,2,1.0000000000000002,"1-2,4-5"
5,10,walecki_hamilton_cycle,0,5,0.21724850436547935,"1-5,1-4,2-4,2-3,3-5"
5,10,walecki_hamilton_cycle,1,5,0.21724850440971705,"2-5,1-2,1-3,3-4,4-5"
6,15,round_robin_matching,0,3,0.3091455529450155,"1-6,2-5,3-4"
6,15,round_robin_matching,1,3,0.9150822975432552,"1-5,4-6,2-3"
6,15,round_robin_matching,2,3,0.9685940192361238,"1-4,3-5,2-6"
6,15,round_robin_matching,3,3,0.9998747930731028,"1-3,2-4,5-6"
6,15,round_robin_matching,4,3,0.38954695433138065,"1-2,3-6,4-5"
7,21,round_robin_matching,0,3,0.9890217934513811,"2-7,3-6,4-5"
7,21,round_robin_matching,1,3,0.9978625068695469,"1-7,2-5,3-4"
7,21,round_robin_matching,2,3,0.7651335659047206,"1-6,5-7,2-3"
7,21,round_robin_matching,3,3,0.5815525381337168,"1-5,4-6,3-7"
7,21,round_robin_matching,4,3,0.8029060892663281,"1-4,3-5,2-6"
7,21,round_robin_matching,5,3,0.7485163101761947,"1-3,2-4,6-7"
7,21,round_robin_matching,6,3,0.7466334883351408,"1-2,4-7,5-6"
7,21,walecki_hamilton_cycle,0,7,0.5956475066113097,"1-7,1-6,2-6,2-5,3-5,3-4,4-7"
7,21,walecki_hamilton_cycle,1,7,0.7409319715429457,"2-7,1-2,1-3,3-6,4-6,4-5,5-7"
7,21,walecki_hamilton_cycle,2,7,0.7198344338845853,"3-7,2-3,2-4,1-4,1-5,5-6,6-7"
8,28,round_robin_matching,0,4,0.8776237854227624,"1-8,2-7,3-6,4-5"
8,28,round_robin_matching,1,4,0.3335521511549204,"1-7,6-8,2-5,3-4"
8,28,round_robin_matching,2,4,0.6995277665635108,"1-6,5-7,4-8,2-3"
8,28,round_robin_matching,3,4,0.2317101197235445,"1-5,4-6,3-7,2-8"
8,28,round_robin_matching,4,4,0.7802538110535288,"1-4,3-5,2-6,7-8"
8,28,round_robin_matching,5,4,0.9827677314310864,"1-3,2-4,5-8,6-7"
8,28,round_robin_matching,6,4,0.9519360788789192,"1-2,3-8,4-7,5-6"
9,36,round_robin_matching,0,4,0.5557221158723222,"2-9,3-8,4-7,5-6"
9,36,round_robin_matching,1,4,0.8005101208297596,"1-9,2-7,3-6,4-5"
9,36,round_robin_matching,2,4,0.5029963799296159,"1-8,7-9,2-5,3-4"
9,36,round_robin_matching,3,4,0.8430207368182241,"1-7,6-8,5-9,2-3"
9,36,round_robin_matching,4,4,0.8296990059145384,"1-6,5-7,4-8,3-9"
9,36,round_robin_matching,5,4,0.7701337431026333,"1-5,4-6,3-7,2-8"
9,36,round_robin_matching,6,4,0.5250993394982513,"1-4,3-5,2-6,8-9"
9,36,round_robin_matching,7,4,0.38009217897064407,"1-3,2-4,6-9,7-8"
9,36,round_robin_matching,8,4,0.8187748450393023,"1-2,4-9,5-8,6-7"
9,36,walecki_hamilton_cycle,0,9,0.8197315923440787,"1-9,1-8,2-8,2-7,3-7,3-6,4-6,4-5,5-9"
9,36,walecki_hamilton_cycle,1,9,0.6125595294563851,"2-9,1-2,1-3,3-8,4-8,4-7,5-7,5-6,6-9"
9,36,walecki_hamilton_cycle,2,9,0.19471748980844558,"3-9,2-3,2-4,1-4,1-5,5-8,6-8,6-7,7-9"
9,36,walecki_hamilton_cycle,3,9,0.1707397820081898,"4-9,3-4,3-5,2-5,2-6,1-6,1-7,7-8,8-9"
10,45,round_robin_matching,0,5,0.7360680585363845,"1-10,2-9,3-8,4-7,5-6"
10,45,round_robin_matching,1,5,0.7520400308288098,"1-9,8-10,2-7,3-6,4-5"
10,45,round_robin_matching,2,5,0.7862066057463727,"1-8,7-9,6-10,2-5,3-4"
10,45,round_robin_matching,3,5,0.4710916310869952,"1-7,6-8,5-9,4-10,2-3"
10,45,round_robin_matching,4,5,0.5243663280493291,"1-6,5-7,4-8,3-9,2-10"
10,45,round_robin_matching,5,5,0.6623249133538657,"1-5,4-6,3-7,2-8,9-10"
10,45,round_robin_matching,6,5,0.9041262344184002,"1-4,3-5,2-6,7-10,8-9"
10,45,round_robin_matching,7,5,0.23238961066602826,"1-3,2-4,5-10,6-9,7-8"
10,45,round_robin_matching,8,5,0.6691267780219051,"1-2,3-10,4-9,5-8,6-7"
11,55,round_robin_matching,0,5,0.3005507596562079,"2-11,3-10,4-9,5-8,6-7"
11,55,round_robin_matching,1,5,0.7639332244658189,"1-11,2-9,3-8,4-7,5-6"
11,55,round_robin_matching,2,5,0.4776715819323733,"1-10,9-11,2-7,3-6,4-5"
11,55,round_robin_matching,3,5,0.8893538710813895,"1-9,8-10,7-11,2-5,3-4"
11,55,round_robin_matching,4,5,0.8021983060375553,"1-8,7-9,6-10,5-11,2-3"
11,55,round_robin_matching,5,5,0.9492105295147284,"1-7,6-8,5-9,4-10,3-11"
11,55,round_robin_matching,6,5,0.4375794729022851,"1-6,5-7,4-8,3-9,2-10"
11,55,round_robin_matching,7,5,0.7373150877729944,"1-5,4-6,3-7,2-8,10-11"
11,55,round_robin_matching,8,5,0.8284484905445499,"1-4,3-5,2-6,8-11,9-10"
11,55,round_robin_matching,9,5,0.31772266338352967,"1-3,2-4,6-11,7-10,8-9"
11,55,round_robin_matching,10,5,0.5637597309459184,"1-2,4-11,5-10,6-9,7-8"
11,55,walecki_hamilton_cycle,0,11,0.47952781597575644,"1-11,1-10,2-10,2-9,3-9,3-8,4-8,4-7,5-7,5-6,6-11"
11,55,walecki_hamilton_cycle,1,11,0.2947701572919586,"2-11,1-2,1-3,3-10,4-10,4-9,5-9,5-8,6-8,6-7,7-11"
11,55,walecki_hamilton_cycle,2,11,0.6404480116095439,"3-11,2-3,2-4,1-4,1-5,5-10,6-10,6-9,7-9,7-8,8-11"
11,55,walecki_hamilton_cycle,3,11,0.16001160417828916,"4-11,3-4,3-5,2-5,2-6,1-6,1-7,7-10,8-10,8-9,9-11"
11,55,walecki_hamilton_cycle,4,11,0.7491525809185852,"5-11,4-5,4-6,3-6,3-7,2-7,2-8,1-8,1-9,9-10,10-11"
12,66,round_robin_matching,0,6,0.4655420454319304,"1-12,2-11,3-10,4-9,5-8,6-7"
12,66,round_robin_matching,1,6,0.3283876497823292,"1-11,10-12,2-9,3-8,4-7,5-6"
12,66,round_robin_matching,2,6,0.1920295836862436,"1-10,9-11,8-12,2-7,3-6,4-5"
12,66,round_robin_matching,3,6,0.7742984364009827,"1-9,8-10,7-11,6-12,2-5,3-4"
12,66,round_robin_matching,4,6,0.3324439602779464,"1-8,7-9,6-10,5-11,4-12,2-3"
12,66,round_robin_matching,5,6,0.8044479295090573,"1-7,6-8,5-9,4-10,3-11,2-12"
12,66,round_robin_matching,6,6,0.5489728428418931,"1-6,5-7,4-8,3-9,2-10,11-12"
