N,M,total_closure_residual,best_pair_residual,pair_hits_lt1e-6,pair_exact_cover_count_capped100,best_triple_residual,triple_hits_lt1e-6,triple_exact_cover_count_capped100,roundrobin_min,roundrobin_mean,roundrobin_max,hamilton_min,hamilton_mean,hamilton_max
3,3,1.0205530213811891e-13,0.33333333333322757,0,0,1.0205530213811891e-13,1,1,1.0,1.0,1.0000000000000002,1.0205530213811891e-13,1.0205530213811891e-13,1.0205530213811891e-13
4,6,6.937654203137078e-14,0.33333333333289317,0,0,1.652820578065543e-13,12,6,1.0,1.0,1.0000000000000002,,,
5,10,2.683486577255867e-15,1.879825521094725e-10,13,12,0.33333333207545784,0,0,0.08658395947735205,0.8165657031269491,1.0000000000000002,0.21724850436547935,0.21724850438759818,0.21724850440971705
6,15,4.206874150037691e-14,0.3526714773718721,0,0,0.027915432227397792,0,0,0.30914551768160725,0.7164487295950605,0.9998747939909967,,,
7,21,4.607091411247334e-14,0.1418384493904845,0,0,0.04780931983611551,0,0,0.5815565050285912,0.804518606991118,0.9978611469218625,0.5956481515371999,0.6854739374188638,0.7409301263386335
8,28,6.020493610236996e-14,0.03838843827875651,0,0,0.028621742653668427,0,0,0.23171038572932995,0.6939102449913666,0.9827677921841953,,,
9,36,5.893112566608862e-14,0.09154681241896441,0,0,0.012509222203436943,0,0,0.38009196263315925,0.6695609233593163,0.8430207810860834,0.17073969234158454,0.4494371789806809,0.8197320911227862
10,45,3.3037809278935183e-14,0.04136618667341878,0,0,0.011963406517347884,0,0,0.23238958975794388,0.6375266975685582,0.9041262211996247,,,
11,55,4.303282592688387e-14,0.028376939822794354,0,0,0.0038330738685082295,0,0,0.3005504961124073,0.6425221441173136,0.9492105797960739,0.16001157492062035,0.46478204890712027,0.7491526280485681
12,66,6.338161660129633e-14,0.04902686868868859,0,0,0.007171241153272398,0,0,0.09625241725608892,0.41184542072528285,0.8044479295106219,,,
13,78,2.456801199277645e-14,0.029783253693041786,0,0,0.001558883601339961,0,0,0.23954837925729225,0.529073224306745,0.836688736264577,0.21914255762551793,0.32987779748885687,0.41185520861119507
14,91,4.137893082576199e-14,0.013717811949926986,0,0,0.0020363064352840986,0,0,0.2624695346531107,0.47165664395895185,0.8744718906313597,,,
15,105,3.612152934134416e-14,0.012533371285899528,0,0,0.0010446205952388873,0,0,0.07468564672707385,0.427156370237538,0.6952540545698613,0.030440441446757477,0.31859837269588737,0.5779735971731047
16,120,4.701789159836983e-14,0.01792071996616549,0,0,0.0002131812651808797,0,0,0.21773659324257144,0.5599558722300053,0.7702378851285134,,,
