A_C,R_C,loop_gain,epsilon_chi_AB,epsilon_chi_C,delta_chi_C_est,delta_tau_C_est,observer_C_quasi_static,label_preserved,q_reversed,separated_after_collision,collision_cell_reached,post_collision_propagation_completed,closure_preserved,closure_residual_abs,model_valid,collision_step,post_collision_steps,initial_signal_A_abs,initial_signal_B_abs,final_signal_A_abs,final_signal_B_abs
1.0,1.0,2.0,0.031415926535897934,0.0031415926535897933,0.06283185307179587,0.06283185307179587,False,True,True,True,True,True,True,0.0,False,19,21,1.0000000000000686e-06,9.999999999999983e-07,9.999999999997782e-07,9.999999999998384e-07
2.0,2.0,1.0,0.031415926535897934,0.0031415926535897933,0.031415926535897934,0.031415926535897934,False,True,True,True,True,True,True,0.0,False,19,21,2.000000000000137e-06,1.9999999999999965e-06,1.9999999999995565e-06,1.9999999999996768e-06
3.0,3.0,0.6666666666666666,0.031415926535897934,0.0031415926535897933,0.020943951023931956,0.020943951023931956,False,True,True,True,True,True,True,0.0,False,19,21,3.0000000000002055e-06,2.999999999999995e-06,2.9999999999993347e-06,2.9999999999995147e-06
5.0,5.0,0.4,0.031415926535897934,0.0031415926535897933,0.012566370614359175,0.012566370614359175,False,True,True,True,True,True,True,0.0,False,19,21,5.000000000000343e-06,4.999999999999992e-06,4.999999999998891e-06,4.9999999999991915e-06
10.0,10.0,0.2,0.031415926535897934,0.0031415926535897933,0.0062831853071795875,0.0062831853071795875,False,True,True,True,True,True,True,0.0,False,19,21,1.0000000000000685e-05,9.999999999999984e-06,9.999999999997782e-06,9.999999999998383e-06
15.0,15.0,0.13333333333333333,0.031415926535897934,0.0031415926535897933,0.004188790204786391,0.004188790204786391,False,True,True,True,True,True,True,0.0,False,19,21,1.5000000000001029e-05,1.4999999999999975e-05,1.4999999999996673e-05,1.4999999999997574e-05
20.0,20.0,0.1,0.031415926535897934,0.0031415926535897933,0.0031415926535897937,0.0031415926535897937,True,True,True,True,True,True,True,0.0,True,19,21,2.000000000000137e-05,1.9999999999999968e-05,1.9999999999995563e-05,1.9999999999996766e-05
30.0,30.0,0.06666666666666667,0.031415926535897934,0.0031415926535897933,0.0020943951023931957,0.0020943951023931957,True,True,True,True,True,True,True,0.0,True,19,21,3.0000000000002057e-05,2.999999999999995e-05,2.9999999999993346e-05,2.999999999999515e-05
50.0,50.0,0.04,0.031415926535897934,0.0031415926535897933,0.0012566370614359175,0.0012566370614359175,True,True,True,True,True,True,True,0.0,True,19,21,5.000000000000343e-05,4.9999999999999914e-05,4.999999999998891e-05,4.999999999999191e-05
100.0,100.0,0.02,0.031415926535897934,0.0031415926535897933,0.0006283185307179587,0.0006283185307179587,True,True,True,True,True,True,True,0.0,True,19,21,0.00010000000000000686,9.999999999999983e-05,9.999999999997782e-05,9.999999999998382e-05
300.0,300.0,0.006666666666666667,0.031415926535897934,0.0031415926535897933,0.00020943951023931958,0.00020943951023931958,True,True,True,True,True,True,True,0.0,True,19,21,0.0003000000000000205,0.0002999999999999995,0.00029999999999993346,0.00029999999999995146
1000.0,1000.0,0.002,0.031415926535897934,0.0031415926535897933,6.283185307179587e-05,6.283185307179587e-05,True,True,True,True,True,True,True,0.0,True,19,21,0.0010000000000000685,0.0009999999999999983,0.0009999999999997782,0.0009999999999998383
3000.0,3000.0,0.0006666666666666666,0.031415926535897934,0.0031415926535897933,2.0943951023931954e-05,2.0943951023931954e-05,True,True,True,True,True,True,True,0.0,True,19,21,0.003000000000000206,0.002999999999999995,0.0029999999999993344,0.0029999999999995148
