N,M,k,residual,star_span_trivial,star_span_error,edges
4,6,3,5.230996589591354e-13,True,4.650319404498811e-16,"1-2,1-3,1-4"
4,6,3,7.619355117191869e-13,True,2.5438405243138006e-16,"1-2,1-3,2-3"
4,6,3,7.266735722195122e-13,False,0.9999999999999999,"1-2,1-3,3-4"
4,6,3,9.169538293590217e-13,True,5.661048867003676e-16,"1-2,1-4,2-4"
4,6,3,6.781733395358704e-13,True,9.461354227335467e-16,"1-2,2-3,2-4"
4,6,3,7.134312945945761e-13,False,1.0,"1-2,2-4,3-4"
4,6,3,7.003533941713625e-13,False,1.0,"1-3,1-4,2-3"
4,6,3,6.650905446604181e-13,True,2.9373740229761033e-16,"1-3,1-4,3-4"
4,6,3,9.038702593299591e-13,True,7.704541235042752e-16,"1-3,2-3,3-4"
4,6,3,7.397602623353079e-13,False,1.0,"1-4,2-3,2-4"
4,6,3,7.750138441950378e-13,True,3.15563848905497e-16,"1-4,2-4,3-4"
4,6,3,5.361785925209657e-13,True,6.544668208791957e-16,"2-3,2-4,3-4"
