N,M,small_zero_hits,nontrivial_small_zero_hits,min_nontrivial_k,best_nontrivial_residual,best_nontrivial_edges
3,3,0,0,,,
4,6,12,4,3.0,7.003533941713625e-13,"1-3,1-4,2-3"
5,10,0,0,,,
6,15,0,0,,,
7,21,0,0,,,
8,28,0,0,,,
9,36,0,0,,,
10,45,0,0,,,
11,55,0,0,,,
12,66,0,0,,,
13,78,0,0,,,
14,91,0,0,,,
15,105,0,0,,,
16,120,0,0,,,
