step,residual
0,0.07455258895866511
1,0.07455301604589232
2,0.07455384906729363
3,0.07455509685002423
4,0.07455677277883384
5,0.07455889478908125
6,0.07456148535771986
7,0.07456457149216938
8,0.07456818471707151
9,0.07457236105878186
10,0.07457714102758319
11,0.07458256959748572
12,0.07458869618350374
13,0.07459557461631387
14,0.07460326311413777
15,0.07461182425172146
16,0.07462132492627149
17,0.07463183632016344
18,0.07464343386027741
19,0.07465619717378731
20,0.07467021004021243
21,0.07468556033953754
22,0.07470233999624022
23,0.07472064491901988
24,0.07474057493601982
25,0.07476223372536477
26,0.07478572874081686
27,0.07481117113235337
28,0.07483867566147279
29,0.07486836061106371
30,0.07490034768964518
31,0.0749347619298185
32,0.07497173158077021
33,0.07501138799467948
34,0.07505386550691892
35,0.07509930130990093
36,0.07514783532051471
37,0.07519961004104102
38,0.07525477041351537
39,0.07531346366750687
40,0.07537583916130387
41,0.07544204821652634
42,0.07551224394623152
43,0.07558658107659402
44,0.07566521576227009
45,0.07574830539559883
46,0.07583600840984471
47,0.07592848407667481
48,0.07602589229815525
49,0.07612839339355512
50,0.07623614788129693
51,0.07634931625641289
52,0.07646805876395492
53,0.07659253516875766
54,0.07672290452207797
55,0.07685932492562918
56,0.0770019532935409
57,0.07715094511285726
58,0.07730645420318379
59,0.07746863247609892
60,0.07763762969506054
61,0.07781359323642188
62,0.0779966678523366
63,0.07818699543622064
64,0.07838471479152041
65,0.07858996140454418
66,0.07880286722206072
67,0.07902356043443928
68,0.07925216526502098
69,0.07948880176647864
70,0.07973358562482588
71,0.07998662797179423
72,0.08024803520618967
73,0.08051790882488512
74,0.08079634526401248
75,0.08108343575092138
76,0.08137926616740898
77,0.08168391692465791
78,0.08199746285034559
79,0.08231997308822611
80,0.08265151101054888
81,0.08299213414354076
82,0.08334189410612741
83,0.08370083656210617
84,0.08406900118575855
85,0.08444642164100143
86,0.08483312557402045
87,0.08522913461928375
88,0.08563446441881599
89,0.08604912465451989
90,0.08647311909330731
91,0.08690644564476457
92,0.08734909643095734
93,0.08780105786806643
94,0.08826231075936503
95,0.08873283039913282
96,0.08921258668698485
97,0.08970154425211939
98,0.09019966258691742
99,0.09070689618936668
100,0.09122319471370635
101,0.09174850312868718
102,0.09228276188288122
103,0.0928259070764099
104,0.09337787063846524
105,0.0939385805100418
106,0.09450796083124033
107,0.09508593213256883
108,0.0956724115296196
109,0.09626731292056186
110,0.09687054718585017
111,0.09748202238962399
112,0.09810164398223252
113,0.09872931500338253
114,0.09936493628538473
115,0.10000840665603952
116,0.10065962314067539
117,0.10131848116291906
118,0.10198487474376326
119,0.10265869669854712
120,0.10333983883146122
121,0.10402819212723323
122,0.10472364693966163
123,0.1054260931766915
124,0.10613542048171552
125,0.1068515184108805
126,0.1075742766061192
127,0.10830358496367137
128,0.1090393337979194
129,0.10978141400031588
130,0.11052971719323017
131,0.11128413587858751
132,0.11204456358112662
133,0.11281089498615449
134,0.1135830260717082
135,0.11436085423499627
136,0.11514427841307129
137,0.11593319919760525
138,0.11672751894379406
139,0.11752714187322673
140,0.11833197417081032
141,0.11914192407559594
142,0.11995690196559863
143,0.12077682043650488
144,0.1216015943743417
145,0.12243114102207056
146,0.1232653800401387
147,0.12410423356099733
148,0.12494762623763267
149,0.12579548528612663
150,0.12664774052231828
151,0.1275043243925874
152,0.12836517199881328
153,0.1292302211176126
154,0.13009941221388102
155,0.13097268844872575
156,0.13184999568186878
157,0.13273128246861673
158,0.13361650005147002
159,0.1345056023464707
160,0.13539854592440562
161,0.13629528998695756
162,0.13719579633790369
163,0.13810002934951715
164,0.139007955924239
165,0.13991954545180443
166,0.1408347697619102
167,0.14175360307257273
168,0.14267602193433868
169,0.1436020051704485
170,0.14453153381314207
171,0.145464591036256
172,0.14640116208422987
173,0.14734123419774645
174,0.14828479653611557
175,0.14923184009659718
176,0.15018235763083482
177,0.15113634355856992
178,0.1520937938788101
179,0.15305470607863722
180,0.1540190790398566
181,0.15498691294362554
182,0.15595820917330186
183,0.1569329702156615
184,0.15791119956069813
185,0.15889290160018332
186,0.15987808152517766
187,0.1608667452226983
188,0.1618588991717168
189,0.16285455033868948
190,0.16385370607280586
191,0.16485637400114164
192,0.1658625619239138
193,0.16687227771001506
194,0.16788552919300473
195,0.16890232406775366
196,0.16992266978791154
197,0.17094657346436873
198,0.1719740417648862
199,0.17300508081506638
200,0.17403969610081801
201,0.17507789237248342
202,0.17611967355077254
203,0.1771650426346607
204,0.17821400161138579
205,0.17926655136868505
206,0.1803226916094074
207,0.18138242076862637
208,0.18244573593336025
209,0.18351263276503205
210,0.18458310542476014
211,0.18565714650158732
212,0.1867347469437314
213,0.18781589599296897
214,0.18890058112218885
215,0.189988787976221
216,0.191080500316003
217,0.19217569996611614
218,0.1932743667657709
219,0.1943764785232602
220,0.1954820109739422
221,0.19659093774175862
222,0.19770323030431952
223,0.1988188579615696
224,0.19993778780804505
225,0.20105998470872968
226,0.20218541127848225
227,0.20331402786504796
228,0.2044457925356342
229,0.20558066106701395
230,0.20671858693913675
231,0.2078595213322147
232,0.2090034131272453
