N,M,k,best_residual,edges,runtime_s
6,15,6,0.002598217551970913,"1-4,1-5,1-6,2-4,2-6,4-5",0.024750947952270508
7,21,6,0.019296087783688843,"1-4,3-5,3-7,4-5,5-7,6-7",0.08027124404907227
8,28,6,0.0014588457522968733,"1-3,2-8,3-6,4-6,5-7,7-8",0.18107295036315918
9,36,6,0.00039191972708918006,"1-7,1-9,2-5,4-6,4-9,6-9",0.3415391445159912
10,45,5,0.0009588253718518336,"1-3,1-8,2-7,4-9,7-8",0.053858041763305664
10,45,6,3.635612519798989e-05,"1-9,3-9,4-6,4-7,6-8,7-9",0.7056686878204346
11,55,5,0.00025485759150178054,"1-6,1-11,3-6,6-8,8-11",0.08355093002319336
11,55,6,0.00013806461204687108,"1-10,2-5,2-8,2-10,9-10,10-11",1.3763060569763184
12,66,5,0.0003403987207833169,"1-11,6-8,7-9,8-11,9-11",0.1257340908050537
12,66,6,2.5669237800230565e-05,"2-9,3-12,4-11,5-10,9-10,9-11",2.4520182609558105
13,78,5,0.0001809188939720952,"1-13,3-8,4-7,5-6,7-8",0.18318986892700195
13,78,6,3.271850540863183e-05,"2-3,5-9,6-7,6-11,6-13,11-12",4.10306715965271
