m,ratio,F1_maximin_menu,F2_farey_weighted,F3_max_partial_quotient,F4_dist_balance_point,cf
1,0.008064516129032258,0.008064516129032258,0.008064516129032258,124,0.24193548387096775,"[0, 124]"
3,0.024193548387096774,0.024193548387096774,0.024193548387096774,41,0.22580645161290322,"[0, 41, 3]"
5,0.04032258064516129,0.04032258064516129,0.04032258064516129,24,0.20967741935483872,"[0, 24, 1, 4]"
7,0.056451612903225805,0.056451612903225805,0.056451612903225805,17,0.1935483870967742,"[0, 17, 1, 2, 2]"
9,0.07258064516129033,0.07258064516129033,0.07258064516129033,13,0.1774193548387097,"[0, 13, 1, 3, 2]"
11,0.08870967741935484,0.07795698924731183,0.08870967741935484,11,0.16129032258064516,"[0, 11, 3, 1, 2]"
13,0.10483870967741936,0.06182795698924731,0.10483870967741936,9,0.14516129032258063,"[0, 9, 1, 1, 6]"
15,0.12096774193548387,0.0456989247311828,0.12096774193548387,8,0.12903225806451613,"[0, 8, 3, 1, 3]"
17,0.13709677419354838,0.02956989247311828,0.13709677419354838,7,0.11290322580645162,"[0, 7, 3, 2, 2]"
19,0.1532258064516129,0.013440860215053764,0.1532258064516129,9,0.0967741935483871,"[0, 6, 1, 1, 9]"
21,0.1693548387096774,0.002688172043010753,0.09677419354838711,9,0.08064516129032259,"[0, 5, 1, 9, 2]"
23,0.18548387096774194,0.01881720430107527,0.18548387096774194,5,0.06451612903225806,"[0, 5, 2, 1, 1, 4]"
25,0.20161290322580644,0.03494623655913978,0.20161290322580644,24,0.04838709677419356,"[0, 4, 1, 24]"
27,0.21774193548387097,0.03225806451612903,0.21774193548387097,5,0.03225806451612903,"[0, 4, 1, 1, 2, 5]"
29,0.23387096774193547,0.016129032258064516,0.23387096774193547,4,0.01612903225806453,"[0, 4, 3, 1, 1, 1, 2]"
33,0.2661290322580645,0.016129032258064516,0.25806451612903225,8,0.016129032258064502,"[0, 3, 1, 3, 8]"
35,0.28225806451612906,0.03225806451612903,0.28225806451612906,5,0.03225806451612906,"[0, 3, 1, 1, 5, 3]"
37,0.29838709677419356,0.03494623655913978,0.29838709677419356,5,0.04838709677419356,"[0, 3, 2, 1, 5, 2]"
39,0.31451612903225806,0.01881720430107527,0.16935483870967744,5,0.06451612903225806,"[0, 3, 5, 1, 1, 3]"
41,0.33064516129032256,0.002688172043010753,0.024193548387096777,41,0.08064516129032256,"[0, 3, 41]"
43,0.3467741935483871,0.013440860215053764,0.12096774193548387,7,0.09677419354838712,"[0, 2, 1, 7, 1, 1, 2]"
45,0.3629032258064516,0.02956989247311828,0.2661290322580645,11,0.11290322580645162,"[0, 2, 1, 3, 11]"
47,0.3790322580645161,0.0456989247311828,0.3790322580645161,4,0.12903225806451613,"[0, 2, 1, 1, 1, 3, 4]"
49,0.3951612903225806,0.06182795698924731,0.3951612903225806,7,0.14516129032258063,"[0, 2, 1, 1, 7, 1, 2]"
51,0.4112903225806452,0.07795698924731183,0.3548387096774194,7,0.16129032258064518,"[0, 2, 2, 3, 7]"
53,0.4274193548387097,0.07258064516129033,0.2903225806451613,17,0.1774193548387097,"[0, 2, 2, 1, 17]"
55,0.4435483870967742,0.056451612903225805,0.22580645161290322,13,0.1935483870967742,"[0, 2, 3, 1, 13]"
57,0.4596774193548387,0.04032258064516129,0.16129032258064516,5,0.2096774193548387,"[0, 2, 5, 1, 2, 3]"
59,0.47580645161290325,0.024193548387096774,0.0967741935483871,9,0.22580645161290325,"[0, 2, 9, 1, 5]"
61,0.49193548387096775,0.008064516129032258,0.03225806451612903,30,0.24193548387096775,"[0, 2, 30, 2]"
63,0.5080645161290323,0.008064516129032258,0.03225806451612903,30,0.25806451612903225,"[0, 1, 1, 30, 2]"
65,0.5241935483870968,0.024193548387096774,0.0967741935483871,9,0.27419354838709675,"[0, 1, 1, 9, 1, 5]"
67,0.5403225806451613,0.04032258064516129,0.16129032258064516,5,0.29032258064516125,"[0, 1, 1, 5, 1, 2, 3]"
69,0.5564516129032258,0.056451612903225805,0.22580645161290322,13,0.30645161290322576,"[0, 1, 1, 3, 1, 13]"
71,0.5725806451612904,0.07258064516129033,0.2903225806451613,17,0.32258064516129037,"[0, 1, 1, 2, 1, 17]"
