step,base_Hperp,treat_Hperp,base_Hperp_frac,treat_Hperp_frac,base_PR_M,treat_PR_M,base_amp_std,treat_amp_std
0,-8.881784197001252e-16,-8.881784197001252e-16,-2.4353177980673584e-16,-2.4353177980673584e-16,0.9999999999999999,0.9999999999999999,4.635580223687185e-13,4.635580223687185e-13
25,-1.7763568394002505e-15,1.7763568394002505e-15,-4.870635596134737e-16,4.870635596134825e-16,1.0,1.0000000000000002,1.0563288311617194e-13,4.881985779280818e-13
50,4.440892098500626e-16,0.0,1.2176588990336918e-16,0.0,1.0,1.0000000000000002,1.8640673306074294e-14,5.451764607421469e-13
75,8.881784197001252e-16,4.440892098500626e-16,2.4353177980674363e-16,1.2176588990337036e-16,1.0000000000000004,1.0,2.4791856458090376e-15,6.28259845608543e-13
100,8.881784197001252e-16,4.440892098500626e-16,2.4353177980674477e-16,1.2176588990336938e-16,1.0,1.0,7.948956511106124e-16,7.212124206844343e-13
125,0.0,-4.440892098500626e-16,0.0,-1.2176588990337078e-16,0.9999999999999999,0.9999999999999998,7.36281712896714e-16,8.020771261359828e-13
150,-8.881784197001252e-16,0.0,-2.4353177980674467e-16,0.0,0.9999999999999999,1.0,8.04580631555296e-16,8.508941051591069e-13
200,8.881784197001252e-16,8.881784197001252e-16,2.435317798067507e-16,2.435317798067482e-16,1.0000000000000002,1.0000000000000002,8.277725264914817e-16,8.28656059255166e-13
300,0.0,8.881784197001252e-16,0.0,2.435317798067603e-16,1.0,0.9999999999999998,6.813838358028688e-16,6.81327360581935e-13
500,1.3322676295501878e-15,1.7763568394002505e-15,3.652976697102131e-16,4.87063559613562e-16,0.9999999999999999,0.9999999999999999,7.67610205086092e-16,1.0169027139219701e-12
750,8.881784197001252e-16,8.881784197001252e-16,2.43531779806816e-16,2.4353177980681754e-16,0.9999999999999999,1.0000000000000002,3.829028948698599e-16,1.2587093959220687e-12
1000,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,1.0957419433410989e-15,1.6001775949405429e-12
1500,-4.440892098500626e-16,4.440892098500626e-16,-1.2176588990343924e-16,1.2176588990343367e-16,0.9999999999999999,1.0,1.5931132225968571e-15,1.933590899932879e-12
2000,-8.881784197001252e-16,1.3322676295501878e-15,-2.4353177980698665e-16,3.652976697103109e-16,1.0,1.0000000000000002,5.491934712139282e-16,1.980643316006257e-12
3000,4.440892098500626e-16,1.3322676295501878e-15,1.2176588990360966e-16,3.6529766971031165e-16,1.0,0.9999999999999999,8.759695135541426e-16,2.0316690399864244e-12
4000,-8.881784197001252e-16,0.0,-2.435317798073512e-16,0.0,1.0000000000000004,0.9999999999999999,3.756926747458077e-16,3.0685002495892845e-12
5000,-8.881784197001252e-16,0.0,-2.435317798074402e-16,0.0,1.0,0.9999999999999999,1.4916308749438516e-15,3.747935096277486e-12
7500,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,8.148952233620207e-16,5.724818469553012e-12
10000,-8.881784197001252e-16,0.0,-2.435317798079529e-16,0.0,1.0,0.9999999999999999,7.920963437294172e-16,7.969386553703298e-12
15000,0.0,4.440892098500626e-16,0.0,1.2176588990356903e-16,1.0,1.0,2.4127629361242767e-15,1.8710220705317366e-11
20000,-8.881784197001252e-16,8.881784197001252e-16,-2.4353177980911096e-16,2.4353177980724757e-16,1.0,1.0000000000000002,1.4821646302166642e-15,3.818828857562648e-11
25000,8.881784197001252e-16,0.0,2.4353177980954325e-16,0.0,1.0,1.0000000000000002,1.2228344563573012e-15,7.184082444327679e-11
30000,1.7763568394002505e-15,0.0,4.870635596198149e-16,0.0,1.0,0.9999999999999999,2.1544090434363377e-15,1.7787069077655863e-10
35000,4.440892098500626e-16,1.3322676295501878e-15,1.2176588990514924e-16,3.652976697113528e-16,1.0,0.9999999999999999,1.4170619029346849e-15,3.184432225791806e-10
40000,0.0,5.773159728050814e-15,0.0,1.582956568750176e-15,1.0,0.9999999999999999,2.9210913783566095e-15,5.633169750965886e-10
