stage,step,chi_A,chi_B,tau_A,tau_B,q_A,q_B,m_A,m_B,omega_A,omega_B
initial,0,-0.2,0.2,-0.2,-0.2,1,-1,1,2,1.0,1.0
pre_collision,184,-0.015999999999999848,0.015999999999999848,-0.015999999999999848,-0.015999999999999848,1,-1,1,2,1.0,1.0
collision_cell,185,-0.014999999999999847,0.014999999999999847,-0.014999999999999847,-0.014999999999999847,1,-1,1,2,1.0,1.0
collision_map,185,-0.014999999999999847,0.014999999999999847,-0.014999999999999847,-0.014999999999999847,-1.0,1.0,1,2,1.0,1.0
post_collision,186,-0.015999999999999848,0.015999999999999848,-0.013999999999999846,-0.013999999999999846,-1.0,1.0,1,2,1.0,1.0
final,400,-0.23000000000000004,0.23000000000000004,0.20000000000000032,0.20000000000000032,-1.0,1.0,1,2,1.0,1.0
