case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=14,14,91,13,2.220446049250313e-15,0.035032492866457945,0.0350324928870749,91,56
N=15,15,105,14,0.0,0.03229456690816629,0.032294567028038755,105,63
