class_id,count,a2n,b2n,abn,theta_over_pi_mod1,edges
0,1,7.487703705844137e-05,0.9999251229629416,0.008652827889641786,0.4972455818427939,1-2
1,1,0.9836492062592667,0.016350793740733404,0.1268205239098995,0.04081409935902597,1-3
2,1,0.9779448724635245,0.02205512753647565,0.1468628574072609,0.04744761494559547,1-4
3,1,0.8972834553281485,0.10271654467185147,0.30358830037161677,0.10384897669640158,1-5
4,1,0.31466490257870994,0.6853350974212901,-0.4643822796617469,0.6895640114804541,1-6
5,1,0.15805282515901994,0.84194717484098,-0.36479052841085696,0.6301424557250086,1-7
6,1,0.9732235861153823,0.0267764138846177,0.1614293577516102,0.05232193410488763,1-8
7,1,0.021710809986040042,0.9782891900139601,-0.14573760913295547,0.5470730440127559,1-9
8,1,0.12317240860190247,0.8768275913980974,0.3286350047714157,0.3858555582048027,1-10
9,1,0.1249784818295325,0.8750215181704675,-0.3306945129709861,0.6150163723096954,1-11
10,1,0.9625463816823139,0.03745361831768612,0.1898706001270318,0.0619934803620461,1-12
11,1,0.1173076569386183,0.8826923430613817,-0.32178652949150893,0.6112743679340805,1-13
12,1,0.8453905359019417,0.1546094640980583,0.3615319871178338,0.12863341857873364,1-14
13,1,0.9488222029632116,0.051177797036788444,0.22036022809765318,0.0726384947543938,2-3
14,1,0.9213204669252936,0.07867953307470649,0.2692379322269666,0.09049984580645211,2-4
15,1,0.038645322940042866,0.9613546770599571,-0.1927481827538269,0.5629848852618797,2-5
16,1,0.7585577840194312,0.2414422159805687,0.42795779268867284,0.16350286770884614,2-6
17,1,0.886739971509313,0.11326002849068702,0.31691038865423105,0.10925716248609468,2-7
18,1,0.2004483270842628,0.7995516729157373,-0.40033585307012315,0.6477619264537819,2-8
19,1,0.6750901579423451,0.324909842057655,-0.4683411540658419,0.8069398456478065,2-9
20,1,0.31448908642843826,0.6855109135715617,-0.46431207279785924,0.689503750515191,2-10
21,1,0.7731751009491293,0.22682489905087078,0.4187784190015444,0.15800838867206501,2-11
