step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14,takagi_r15
0,0.32603049658580857,0.3181144978680583,0.30902974230190433,0.27975676454572557,0.26282907326010707,0.24258568698398114,0.23651672754689881,0.2246528952130198,0.1982783745161295,0.18770641867826504,0.16274348857743715,0.1334585027256193,0.12050311581762542,0.08017285925437129,2.0846382889570266e-09
1,0.3260304965858068,0.318114497868051,0.30902974230190855,0.27975676454573184,0.2628290732601107,0.24258568698398475,0.23651672754689984,0.22465289521301665,0.1982783745161376,0.1877064186782488,0.16274348857742219,0.1334585027256305,0.12050311581763852,0.08017285925435562,1.5029245832099e-09
2,0.3260304965858052,0.3181144978680436,0.30902974230191277,0.27975676454573817,0.26282907326011407,0.24258568698398789,0.23651672754690062,0.22465289521301346,0.19827837451614547,0.1877064186782323,0.16274348857740756,0.13345850272564155,0.1205031158176515,0.08017285925434076,2.9536848500709113e-09
3,0.32603049658580335,0.3181144978680358,0.3090297423019169,0.27975676454574394,0.2628290732601172,0.2425856869839906,0.23651672754690095,0.2246528952130101,0.1982783745161531,0.1877064186782153,0.16274348857739268,0.13345850272565207,0.12050311581766378,0.08017285925432649,2.3546587681645114e-09
4,0.3260304965858025,0.3181144978680288,0.3090297423019218,0.27975676454575044,0.2628290732601208,0.24258568698399344,0.23651672754690167,0.22465289521300727,0.19827837451616118,0.1877064186781985,0.16274348857737844,0.13345850272566287,0.12050311581767613,0.08017285925431328,2.7636293017572915e-09
5,0.3260304965858019,0.31811449786802165,0.30902974230192687,0.2797567645457569,0.2628290732601243,0.2425856869839959,0.23651672754690228,0.22465289521300436,0.1982783745161691,0.18770641867818147,0.16274348857736443,0.13345850272567333,0.12050311581768795,0.08017285925430077,2.453410697212686e-09
6,0.3260304965858015,0.31811449786801477,0.30902974230193203,0.27975676454576326,0.2628290732601278,0.2425856869839981,0.2365167275469029,0.2246528952130016,0.19827837451617686,0.1877064186781641,0.1627434885773506,0.13345850272568371,0.12050311581769953,0.08017285925428898,1.4846593640917266e-09
7,0.32603049658580124,0.31811449786800755,0.30902974230193725,0.2797567645457693,0.262829073260131,0.2425856869839998,0.23651672754690317,0.2246528952129987,0.1982783745161845,0.18770641867814655,0.16274348857733686,0.13345850272569376,0.12050311581771064,0.08017285925427753,3.116079734910142e-09
8,0.32603049658580074,0.3181144978680001,0.3090297423019422,0.2797567645457754,0.262829073260134,0.24258568698400082,0.23651672754690356,0.2246528952129956,0.19827837451619196,0.18770641867812848,0.16274348857732346,0.13345850272570367,0.12050311581772111,0.08017285925426659,2.2490388733444807e-09
9,0.3260304965858005,0.3181144978679927,0.30902974230194724,0.27975676454578124,0.26282907326013694,0.24258568698400157,0.2365167275469035,0.22465289521299256,0.19827837451619915,0.18770641867811017,0.1627434885773102,0.13345850272571338,0.12050311581773124,0.08017285925425661,1.4898129951182513e-09
10,0.3260304965858001,0.31811449786798496,0.3090297423019522,0.27975676454578685,0.26282907326013927,0.2425856869840016,0.23651672754690328,0.22465289521298928,0.19827837451620606,0.18770641867809143,0.16274348857729692,0.1334585027257229,0.12050311581774074,0.08017285925424715,2.329198018248772e-09
11,0.3260304965858001,0.3181144978679774,0.30902974230195723,0.27975676454579257,0.2628290732601419,0.2425856869840015,0.23651672754690303,0.2246528952129862,0.19827837451621294,0.18770641867807258,0.16274348857728402,0.1334585027257322,0.12050311581775,0.08017285925423874,3.1518949006315903e-09
12,0.32603049658580036,0.31811449786797,0.30902974230196256,0.2797567645457984,0.2628290732601445,0.2425856869840011,0.23651672754690295,0.2246528952129832,0.1982783745162197,0.18770641867805354,0.1627434885772714,0.13345850272574125,0.12050311581775874,0.08017285925423075,2.5199626524695776e-09
13,0.32603049658579997,0.31811449786796175,0.3090297423019672,0.2797567645458034,0.2628290732601462,0.24258568698399974,0.23651672754690187,0.22465289521297965,0.19827837451622593,0.18770641867803392,0.16274348857725854,0.1334585027257499,0.12050311581776683,0.08017285925422338,3.1385101279354045e-09
14,0.32603049658580113,0.31811449786795465,0.3090297423019733,0.27975676454580944,0.2628290732601491,0.2425856869839991,0.23651672754690178,0.2246528952129771,0.19827837451623287,0.1877064186780149,0.16274348857724677,0.13345850272575896,0.12050311581777502,0.08017285925421683,2.7289920761442265e-09
15,0.3260304965858022,0.31811449786794754,0.3090297423019791,0.27975676454581516,0.2628290732601514,0.24258568698399785,0.23651672754690123,0.22465289521297438,0.19827837451623964,0.1877064186779955,0.1627434885772349,0.1334585027257677,0.12050311581778264,0.080172859254211,1.972571645714452e-09
16,0.3260304965858036,0.3181144978679406,0.30902974230198527,0.27975676454582094,0.262829073260154,0.24258568698399632,0.2365167275469008,0.2246528952129718,0.19827837451624628,0.1877064186779761,0.16274348857722346,0.1334585027257763,0.12050311581778989,0.08017285925420593,2.3536258548006756e-09
17,0.32603049658580535,0.3181144978679338,0.3090297423019916,0.27975676454582704,0.26282907326015653,0.24258568698399463,0.23651672754690065,0.22465289521296944,0.1982783745162528,0.18770641867795657,0.16274348857721238,0.13345850272578477,0.12050311581779685,0.08017285925420171,2.1814239211993467e-09
18,0.3260304965858073,0.31811449786792695,0.30902974230199814,0.2797567645458329,0.26282907326015886,0.24258568698399244,0.23651672754690042,0.22465289521296697,0.1982783745162593,0.18770641867793686,0.16274348857720142,0.13345850272579285,0.12050311581780329,0.0801728592541979,1.833361829395398e-09
19,0.32603049658580907,0.31811449786791984,0.3090297423020044,0.27975676454583864,0.2628290732601611,0.24258568698398988,0.2365167275468996,0.22465289521296444,0.19827837451626543,0.18770641867791701,0.1627434885771906,0.1334585027258008,0.12050311581780945,0.08017285925419498,2.2137788955199843e-09
20,0.32603049658581107,0.31811449786791285,0.3090297423020108,0.2797567645458439,0.2628290732601631,0.24258568698398705,0.23651672754689848,0.2246528952129621,0.19827837451627145,0.18770641867789686,0.16274348857717996,0.1334585027258084,0.1205031158178149,0.08017285925419264,2.2631703245289544e-09
21,0.3260304965858136,0.3181144978679062,0.30902974230201763,0.27975676454584975,0.26282907326016536,0.24258568698398408,0.23651672754689793,0.22465289521295995,0.19827837451627753,0.18770641867787694,0.1627434885771699,0.1334585027258159,0.12050311581782026,0.08017285925419106,2.65875443161885e-09
22,0.32603049658581623,0.31811449786789947,0.30902974230202446,0.2797567645458553,0.26282907326016747,0.2425856869839807,0.2365167275468971,0.2246528952129578,0.1982783745162833,0.1877064186778567,0.16274348857716006,0.13345850272582346,0.12050311581782513,0.08017285925418993,2.8417668690105453e-09
