step,relaxation_factor,closure_global_abs,closure_pair_rms,transmission_leakage,reflection_rate,node_relative_norm,max_effective_delta
0.0,1.0,0.5186640764963448,0.012319416790092972,0.11503183254481797,0.884968167455182,0.23006366508963594,1.188
1.0,0.72,0.4045700504169452,0.009531702242535389,0.06177010594361332,0.9382298940563868,0.12354021188722664,0.8553599999999999
2.0,0.5184,0.30349472577426345,0.007122289822785684,0.03261082256730878,0.9673891774326914,0.06522164513461756,0.6158591999999999
3.0,0.37324799999999997,0.22319028596199827,0.005227357719477408,0.017065880872571854,0.982934119127428,0.03413176174514371,0.44341862399999993
4.0,0.26873855999999996,0.1624665680122796,0.003801246495594046,0.008890360253268387,0.9911096397467316,0.017780720506536774,0.31926140927999996
5.0,0.19349176319999997,0.1176421551501721,0.0027510063370732793,0.004620469169105523,0.9953795308308946,0.009240938338211047,0.22986821468159996
6.0,0.13931406950399997,0.0849525881060623,0.001986008867987774,0.002398402923833286,0.9976015970761667,0.004796805847666572,0.16550511457075195
7.0,0.10030613004287997,0.06125980285305873,0.0014319022684928047,0.0012441798617097873,0.9987558201382903,0.0024883597234195746,0.1191636824909414
8.0,0.07222041363087357,0.04414234692171294,0.0010317078109070106,0.0006452107847479507,0.9993547892152519,0.0012904215694959013,0.0857978513934778
9.0,0.05199869781422897,0.03179576814165579,0.0007431052793739849,0.00033453854383292206,0.9996654614561672,0.0006690770876658441,0.06177445300330402
10.0,0.03743906242624486,0.022897962552727434,0.0005351387146082878,0.00017344124971409392,0.999826558750286,0.00034688249942818784,0.04447760616237889
11.0,0.0269561249468963,0.016488430091513465,0.0003853382917121616,8.991636989931375e-05,0.9999100836301008,0.0001798327397986275,0.032023876436912804
12.0,0.019408409961765336,0.011872391797022073,0.0002774579101317726,4.661383564752756e-05,0.9999533861643526,9.322767129505511e-05,0.023057191034577217
13.0,0.01397405517247104,0.008548398901085604,0.00019977504789354725,2.4164932067834214e-05,0.9999758350679321,4.832986413566843e-05,0.016601177544895596
14.0,0.010061319724179148,0.006154954293928984,0.0001438400323659754,1.2527186691941981e-05,0.9999874728133081,2.5054373383883963e-05,0.011952847832324828
15.0,0.007244150201408986,0.004431609013358839,0.00010356556901613606,6.4941166680024735e-06,0.999993505883332,1.2988233336004947e-05,0.008606050439273875
16.0,0.00521578814501447,0.003190775148827829,7.456748802871014e-05,3.3665562850485297e-06,0.9999966334437151,6.733112570097059e-06,0.00619635631627719
17.0,0.0037553674644104184,0.002297364849772066,5.3688695269694165e-05,1.7452244455210765e-06,0.9999982547755545,3.490448891042153e-06,0.004461376547719577
18.0,0.002703864574375501,0.0016541054804508747,3.865589937060006e-05,9.047248006401869e-07,0.9999990952751994,1.8094496012803739e-06,0.003212191114358095
19.0,0.0019467824935503607,0.0011909571277458103,2.7832262020063104e-05,4.6900945706884385e-07,0.9999995309905431,9.380189141376877e-07,0.0023127776023378283
20.0,0.0014016833953562596,0.0008574896461711968,2.0039234056551856e-05,2.431345349051779e-07,0.9999997568654652,4.862690698103558e-07,0.0016651998736832362
21.0,0.001009212044656507,0.0006173927750507843,1.4428250537043122e-05,1.2604095159141012e-07,0.9999998739590485,2.5208190318282024e-07,0.0011989439090519304
22.0,0.000726632672152685,0.0004445229034516247,1.0388341139260682e-05,6.533963164208969e-08,0.9999999346603683,1.3067926328417937e-07,0.0008632396145173898
23.0,0.0005231755239499332,0.0003200565400124316,7.479605901170285e-06,3.387206567132894e-08,0.9999999661279344,6.774413134265787e-08,0.0006215325224525206
24.0,0.00037668637724395183,0.00023044073257288776,5.385316353688935e-06,1.755927901280344e-08,0.9999999824407207,3.511855802560688e-08,0.0004475034161658148
25.0,0.0002712141916156453,0.00016591733905842906,3.87742781378972e-06,9.102730285596755e-09,0.9999999908972697,1.820546057119351e-08,0.0003222024596393866
26.0,0.00019527421796326463,0.00011946048987236461,2.7917480405351665e-06,4.718855392243191e-09,0.9999999952811447,9.437710784486382e-09,0.00023198577094035835
27.0,0.00014059743693355052,8.60115555896865e-05,2.0100585946371924e-06,2.4462546386147482e-09,0.9999999975537454,4.8925092772294965e-09,0.00016702975507705802
28.0,0.00010123015459215638,6.192832148129796e-05,1.4472421901736776e-06,1.2681384055382404e-09,0.9999999987318616,2.5362768110764808e-09,0.00012026142365548178
29.0,7.288571130635258e-05,4.4588392207856694e-05,1.0420143776845742e-06,6.574029496676088e-10,0.9999999993425972,1.3148058993352176e-09,8.658822503194686e-05
30.0,5.247771214057386e-05,3.2103642768790986e-05,7.502503522163815e-07,3.40797689171268e-10,0.9999999996592025,6.81595378342536e-10,6.234352202300174e-05
