state,kappa,closure_global_abs,closure_pair_rms,closure_pair_max,transmission_leakage,reflection_rate,node_relative_norm,max_effective_delta
flat,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
transient,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stationary,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
flat,0.00030000000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.00030000000000000003,6.931822045053185e-18,8.489713499078045e-19,1.7329555112632962e-18,0.0,1.0000000000000002,0.0,0.0
transient,0.00030000000000000003,0.015006135240698682,0.0003466440770739964,0.0005950873057007804,7.505024754574339e-05,0.9999249497524543,0.00015010049509148679,0.029700000000000004
stationary,0.00030000000000000003,6.931822045053185e-18,8.489713499078045e-19,1.7329555112632962e-18,0.0,1.0000000000000002,0.0,0.0
flat,0.0006000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0006000000000000001,3.4623822931332815e-18,9.160602491464204e-19,1.7311911465666407e-18,0.0,1.0,0.0,0.0
transient,0.0006000000000000001,0.030018476805666244,0.000693664715930964,0.0011919931693268767,0.0003004044014200903,0.99969959559858,0.0006008088028401806,0.05940000000000001
stationary,0.0006000000000000001,3.4623822931332815e-18,9.160602491464204e-19,1.7311911465666407e-18,0.0,1.0,0.0,0.0
flat,0.0009000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0009000000000000001,6.9177214836089095e-18,9.15128534241898e-19,1.7294303709022274e-18,0.0,0.9999999999999998,0.0,0.0
transient,0.0009000000000000001,0.045027913271134444,0.0010408723417867198,0.0017901808587665793,0.0006763053417896939,0.9993236946582101,0.0013526106835793877,0.08910000000000001
stationary,0.0009000000000000001,6.9177214836089095e-18,9.15128534241898e-19,1.7294303709022274e-18,0.0,0.9999999999999998,0.0,0.0
flat,0.0012000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0012000000000000001,6.910692693320345e-18,9.141987126858395e-19,1.7276731733300863e-18,0.0,1.0,0.0,0.0
transient,0.0012000000000000001,0.06002531894336827,0.0013880765634051505,0.002389110499194409,0.001202912668953932,0.9987970873310461,0.002405825337907864,0.11880000000000002
stationary,0.0012000000000000001,6.910692693320345e-18,9.141987126858395e-19,1.7276731733300863e-18,0.0,1.0,0.0,0.0
flat,0.0015,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0015,0.0,7.718546843483996e-19,1.7259195429546643e-18,0.0,0.9999999999999999,0.0,0.0
transient,0.0015,0.07500156135285119,0.0017350863334343737,0.00298823956816727,0.001880302377819334,0.9981196976221804,0.003760604755638668,0.1485
stationary,0.0015,0.0,7.718546843483996e-19,1.7259195429546643e-18,0.0,0.9999999999999999,0.0,0.0
flat,0.0018000000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0018000000000000002,1.7241694689246018e-18,1.0053549231860324e-18,1.7241694689246018e-18,0.0,1.0,0.0,0.0
transient,0.0018000000000000002,0.08994750876584713,0.0020817101098198412,0.003587023394717221,0.0027084665884812404,0.9972915334115187,0.005416933176962481,0.17820000000000003
stationary,0.0018000000000000002,1.7241694689246018e-18,1.0053549231860324e-18,1.7241694689246018e-18,0.0,1.0,0.0,0.0
flat,0.0021000000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0021000000000000003,5.167268821297519e-18,9.434098980392606e-19,1.7224229404325063e-18,0.0,1.0,0.0,0.0
transient,0.0021000000000000003,0.10485403770814374,0.0024277560181828702,0.004184915661976081,0.0036873133332438962,0.9963126866667561,0.0073746266664877925,0.20790000000000003
stationary,0.0021000000000000003,5.167268821297519e-18,9.434098980392606e-19,1.7224229404325063e-18,0.0,1.0,0.0,0.0
flat,0.0024000000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0024000000000000002,3.4413598934294622e-18,8.429575760180878e-19,1.7206799467147311e-18,0.0,1.0,0.0,0.0
transient,0.0024000000000000002,0.11971204049577876,0.0027730320150525143,0.0047813689128627206,0.004816666400368401,0.9951833335996316,0.009633332800736801,0.23760000000000003
stationary,0.0024000000000000002,3.4413598934294622e-18,8.429575760180878e-19,1.7206799467147311e-18,0.0,1.0,0.0,0.0
flat,0.0027,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0027,1.7189404770511556e-18,9.415024742896092e-19,1.7189404770511556e-18,0.0,1.0,0.0,0.0
transient,0.0027,0.13451243276755295,0.0031173460518382247,0.005375835058359815,0.0060962652347957775,0.9939037347652042,0.012192530469591555,0.26730000000000004
stationary,0.0027,1.7189404770511556e-18,9.415024742896092e-19,1.7189404770511556e-18,0.0,1.0,0.0,0.0
flat,0.003,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.003,5.151613562294887e-18,8.054403147036019e-19,1.7172045207649623e-18,0.0,1.0,0.0,0.0
transient,0.003,0.14924616101414317,0.0034605062394304277,0.0059677658879033575,0.007525764896050065,0.9924742351039499,0.01505152979210013,0.297
stationary,0.003,5.151613562294887e-18,8.054403147036019e-19,1.7172045207649623e-18,0.0,1.0,0.0,0.0
flat,0.0033000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0033000000000000004,3.4309441344448442e-18,9.077424941896814e-19,1.7154720672224221e-18,0.0,1.0000000000000002,0.0,0.0
transient,0.0033000000000000004,0.1639042100986464,0.003802321013315962,0.006556613581405113,0.009104736073483657,0.9908952639265165,0.018209472146967314,0.32670000000000005
stationary,0.0033000000000000004,3.4309441344448442e-18,9.077424941896814e-19,1.7154720672224221e-18,0.0,1.0000000000000002,0.0,0.0
flat,0.0036000000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0036000000000000003,3.427486211665347e-18,9.0682761381694e-19,1.7137431058326735e-18,0.0,1.0,0.0,0.0
transient,0.0036000000000000003,0.17847761076340898,0.004142599299095283,0.007141831222425543,0.010832665158984355,0.9891673348410155,0.02166533031796871,0.35640000000000005
stationary,0.0036000000000000003,3.427486211665347e-18,9.0682761381694e-19,1.7137431058326735e-18,0.0,1.0,0.0,0.0
flat,0.0039000000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0039000000000000003,1.0272105756285062e-17,9.059145757361778e-19,1.7120176260475103e-18,0.0,1.0,0.0,0.0
transient,0.0039000000000000003,0.19295744711802743,0.004481150678288399,0.007722873312012588,0.012708954377220505,0.9872910456227796,0.02541790875444101,0.3861
stationary,0.0039000000000000003,1.0272105756285062e-17,9.059145757361778e-19,1.7120176260475103e-18,0.0,1.0,0.0,0.0
flat,0.004200000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.004200000000000001,1.0261773704166982e-17,1.0261773704166982e-18,1.7102956173611635e-18,0.0,1.0,0.0,0.0
transient,0.004200000000000001,0.20733486410344398,0.004817785554316778,0.008299196282719913,0.014732921973457483,0.9852670780265423,0.029465843946914965,0.41580000000000006
stationary,0.004200000000000001,1.0261773704166982e-17,1.0261773704166982e-18,1.7102956173611635e-18,0.0,1.0,0.0,0.0
flat,0.0045000000000000005,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0045000000000000005,5.125731207930276e-18,8.712067816889332e-19,1.708577069310092e-18,0.0,1.0,0.0,0.0
transient,0.0045000000000000005,0.22160107492710884,0.005152315318548809,0.008870259012316972,0.01690380245893557,0.9830961975410645,0.03380760491787114,0.44550000000000006
stationary,0.0045000000000000005,5.125731207930276e-18,8.712067816889332e-19,1.708577069310092e-18,0.0,1.0,0.0,0.0
flat,0.0048000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0048000000000000004,1.7068619714727665e-18,8.703322499549087e-19,1.7068619714727665e-18,0.0,0.9999999999999998,0.0,0.0
transient,0.0048000000000000004,0.2357473684642323,0.005484552516296964,0.009435523336702547,0.019220746913755887,0.9807792530862439,0.038441493827511775,0.47520000000000007
stationary,0.0048000000000000004,1.7068619714727665e-18,8.703322499549087e-19,1.7068619714727665e-18,0.0,0.9999999999999998,0.0,0.0
flat,0.0051,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0051,3.4103006269389255e-18,8.353496405493939e-19,1.7051503134694627e-18,0.0,1.0,0.0,0.0
transient,0.0051,0.24976511662021186,0.005814311012655437,0.009994454561532914,0.021682823347177797,0.9783171766528223,0.043365646694355595,0.5049
stationary,0.0051,3.4103006269389255e-18,8.353496405493939e-19,1.7051503134694627e-18,0.0,1.0,0.0,0.0
flat,0.0054,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0054,1.7034420849620494e-18,1.1039566447394294e-18,1.7034420849620494e-18,0.0,1.0000000000000002,0.0,0.0
transient,0.0054,0.26364578164938995,0.0061414061580679045,0.010546521972076074,0.02428901711518761,0.9757109828848123,0.04857803423037522,0.5346000000000001
stationary,0.0054,1.7034420849620494e-18,1.1039566447394294e-18,1.7034420849620494e-18,0.0,1.0000000000000002,0.0,0.0
flat,0.0057,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0057,5.105211826961342e-18,7.219859804476256e-19,1.7017372756537806e-18,0.0,1.0,0.0,0.0
transient,0.0057,0.27738092342537257,0.006465654953516012,0.011091199340803938,0.02703823139515552,0.9729617686048444,0.05407646279031104,0.5643
stationary,0.0057,5.105211826961342e-18,7.219859804476256e-19,1.7017372756537806e-18,0.0,1.0,0.0,0.0
flat,0.006,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.006,1.7000358752890902e-18,7.212641374063941e-19,1.7000358752890902e-18,0.0,1.0,0.0,0.0
transient,0.006,0.29096220665822503,0.006786876215220318,0.011627965432235673,0.02992928771735395,0.9700707122826459,0.0598585754347079,0.594
stationary,0.006,1.7000358752890902e-18,7.212641374063941e-19,1.7000358752890902e-18,0.0,1.0,0.0,0.0
flat,0.006300000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.006300000000000001,0.0,7.595197868502833e-19,1.6983378736533844e-18,0.0,0.9999999999999999,0.0,0.0
transient,0.006300000000000001,0.3043814080539575,0.007104890738746746,0.012156304504546632,0.03296092655306779,0.9670390734469322,0.06592185310613558,0.6237000000000001
stationary,0.006300000000000001,0.0,7.595197868502833e-19,1.6983378736533844e-18,0.0,0.9999999999999999,0.0,0.0
flat,0.006600000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.006600000000000001,1.6966432605728388e-18,8.651217093266594e-19,1.6966432605728388e-18,0.0,1.0,0.0,0.0
transient,0.006600000000000001,0.31763042341180653,0.007419521462412994,0.012675706807459464,0.036131807958983596,0.9638681920410165,0.07226361591796719,0.6534000000000001
stationary,0.006600000000000001,1.6966432605728388e-18,8.651217093266594e-19,1.6966432605728388e-18,0.0,1.0,0.0,0.0
flat,0.006900000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.006900000000000001,1.186466418139936e-17,9.28363458482285e-19,1.6949520259141943e-18,0.0,1.0,0.0,0.0
transient,0.006900000000000001,0.33070127465494,0.00773059362989103,0.013185669075936617,0.0394405122775025,0.9605594877224978,0.078881024555005,0.6831
stationary,0.006900000000000001,1.186466418139936e-17,9.28363458482285e-19,1.6949520259141943e-18,0.0,1.0,0.0,0.0
flat,0.007200000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.007200000000000001,1.6932641595845548e-18,8.633986991388933e-19,1.6932641595845548e-18,0.0,1.0,0.0,0.0
transient,0.007200000000000001,0.3435861167903216,0.008037934951903483,0.013685695019195962,0.04288554089257828,0.9571144591074217,0.08577108178515656,0.7128000000000001
stationary,0.007200000000000001,1.6932641595845548e-18,8.633986991388933e-19,1.6932641595845548e-18,0.0,1.0,0.0,0.0
flat,0.007500000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.007500000000000001,5.0747389545935645e-18,8.625397651954012e-19,1.691579651531188e-18,0.0,0.9999999999999999,0.0,0.0
transient,0.007500000000000001,0.3562772447936059,0.00834137576691376,0.014175295804575109,0.046465317040640365,0.9535346829593595,0.09293063408128073,0.7425
stationary,0.007500000000000001,5.0747389545935645e-18,8.625397651954012e-19,1.691579651531188e-18,0.0,0.9999999999999999,0.0,0.0
flat,0.0078000000000000005,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0078000000000000005,3.37979698348265e-18,7.557455805215939e-19,1.689898491741325e-18,0.0,1.0,0.0,0.0
transient,0.0078000000000000005,0.3687671004150674,0.00864074920071171,0.014653990535773535,0.05017818667611881,0.9498218133238812,0.10035637335223763,0.7722
stationary,0.0078000000000000005,3.37979698348265e-18,7.557455805215939e-19,1.689898491741325e-18,0.0,1.0,0.0,0.0
flat,0.008100000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.008100000000000001,5.064662010725881e-18,7.918456837762565e-19,1.6882206702419604e-18,0.0,0.9999999999999999,0.0,0.0
transient,0.008100000000000001,0.3810482789027166,0.008935891324799031,0.015121306725006023,0.05402241939104696,0.945977580608953,0.10804483878209392,0.8019000000000002
stationary,0.008100000000000001,5.064662010725881e-18,7.918456837762565e-19,1.6882206702419604e-18,0.0,0.9999999999999999,0.0,0.0
flat,0.008400000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.008400000000000001,1.6865461770996574e-18,7.91060276873819e-19,1.6865461770996574e-18,0.0,1.0000000000000002,0.0,0.0
transient,0.008400000000000001,0.3931135356389092,0.009226641313480874,0.01557678075860583,0.05799620938817574,0.9420037906118245,0.11599241877635148,0.8316000000000001
stationary,0.008400000000000001,1.6865461770996574e-18,7.91060276873819e-19,1.6865461770996574e-18,0.0,1.0000000000000002,0.0,0.0
flat,0.008700000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.008700000000000001,8.42437501210175e-18,7.902764264684949e-19,1.6848750024203501e-18,0.0,0.9999999999999999,0.0,0.0
transient,0.008700000000000001,0.4049557926869225,0.009512841599572861,0.01601995835562085,0.062097676506992584,0.9379023234930073,0.12419535301398517,0.8613000000000001
stationary,0.008700000000000001,8.42437501210175e-18,7.902764264684949e-19,1.6848750024203501e-18,0.0,0.9999999999999999,0.0,0.0
flat,0.009000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.009000000000000001,0.0,6.732828545396604e-19,1.683207136349151e-18,0.0,1.0,0.0,0.0
transient,0.009000000000000001,0.41656814524414804,0.00979433802863532,0.016450395018952176,0.06632486730199746,0.9336751326980025,0.13264973460399493,0.8910000000000001
stationary,0.009000000000000001,0.0,6.732828545396604e-19,1.683207136349151e-18,0.0,1.0,0.0,0.0
flat,0.009300000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.009300000000000001,5.044627707210462e-18,9.80499382938265e-19,1.681542569070154e-18,0.0,1.0,0.0,0.0
transient,0.009300000000000001,0.4279438679987331,0.010070980011649485,0.01686765647858996,0.07067575617254752,0.9293242438274525,0.14135151234509505,0.9207000000000001
stationary,0.009300000000000001,5.044627707210462e-18,9.80499382938265e-19,1.681542569070154e-18,0.0,1.0,0.0,0.0
flat,0.009600000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.009600000000000001,1.0079287744837461e-17,7.512657520745705e-19,1.6798812908062434e-18,0.0,1.0,0.0,0.0
transient,0.009600000000000001,0.43907642138670666,0.01034262067605354,0.017271319126508707,0.07514824654354348,0.9248517534564565,0.15029649308708695,0.9504000000000001
stationary,0.009600000000000001,1.0079287744837461e-17,7.512657520745705e-19,1.6798812908062434e-18,0.0,1.0,0.0,0.0
flat,0.0099,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0099,8.391116459094518e-18,7.120098419942141e-19,1.6782232918189035e-18,0.0,0.9999999999999998,0.0,0.0
transient,0.0099,0.4499594577468261,0.010609117015059503,0.017660970442790323,0.07974017209619,0.9202598279038098,0.15948034419238,0.9801000000000001
stationary,0.0099,8.391116459094518e-18,7.120098419942141e-19,1.6782232918189035e-18,0.0,0.9999999999999998,0.0,0.0
flat,0.0102,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0102,1.6765685624080273e-18,7.113077997617385e-19,1.6765685624080273e-18,0.0,0.9999999999999999,0.0,0.0
transient,0.0102,0.4605868273706056,0.010870330035175357,0.018036209412551366,0.08444929804802494,0.9155507019519753,0.16889859609604987,1.0098
stationary,0.0102,1.6765685624080273e-18,7.113077997617385e-19,1.6765685624080273e-18,0.0,0.9999999999999999,0.0,0.0
flat,0.0105,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0105,0.0,8.205384478198987e-19,1.6749170929117266e-18,0.0,1.0,0.0,0.0
transient,0.0105,0.4709525844452139,0.011126124901860376,0.018396646933257946,0.08927332248137326,0.9107266775186267,0.17854664496274653,1.0395
stationary,0.0105,0.0,8.205384478198987e-19,1.6749170929117266e-18,0.0,1.0,0.0,0.0
flat,0.0108,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0108,1.6732688737061446e-18,6.26079884136151e-19,1.6732688737061446e-18,0.0,0.9999999999999999,0.0,0.0
transient,0.0108,0.48105099288717906,0.011376371083245263,0.018741906212020903,0.09420987771934479,0.9057901222806553,0.18841975543868958,1.0692000000000002
stationary,0.0108,1.6732688737061446e-18,6.26079884136151e-19,1.6732688737061446e-18,0.0,0.9999999999999999,0.0,0.0
flat,0.0111,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0111,6.6864955808210836e-18,8.845402224692488e-19,1.6716238952052709e-18,0.0,1.0000000000000002,0.0,0.0
transient,0.0111,0.49087653206508053,0.011620942491852434,0.019071623152471327,0.09925653174845663,0.9007434682515435,0.19851306349691325,1.0989
stationary,0.0111,6.6864955808210836e-18,8.845402224692488e-19,1.6716238952052709e-18,0.0,1.0000000000000002,0.0,0.0
flat,0.0114,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0114,3.339964295721501e-18,8.836714914314085e-19,1.6699821478607505e-18,0.0,0.9999999999999999,0.0,0.0
transient,0.0114,0.5004239024096943,0.011859717624255887,0.019385446730826702,0.10441078968692684,0.8955892103130734,0.20882157937385368,1.1286
stationary,0.0114,3.339964295721501e-18,8.836714914314085e-19,1.6699821478607505e-18,0.0,0.9999999999999999,0.0,0.0
flat,0.0117,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.0117,0.0,8.173181179845666e-19,1.6683436221617063e-18,0.0,1.0,0.0,0.0
transient,0.0117,0.5096880309103221,0.012092579698624019,0.019683039360766215,0.1096700952976482,0.8903299047023518,0.2193401905952964,1.1583
stationary,0.0117,0.0,8.173181179845666e-19,1.6683436221617063e-18,0.0,1.0,0.0,0.0
flat,0.012,0.0,0.0,0.0,0.0,1.0,0.0,0.0
conformal,0.012,1.6667083086345486e-17,9.428325978363605e-19,1.6667083086345487e-18,0.0,1.0000000000000002,0.0,0.0
transient,0.012,0.5186640764963448,0.012319416790092972,0.019964077246744517,0.11503183254481797,0.884968167455182,0.23006366508963594,1.188
stationary,0.012,1.6667083086345486e-17,9.428325978363605e-19,1.6667083086345487e-18,0.0,1.0000000000000002,0.0,0.0
