t,H,Q2_re,Q2_im,generator_norm
0,np.float64(355.93996179969685),np.float64(-37.0923447290909),np.float64(16.883563719221776),np.float64(17.297901019691757)
1,np.float64(355.9399617996961),np.float64(-37.09234472909084),np.float64(16.88356371922155),np.float64(17.303670243713466)
2,np.float64(355.93996179969633),np.float64(-37.09234472909095),np.float64(16.883563719221456),np.float64(17.52587539379581)
3,np.float64(355.93996179969645),np.float64(-37.092344729090975),np.float64(16.883563719221517),np.float64(17.724359458882056)
4,np.float64(355.9399617996969),np.float64(-37.092344729090755),np.float64(16.883563719221954),np.float64(18.063993244075895)
5,np.float64(355.9399617996968),np.float64(-37.09234472909054),np.float64(16.883563719221748),np.float64(18.19747017850507)
6,np.float64(355.93996179969713),np.float64(-37.092344729090605),np.float64(16.88356371922162),np.float64(18.254158097835095)
7,np.float64(355.93996179969577),np.float64(-37.09234472909059),np.float64(16.883563719221435),np.float64(18.321799433122212)
8,np.float64(355.9399617996967),np.float64(-37.09234472909067),np.float64(16.883563719221304),np.float64(18.38744975625383)
9,np.float64(355.93996179969724),np.float64(-37.09234472909074),np.float64(16.883563719221318),np.float64(18.48733625681551)
10,np.float64(355.939961799697),np.float64(-37.092344729090726),np.float64(16.883563719221183),np.float64(18.652883824576083)
11,np.float64(355.939961799696),np.float64(-37.0923447290905),np.float64(16.883563719221137),np.float64(18.75578049973353)
12,np.float64(355.9399617996955),np.float64(-37.09234472909033),np.float64(16.883563719221023),np.float64(18.75400330961832)
13,np.float64(355.9399617996959),np.float64(-37.09234472909027),np.float64(16.883563719220675),np.float64(18.69664639103594)
14,np.float64(355.93996179969577),np.float64(-37.09234472909029),np.float64(16.88356371922069),np.float64(18.661589584981446)
15,np.float64(355.93996179969554),np.float64(-37.092344729090115),np.float64(16.883563719220817),np.float64(18.71245976486686)
16,np.float64(355.9399617996941),np.float64(-37.09234472908996),np.float64(16.883563719220685),np.float64(18.803141333698317)
17,np.float64(355.939961799694),np.float64(-37.09234472909001),np.float64(16.883563719220433),np.float64(18.844238640677027)
18,np.float64(355.9399617996941),np.float64(-37.092344729089994),np.float64(16.883563719220554),np.float64(18.833093993132795)
19,np.float64(355.9399617996935),np.float64(-37.092344729089916),np.float64(16.88356371922047),np.float64(18.812057354265097)
