axis,log_growth_rate_per_step,fit_start,fit_end,fit_count,initial,final,max
1,,,,2,6.428731862814538e-17,0.3720496164088636,0.3720496164088636
2,,,,2,6.122810105882299e-17,0.34674212620197487,0.3587826096384463
3,,,,3,5.849215029272174e-17,0.34440845983183693,0.34440845983183693
4,,,,3,5.586598258585933e-17,0.3080180598630347,0.3163773853570396
5,,,,3,5.502307170401501e-17,0.29346682732096885,0.2979699122094172
6,,,,3,4.816406539125626e-17,0.27602747565361924,0.2909241565472173
7,,,,3,4.576307465425226e-17,0.26762344655635995,0.26917745773368307
8,,,,3,4.222463969371674e-17,0.25806106628172387,0.25980575575426035
9,,,,4,3.653921749915642e-17,0.2218023150325875,0.23719733049794028
10,,,,6,3.4715927054222036e-17,0.20901300304723272,0.212941862181632
11,,,,6,2.9652631280544823e-17,0.1917993391295847,0.19929860753003484
12,,,,8,2.7451391760827366e-17,0.16691001557091464,0.18612793208390738
13,0.18387998322659782,1.0,13.0,13,2.309685602561031e-17,0.11680227388333736,0.15821411141342437
14,0.11906610391406616,1.0,22.0,22,1.7326938364312553e-17,0.10201137406804354,0.13294721416200775
15,0.11324656789386017,1.0,25.0,25,3.90105377938118e-18,0.06077495705815274,0.10053211374572818
