k	R	N(k)	a_k=N(k)-N(k-1)	V4(R)	rho(k)	Δ(R)	c=Δ/(2π²R³)
0	1	1	1	4.9348	0.202642	3.9348	0.199339
1	3	137	136	399.7190	0.342741	262.7190	0.492944
2	5	1545	1408	3084.2514	0.500932	1539.2514	0.623835
3	7	7281	5736	11848.4601	0.614510	4567.4601	0.674607
4	9	22409	15128	32377.2372	0.692122	9968.2372	0.692725
5	11	53161	30752	72250.4390	0.735788	19089.4390	0.726583
6	13	108081	54920	140942.8856	0.766843	32861.8856	0.757762
7	15	199953	91872	249824.3614	0.800374	49871.3614	0.748596
8	17	337417	137464	412159.6146	0.818656	74742.6146	0.770711
9	19	537409	199992	643108.3576	0.835643	105699.3576	0.780696
10	21	818145	280736	959725.2668	0.852478	141580.2668	0.774489
11	23	1191017	372872	1380959.9826	0.862456	189942.9826	0.790879
12	25	1682329	491312	1927657.1096	0.872732	245328.1096	0.795422
13	27	2313217	630888	2622556.2163	0.882047	309339.2163	0.796185
14	29	3103009	789792	3490291.8352	0.889040	387282.8352	0.804460
15	31	4083529	980520	4557393.4630	0.896023	473864.4630	0.805822
16	33	5285105	1201576	5852285.5605	0.903084	567180.5605	0.799558
17	35	6722865	1437760	7405287.5522	0.907847	682422.5522	0.806342
18	37	8436841	1713976	9248613.8270	0.912228	811772.8270	0.811894
19	39	10469785	2032944	11416373.7376	0.917085	946588.7376	0.808421
20	41	12830145	2360360	13944571.6010	0.920082	1114426.6010	0.819163
21	43	15588233	2758088	16871106.6980	0.923960	1282873.6980	0.817427
22	45	18778073	3189840	20235773.2736	0.927964	1457700.2736	0.810403
23	47	22401089	3623016	24080260.5368	0.930268	1679171.5368	0.819354
24	49	26535425	4134336	28448152.6605	0.932764	1912727.6605	0.823636
25	51	31241305	4705880	33384928.7819	0.935791	2143623.7819	0.818669
26	53	36522657	5281352	38937963.0022	0.937970	2415306.0022	0.821892
27	55	42456113	5933456	45156524.3864	0.940199	2700411.3864	0.822266
28	57	49090329	6634216	52091776.9638	0.942382	3001447.9638	0.821063
29	59	56445385	7355056	59796779.7276	0.943954	3351394.7276	0.826685
30	61	64618369	8172984	68326486.6352	0.945729	3708117.6352	0.827626
