t,H,Q2_re,Q2_im,generator_norm
0,np.float64(118.61573914019516),np.float64(118.61573914019519),np.float64(-4.891075258629432e-13),np.float64(2.2924463956865966e-14)
1,np.float64(118.61573914019506),np.float64(118.61573914019506),np.float64(-4.891075258629452e-13),np.float64(1.3100135478001951e-14)
2,np.float64(118.61573914019507),np.float64(118.61573914019507),np.float64(-4.891075258629463e-13),np.float64(1.3100135478001878e-14)
3,np.float64(118.61573914019509),np.float64(118.61573914019507),np.float64(-4.891075258629474e-13),np.float64(1.3100135478001812e-14)
4,np.float64(118.61573914019507),np.float64(118.61573914019507),np.float64(-4.891075258629484e-13),np.float64(1.310013547800174e-14)
5,np.float64(118.61573914019509),np.float64(118.61573914019509),np.float64(-4.891075258629495e-13),np.float64(1.3100135478001673e-14)
6,np.float64(118.6157391401951),np.float64(118.61573914019509),np.float64(-4.891075258629507e-13),np.float64(1.3100135478001604e-14)
7,np.float64(118.61573914019509),np.float64(118.6157391401951),np.float64(-4.891075258629519e-13),np.float64(1.3100135478001534e-14)
8,np.float64(118.6157391401951),np.float64(118.6157391401951),np.float64(-4.891075258629532e-13),np.float64(1.3100135478001467e-14)
9,np.float64(118.61573914019512),np.float64(118.6157391401951),np.float64(-4.891075258629542e-13),np.float64(1.3100135478001397e-14)
10,np.float64(118.61573914019512),np.float64(118.6157391401951),np.float64(-4.891075258629554e-13),np.float64(1.3100135478001325e-14)
11,np.float64(118.61573914019512),np.float64(118.61573914019513),np.float64(-4.891075258629564e-13),np.float64(1.3100135478001258e-14)
12,np.float64(118.61573914019512),np.float64(118.61573914019513),np.float64(-4.891075258629578e-13),np.float64(1.310013547800119e-14)
13,np.float64(118.61573914019513),np.float64(118.61573914019513),np.float64(-4.891075258629589e-13),np.float64(1.3100135478001124e-14)
14,np.float64(118.61573914019513),np.float64(118.61573914019513),np.float64(-4.891075258629599e-13),np.float64(1.310013547800105e-14)
15,np.float64(118.61573914019513),np.float64(118.61573914019516),np.float64(-4.891075258629611e-13),np.float64(1.3100135478000982e-14)
16,np.float64(118.61573914019515),np.float64(118.61573914019513),np.float64(-4.891075258629624e-13),np.float64(1.3100135478000913e-14)
17,np.float64(118.61573914019516),np.float64(118.61573914019516),np.float64(-4.891075258629638e-13),np.float64(1.3100135478000843e-14)
18,np.float64(118.61573914019516),np.float64(118.61573914019516),np.float64(-4.891075258629648e-13),np.float64(1.3100135478000771e-14)
19,np.float64(118.61573914019517),np.float64(118.61573914019516),np.float64(-4.891075258629659e-13),np.float64(1.3100135478000705e-14)
20,np.float64(118.61573914019516),np.float64(118.61573914019519),np.float64(-4.89107525862967e-13),np.float64(1.3100135478000635e-14)
21,np.float64(118.61573914019519),np.float64(118.6157391401952),np.float64(-4.891075258629681e-13),np.float64(1.3100135478000566e-14)
