Nh_chi_AB,delta_s,d0,epsilon_chi_AB,relative_step,sampling_condition_delta_s_le_epsilon,min_abs_chi_gap,min_abs_tau_gap,collision_cell_reached,crossed_without_detection,collision_step,post_collision_steps,post_collision_propagation_completed,q_reversed,separated_after_collision,case_valid
199,0.001,0.2,0.015707963267948967,0.002,True,0.013999999999999681,0.0,True,False,193,207,True,True,True,True
399,0.02,0.2,0.007853981633974483,0.04,False,4.163336342344337e-17,0.0,True,False,10,10,True,True,True,True
399,0.01,0.2,0.007853981633974483,0.02,False,6.245004513516506e-17,0.0,True,False,20,20,True,True,True,True
399,0.005,0.2,0.007853981633974483,0.01,True,1.97758476261356e-16,0.0,True,False,40,40,True,True,True,True
399,0.002,0.2,0.007853981633974483,0.004,True,0.003999999999999695,0.0,True,False,99,101,True,True,True,True
399,0.001,0.2,0.007853981633974483,0.002,True,0.005999999999999681,0.0,True,False,197,203,True,True,True,True
999,0.02,0.2,0.0031415926535897933,0.04,False,4.163336342344337e-17,0.0,True,False,10,10,True,True,True,True
999,0.01,0.2,0.0031415926535897933,0.02,False,6.245004513516506e-17,0.0,True,False,20,20,True,True,True,True
999,0.005,0.2,0.0031415926535897933,0.01,False,1.97758476261356e-16,0.0,True,False,40,40,True,True,True,True
999,0.002,0.2,0.0031415926535897933,0.004,True,3.0531133177191805e-16,0.0,True,False,100,100,True,True,True,True
999,0.001,0.2,0.0031415926535897933,0.002,True,0.001999999999999681,0.0,True,False,199,201,True,True,True,True
19,0.02,0.203,0.15707963267948966,0.04,True,0.12600000000000006,0.0,True,False,7,13,True,True,True,True
19,0.01,0.203,0.15707963267948966,0.02,True,0.14599999999999996,0.0,True,False,13,27,True,True,True,True
19,0.005,0.203,0.15707963267948966,0.01,True,0.1559999999999998,0.0,True,False,25,55,True,True,True,True
19,0.002,0.203,0.15707963267948966,0.004,True,0.1539999999999998,0.0,True,False,63,137,True,True,True,True
19,0.001,0.203,0.15707963267948966,0.002,True,0.1559999999999998,0.0,True,False,125,275,True,True,True,True
39,0.02,0.203,0.07853981633974483,0.04,True,0.04600000000000005,0.0,True,False,9,11,True,True,True,True
39,0.01,0.203,0.07853981633974483,0.02,True,0.06599999999999996,0.0,True,False,17,23,True,True,True,True
39,0.005,0.203,0.07853981633974483,0.01,True,0.0759999999999998,0.0,True,False,33,47,True,True,True,True
39,0.002,0.203,0.07853981633974483,0.004,True,0.07799999999999974,0.0,True,False,82,118,True,True,True,True
39,0.001,0.203,0.07853981633974483,0.002,True,0.07799999999999974,0.0,True,False,164,236,True,True,True,True
99,0.02,0.203,0.031415926535897934,0.04,True,0.006000000000000047,0.0,True,False,10,10,True,True,True,True
99,0.01,0.203,0.031415926535897934,0.02,True,0.025999999999999957,0.0,True,False,19,21,True,True,True,True
99,0.005,0.203,0.031415926535897934,0.01,True,0.0259999999999998,0.0,True,False,38,42,True,True,True,True
99,0.002,0.203,0.031415926535897934,0.004,True,0.029999999999999697,0.0,True,False,94,106,True,True,True,True
99,0.001,0.203,0.031415926535897934,0.002,True,0.029999999999999694,0.0,True,False,188,212,True,True,True,True
199,0.02,0.203,0.015707963267948967,0.04,False,0.006000000000000047,0.0,True,False,10,10,True,True,True,True
199,0.01,0.203,0.015707963267948967,0.02,True,0.005999999999999957,0.0,True,False,20,20,True,True,True,True
199,0.005,0.203,0.015707963267948967,0.01,True,0.005999999999999799,0.0,True,False,40,40,True,True,True,True
199,0.002,0.203,0.015707963267948967,0.004,True,0.013999999999999697,0.0,True,False,98,102,True,True,True,True
