step,base_Hperp,treat_Hperp,base_Hperp_frac,treat_Hperp_frac,base_PR_M,treat_PR_M,base_amp_std,treat_amp_std
0,-2.220446049250313e-16,-2.220446049250313e-16,-2.582967853209548e-16,-2.582967853209548e-16,0.8711111111111121,0.8711111111111121,0.04734269360113355,0.04734269360113355
25,0.0,0.0036153787525380343,0.0,0.004205644671319726,0.8711111111111093,0.8479481311979674,0.04734269360113414,0.05127998240928304
50,-3.3306690738754696e-16,0.01627179154301439,-3.8744517798142337e-16,0.01892841057044529,0.8711111111111121,0.7740882694078179,0.04734269360113396,0.0627868878050578
75,0.0,0.04285975886480142,0.0,0.049857270516197844,0.8711111111111096,0.6531787071139369,0.0473426936011349,0.08055164979662363
100,-2.220446049250313e-16,0.0890475523911427,-2.5829678532094166e-16,0.10358592829173796,0.8711111111111146,0.5192794420231226,0.047342693601134224,0.1017573551016068
125,-1.1102230246251565e-16,0.15667766669975602,-1.291483926604686e-16,0.18225769391604424,0.8711111111111061,0.4157981024810165,0.047342693601136195,0.12186788643505382
150,0.0,0.2387123686567748,0.0,0.2776858166007389,0.8711111111111125,0.36305505005643546,0.04734269360113513,0.1347401453641624
200,1.7930101847696278e-13,0.3809212600004558,2.0857465414664952e-13,0.4431124861229823,0.8711111111111572,0.4157778089993741,0.0473426936011474,0.12203101419429424
300,7.028765964756101e-05,0.42493778318898695,8.176319591654248e-05,0.4943153804443373,0.8711285783914722,0.8332953558646636,0.04734724057778724,0.053592731950067425
500,0.5831817083359201,0.21743930914586473,0.6783950484723269,0.2529396045166199,0.9809172442403927,0.3700223806889674,0.020797797833584875,0.13343404484109503
750,0.573754328494881,0.12992676809812154,0.6674285045756226,0.1511393016651671,0.9997882982321531,0.4420344926564893,0.0021234491939583584,0.11685037843215991
1000,0.5879352521174621,0.42981691280274265,0.6839246810345567,0.49999110264809665,0.9999935928343062,0.7132887730501279,0.00037094740320463504,0.07182175180965777
1500,0.5877905653128136,0.42472288006719366,0.683756371894449,0.4940653910985979,0.9999999539822575,0.589390580775635,3.1448543226777235e-05,0.090914476533208
2000,0.5874662335823538,0.20142723461576229,0.6833790880447407,0.23431331373671735,0.9999999673602558,0.3729272532917497,2.6485920648240042e-05,0.13483776165582742
3000,0.5872362305209247,0.0532332387383625,0.6831115334630317,0.06192437975686995,0.999999987036532,0.5556874550947029,1.6691655887067907e-05,0.09745357824119814
4000,0.5871646969913598,0.4020968358539999,0.6830283209898399,0.46774529885055066,0.9999999936282963,0.47483189042297164,1.170211147290893e-05,0.11334328634742591
5000,0.5871468817404395,0.40542254017757706,0.6830075971264845,0.4716139753086006,0.9999999965571149,0.48919788702829764,8.60193352168292e-06,0.1114746250982543
