label,mode,step,particle,actual_Ra,predicted_minus_partial_chi_E,partial_chi_E_read,g1_balance_error,C_memory,delta_C_memory_forward,sign_match
C_mediated_only_persistent,single_C_memory_time_gradient,1,A,1.5087216506023456e-10,1.5087216506023461e-10,-1.5087216506023461e-10,-5.169878828456423e-26,5.612786791850754e-07,2.4743035069878475e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,1,B,-1.5087216506023443e-10,-1.5087216506023461e-10,1.5087216506023461e-10,1.809457589959748e-25,5.612786791850754e-07,2.4743035069878475e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,2,A,1.3880239159154417e-10,1.3880239159154394e-10,-1.3880239159154394e-10,2.3264454728053903e-25,8.087090298838602e-07,2.2763592221013206e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,2,B,-1.3880239159154422e-10,-1.3880239159154394e-10,1.3880239159154394e-10,-2.8434333556510326e-25,8.087090298838602e-07,2.2763592221013206e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,3,A,1.276981999260748e-10,1.2769819992607461e-10,-1.2769819992607461e-10,1.809457589959748e-25,1.0363449520939922e-06,2.0942504787876235e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,3,B,-1.2769819992607402e-10,-1.2769819992607461e-10,1.2769819992607461e-10,5.945360652724886e-25,1.0363449520939922e-06,2.0942504787876235e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,4,A,1.174823435255091e-10,1.174823435255094e-10,-1.174823435255094e-10,-3.101927297073854e-25,1.2457699999727546e-06,1.9267104338183543e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,4,B,-1.1748234352550968e-10,-1.174823435255094e-10,1.174823435255094e-10,-2.8434333556510326e-25,1.2457699999727546e-06,1.9267104338183543e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,5,A,1.0808375557412309e-10,1.080837555741232e-10,-1.080837555741232e-10,-1.1632227364026952e-25,1.43844104335459e-06,1.7725735914156206e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,5,B,-1.0808375557412392e-10,-1.080837555741232e-10,1.080837555741232e-10,-7.108583389127582e-25,1.43844104335459e-06,1.7725735914156206e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,6,A,9.943705460101236e-11,9.943705460101179e-11,-9.943705460101179e-11,5.686866711302065e-25,1.615698402496152e-06,1.6307676954565935e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,6,B,-9.943705460101127e-11,-9.943705460101179e-11,9.943705460101179e-11,5.169878828456423e-25,1.615698402496152e-06,1.6307676954565935e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,7,A,9.14820896525376e-11,9.148208965253876e-11,-9.148208965253876e-11,-1.1632227364026952e-24,1.7787751720418114e-06,1.5003062703016356e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,7,B,-9.148208965253899e-11,-9.148208965253876e-11,9.148208965253876e-11,-2.3264454728053903e-25,1.7787751720418114e-06,1.5003062703016356e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,8,A,8.416352185099344e-11,8.416352185099068e-11,-8.416352185099068e-11,2.7658851732241863e-24,1.928805799071975e-06,1.380281758356247e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,8,B,-8.41635218509899e-11,-8.416352185099068e-11,8.416352185099068e-11,7.754818242684634e-25,1.928805799071975e-06,1.380281758356247e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,9,A,7.743043942852543e-11,7.743043942852952e-11,-7.743043942852952e-11,-4.097128971551715e-24,2.0668339749075997e-06,1.2698592066278843e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,9,B,-7.743043942853106e-11,-7.743043942852952e-11,7.743043942852952e-11,-1.5380389514657858e-24,2.0668339749075997e-06,1.2698592066278843e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,10,A,7.123600355843362e-11,7.123600355843146e-11,-7.123600355843146e-11,2.1584244108805566e-24,2.193819895570388e-06,1.168270458358276e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,10,B,-7.123600355842845e-11,-7.123600355843146e-11,7.123600355843146e-11,3.0114544175758664e-24,2.193819895570388e-06,1.168270458358276e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,11,A,6.553712251982185e-11,6.55371225198221e-11,-6.55371225198221e-11,-2.455692443516801e-25,2.3106469414062157e-06,1.0748088093250823e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,11,B,-6.553712251982392e-11,-6.55371225198221e-11,6.55371225198221e-11,-1.822382287030889e-24,2.3106469414062157e-06,1.0748088093250823e-07,True
C_mediated_only_persistent,single_C_memory_time_gradient,12,A,6.029415192923219e-11,6.029415192923113e-11,-6.029415192923113e-11,1.0598251598335667e-24,2.418127822338724e-06,9.888240916393904e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,12,B,-6.029415192923188e-11,-6.029415192923113e-11,6.029415192923113e-11,-7.496324301261813e-25,2.418127822338724e-06,9.888240916393904e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,13,A,5.547061895362344e-11,5.5470618953624085e-11,-5.5470618953624085e-11,-6.462348535570529e-25,2.517010231502663e-06,9.09718150839435e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,13,B,-5.547061895362137e-11,-5.5470618953624085e-11,5.5470618953624085e-11,2.714186384939622e-24,2.517010231502663e-06,9.09718150839435e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,14,A,5.103296858638243e-11,5.103296858638296e-11,-5.103296858638296e-11,-5.299125799167834e-25,2.6079820465866065e-06,8.369406848166805e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,14,B,-5.1032968586384496e-11,-5.103296858638296e-11,5.103296858638296e-11,-1.5380389514657858e-24,2.6079820465866065e-06,8.369406848166805e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,15,A,4.6950330221215134e-11,4.695033022121202e-11,-4.695033022121202e-11,3.114851994144995e-24,2.6916761150682745e-06,7.699854156278771e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,15,B,-4.695033022121462e-11,-4.695033022121202e-11,4.695033022121202e-11,-2.5978641112993525e-24,2.6916761150682745e-06,7.699854156278771e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,16,A,4.319430290013148e-11,4.319430290013122e-11,-4.319430290013122e-11,2.5849394142282115e-25,2.7686746566310622e-06,7.08386567562152e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,16,B,-4.3194302900132304e-11,-4.319430290013122e-11,4.319430290013122e-11,-1.0856745539758488e-24,2.7686746566310622e-06,7.08386567562152e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,17,A,3.9738757741617395e-11,3.9738757741623774e-11,-3.9738757741623774e-11,-6.378338004608112e-24,2.8395133133872774e-06,6.517156269626298e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,17,B,-3.9738757741618326e-11,-3.9738757741623774e-11,3.9738757741623774e-11,5.447759815485956e-24,2.8395133133872774e-06,6.517156269626298e-08,True
C_mediated_only_persistent,single_C_memory_time_gradient,18,A,3.655965617453768e-11,3.655965617453135e-11,-3.655965617453135e-11,6.3266392163235476e-24,2.9046848760835404e-06,5.995783612623141e-08,True
