label,mode,expected,row_count,max_actual_Ra_abs,max_predicted_minus_partial_chi_E_abs,max_g1_balance_error_abs,sign_match_ratio,first_sign_break_step,valid
C_mediated_only_persistent,single_C_memory_time_gradient,match,92,1.5087216506023456e-10,1.5087216506023461e-10,4.3658818912747546e-23,1.0,,True
C_mediated_only_reset,single_C_memory_time_gradient,match,92,9.538881387839005e-20,9.538449639909526e-20,4.3820397328424214e-24,1.0,,True
R2_only_control,reaction_control_without_C_memory,reject,92,1.8943201400821984e-07,0.0,1.8943201400821984e-07,0.0,1,True
R3_only_control,reaction_control_without_C_memory,reject,92,1.183949010058143e-07,0.0,1.183949010058143e-07,0.0,1,True
combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,match,92,1.502986489806105e-10,1.5087273853441775e-10,1.9677154423536674e-11,0.5869565217391305,28,False
combined_minus_R2_R3_residual_early_window,combined_minus_R2_R3_residual_steps_1_to_16,match,32,1.502986489806105e-10,1.5087273853441775e-10,1.1270077814154828e-11,1.0,,True
combined_minus_R2_R3_residual_mirrored,combined_minus_R2_R3_residual,match,92,1.5029864898110185e-10,1.5087273853441775e-10,1.967715446588832e-11,0.5869565217391305,28,False
combined_minus_R2_R3_residual_mirrored_early_window,combined_minus_R2_R3_residual_steps_1_to_16,match,32,1.5029864898110185e-10,1.5087273853441775e-10,1.1270077819237025e-11,1.0,,True
