protocol,kind,step,C_memory
double_signed_pulse,pulse,4,0.0
double_signed_pulse,pulse,5,0.0
double_signed_pulse,pulse,6,3.8e-06
double_signed_pulse,pulse,7,0.0
double_signed_pulse,pulse,8,0.0
double_signed_pulse,pulse,9,0.0
double_signed_pulse,pulse,10,0.0
double_signed_pulse,pulse,11,0.0
double_signed_pulse,pulse,12,0.0
double_signed_pulse,pulse,13,0.0
double_signed_pulse,pulse,14,0.0
double_signed_pulse,pulse,15,0.0
double_signed_pulse,pulse,16,0.0
double_signed_pulse,pulse,17,0.0
double_signed_pulse,pulse,18,0.0
double_signed_pulse,pulse,19,0.0
double_signed_pulse,pulse,20,0.0
double_signed_pulse,pulse,21,0.0
double_signed_pulse,pulse,22,-2.47e-06
double_signed_pulse,pulse,23,0.0
double_signed_pulse,pulse,24,0.0
double_signed_pulse,pulse,25,0.0
double_signed_pulse,pulse,26,0.0
double_signed_pulse,pulse,27,0.0
double_signed_pulse,pulse,28,0.0
double_signed_pulse,pulse,29,0.0
double_signed_pulse,pulse,30,0.0
double_signed_pulse,pulse,31,0.0
double_signed_pulse,pulse,32,0.0
double_signed_pulse,pulse,33,0.0
double_signed_pulse,pulse,34,0.0
double_signed_pulse,pulse,35,0.0
double_signed_pulse,pulse,36,0.0
double_signed_pulse,pulse,37,0.0
double_signed_pulse,pulse,38,0.0
double_signed_pulse,pulse,39,0.0
double_signed_pulse,pulse,40,0.0
double_signed_pulse,pulse,41,0.0
double_signed_pulse,pulse,42,0.0
double_signed_pulse,pulse,43,0.0
double_signed_pulse,pulse,44,0.0
double_signed_pulse,pulse,45,0.0
double_signed_pulse,pulse,46,0.0
double_signed_pulse,pulse,47,0.0
double_signed_pulse,pulse,48,0.0
double_signed_pulse,pulse,49,0.0
double_signed_pulse,pulse,50,0.0
double_signed_pulse,pulse,51,0.0
double_signed_pulse,pulse,52,0.0
double_signed_pulse,pulse,53,0.0
double_signed_pulse,pulse,54,0.0
double_signed_pulse,pulse,55,0.0
double_signed_pulse,pulse,56,0.0
double_signed_pulse,pulse,57,0.0
double_signed_pulse,pulse,58,0.0
double_signed_pulse,pulse,59,0.0
double_signed_pulse,pulse,60,0.0
double_signed_pulse,pulse,61,0.0
double_signed_pulse,pulse,62,0.0
double_signed_pulse,pulse,63,0.0
double_signed_pulse,pulse,64,0.0
double_signed_pulse,pulse,65,0.0
double_signed_pulse,pulse,66,0.0
double_signed_pulse,pulse,67,0.0
double_signed_pulse,pulse,68,0.0
double_signed_pulse,pulse,69,0.0
double_signed_pulse,pulse,70,0.0
double_signed_pulse,pulse,71,0.0
double_signed_pulse,pulse,72,0.0
double_signed_pulse,pulse,73,0.0
double_signed_pulse,pulse,74,0.0
double_signed_pulse,pulse,75,0.0
double_signed_pulse,pulse,76,0.0
double_signed_pulse,pulse,77,0.0
double_signed_pulse,pulse,78,0.0
double_signed_pulse,pulse,79,0.0
double_signed_pulse,pulse,80,0.0
double_signed_pulse,pulse,81,0.0
double_signed_pulse,pulse,82,0.0
double_signed_pulse,pulse,83,0.0
double_signed_pulse,pulse,84,0.0
double_signed_pulse,pulse,85,0.0
double_signed_pulse,pulse,86,0.0
double_signed_pulse,pulse,87,0.0
double_signed_pulse,pulse,88,0.0
double_signed_pulse,pulse,89,0.0
double_signed_pulse,pulse,90,0.0
double_signed_pulse,pulse,91,0.0
double_signed_pulse,pulse,92,0.0
double_signed_pulse,pulse,93,0.0
double_signed_pulse,pulse,94,0.0
double_signed_pulse,pulse,95,0.0
hold_release,hold_release,0,0.0
hold_release,hold_release,1,0.0
hold_release,hold_release,2,0.0
hold_release,hold_release,3,0.0
hold_release,hold_release,4,0.0
hold_release,hold_release,5,0.0
hold_release,hold_release,6,3.8e-06
hold_release,hold_release,7,3.8e-06
hold_release,hold_release,8,3.8e-06
hold_release,hold_release,9,3.8e-06
hold_release,hold_release,10,3.8e-06
hold_release,hold_release,11,3.8e-06
hold_release,hold_release,12,3.8e-06
hold_release,hold_release,13,3.8e-06
hold_release,hold_release,14,3.8e-06
hold_release,hold_release,15,3.8e-06
hold_release,hold_release,16,3.8e-06
hold_release,hold_release,17,3.8e-06
hold_release,hold_release,18,3.8e-06
hold_release,hold_release,19,3.8e-06
hold_release,hold_release,20,3.8e-06
hold_release,hold_release,21,3.8e-06
hold_release,hold_release,22,3.8e-06
hold_release,hold_release,23,3.8e-06
hold_release,hold_release,24,3.8e-06
hold_release,hold_release,25,3.8e-06
hold_release,hold_release,26,3.8e-06
hold_release,hold_release,27,3.8e-06
hold_release,hold_release,28,3.8e-06
hold_release,hold_release,29,3.8e-06
hold_release,hold_release,30,3.8e-06
hold_release,hold_release,31,3.8e-06
hold_release,hold_release,32,0.0
hold_release,hold_release,33,0.0
hold_release,hold_release,34,0.0
hold_release,hold_release,35,0.0
hold_release,hold_release,36,0.0
hold_release,hold_release,37,0.0
hold_release,hold_release,38,0.0
hold_release,hold_release,39,0.0
hold_release,hold_release,40,0.0
hold_release,hold_release,41,0.0
hold_release,hold_release,42,0.0
hold_release,hold_release,43,0.0
hold_release,hold_release,44,0.0
hold_release,hold_release,45,0.0
hold_release,hold_release,46,0.0
hold_release,hold_release,47,0.0
hold_release,hold_release,48,0.0
hold_release,hold_release,49,0.0
hold_release,hold_release,50,0.0
hold_release,hold_release,51,0.0
hold_release,hold_release,52,0.0
hold_release,hold_release,53,0.0
hold_release,hold_release,54,0.0
hold_release,hold_release,55,0.0
hold_release,hold_release,56,0.0
hold_release,hold_release,57,0.0
hold_release,hold_release,58,0.0
hold_release,hold_release,59,0.0
hold_release,hold_release,60,0.0
hold_release,hold_release,61,0.0
hold_release,hold_release,62,0.0
hold_release,hold_release,63,0.0
hold_release,hold_release,64,0.0
hold_release,hold_release,65,0.0
hold_release,hold_release,66,0.0
hold_release,hold_release,67,0.0
hold_release,hold_release,68,0.0
hold_release,hold_release,69,0.0
hold_release,hold_release,70,0.0
hold_release,hold_release,71,0.0
hold_release,hold_release,72,0.0
hold_release,hold_release,73,0.0
hold_release,hold_release,74,0.0
hold_release,hold_release,75,0.0
hold_release,hold_release,76,0.0
hold_release,hold_release,77,0.0
hold_release,hold_release,78,0.0
hold_release,hold_release,79,0.0
hold_release,hold_release,80,0.0
hold_release,hold_release,81,0.0
hold_release,hold_release,82,0.0
hold_release,hold_release,83,0.0
hold_release,hold_release,84,0.0
hold_release,hold_release,85,0.0
hold_release,hold_release,86,0.0
hold_release,hold_release,87,0.0
hold_release,hold_release,88,0.0
hold_release,hold_release,89,0.0
hold_release,hold_release,90,0.0
hold_release,hold_release,91,0.0
hold_release,hold_release,92,0.0
hold_release,hold_release,93,0.0
hold_release,hold_release,94,0.0
hold_release,hold_release,95,0.0
delayed_step_pair,delayed_step_pair,0,0.0
delayed_step_pair,delayed_step_pair,1,0.0
delayed_step_pair,delayed_step_pair,2,0.0
delayed_step_pair,delayed_step_pair,3,0.0
delayed_step_pair,delayed_step_pair,4,0.0
delayed_step_pair,delayed_step_pair,5,3.8e-06
delayed_step_pair,delayed_step_pair,6,3.8e-06
delayed_step_pair,delayed_step_pair,7,3.8e-06
delayed_step_pair,delayed_step_pair,8,3.8e-06
delayed_step_pair,delayed_step_pair,9,3.8e-06
delayed_step_pair,delayed_step_pair,10,3.8e-06
delayed_step_pair,delayed_step_pair,11,3.8e-06
delayed_step_pair,delayed_step_pair,12,3.8e-06
delayed_step_pair,delayed_step_pair,13,3.8e-06
delayed_step_pair,delayed_step_pair,14,3.8e-06
delayed_step_pair,delayed_step_pair,15,3.8e-06
delayed_step_pair,delayed_step_pair,16,3.8e-06
delayed_step_pair,delayed_step_pair,17,3.8e-06
delayed_step_pair,delayed_step_pair,18,3.8e-06
delayed_step_pair,delayed_step_pair,19,3.8e-06
delayed_step_pair,delayed_step_pair,20,3.8e-06
delayed_step_pair,delayed_step_pair,21,3.8e-06
delayed_step_pair,delayed_step_pair,22,0.0
delayed_step_pair,delayed_step_pair,23,0.0
delayed_step_pair,delayed_step_pair,24,0.0
delayed_step_pair,delayed_step_pair,25,0.0
delayed_step_pair,delayed_step_pair,26,0.0
delayed_step_pair,delayed_step_pair,27,0.0
delayed_step_pair,delayed_step_pair,28,0.0
delayed_step_pair,delayed_step_pair,29,0.0
