feature,scale,r2,nrmse,corr,max_residual_abs
delta_C_lag_0,0.0006097560975609757,1.0,1.78429034290244e-16,1.0,4.1359030627651384e-25
delta_tail_including_current,0.00010629392958108506,0.14301294554793675,0.9254465007438631,0.378189287045767,2.2847598161390575e-09
delta_C_lag_7,-9.848004016631399e-05,0.025475278125169254,0.9868715230820612,-0.1622339493366945,2.3170731707317074e-09
delta_C_lag_8,-7.230292133833985e-05,0.013443613794291709,0.9929448849948105,-0.11927661550828818,2.3170731707317074e-09
delta_C_lag_2,6.913428960969702e-05,0.012237481980733378,0.9935516706847396,0.11282553165241029,2.3170731707317074e-09
delta_C_lag_6,-6.884287492028927e-05,0.012129269344368865,0.9936060926228056,-0.1135985892129289,2.3170731707317074e-09
C_level,-1.2005158719212716e-05,0.00737975764873311,0.9959917717401814,-0.1290626649444217,2.3170731707317074e-09
delayed_delta_tail,-2.4290439805892998e-05,0.007023004224020357,0.9961707382471122,-0.08940563927661284,2.3170731707317074e-09
Q_recovery_signed_tail_proxy,-0.024290439805892995,0.007023004224020357,0.9961707382471122,-0.08940563927661284,2.3170731707317074e-09
delta_C_lag_5,-4.3849103614294024e-05,0.004549009065961562,0.9974109424101154,-0.07258315949057502,2.3170731707317074e-09
delta_C_lag_3,3.2394263813888055e-05,0.002198562342388688,0.9985877854014105,0.05253419235924764,2.3170731707317074e-09
delta_C_lag_1,-2.5060708154336105e-05,0.0010645924288882336,0.99915505606234,-0.04175091316211271,2.3170731707317074e-09
Q_recovery_abs_tail_proxy,-0.00571401886316791,0.0003188107042256805,0.9995279593296542,-0.0458901198417679,2.3170731707317074e-09
C_integral,-7.17548373312303e-08,-1.899380641612325e-05,0.9996968214318965,-0.052711730444138884,2.3170731707317074e-09
Q_raw_abs_proxy,0.01357343513387339,-0.00012980140258211925,0.9997522058465635,0.016947117069769545,2.3686522242404265e-09
delta_C_lag_4,-7.870042783675012e-06,-0.00045894680727665005,0.9999167028820641,-0.013540583526035594,2.3170731707317074e-09
