lag,feature,coefficient,abs_fraction
0,delta_C_lag_0,0.0006097560975609759,0.9999999999999953
1,delta_C_lag_1,-2.0026189053273404e-19,3.284295004736821e-16
2,delta_C_lag_2,1.7316858049574812e-19,2.8399647201302544e-16
3,delta_C_lag_3,1.729103914118764e-19,2.8357304191547585e-16
4,delta_C_lag_4,-1.644804426225293e-19,2.6974792590094667e-16
5,delta_C_lag_5,9.506478398674303e-19,1.5590624573825775e-15
6,delta_C_lag_6,5.488869885456708e-19,9.001746612148954e-16
7,delta_C_lag_7,-5.115655714363e-19,8.389675371555277e-16
8,delta_C_lag_8,-7.20116319687179e-20,1.1809907642869675e-16
