protocol,kind,step,particle,C_memory,actual_Ra,signed_target_Ra,sign_normalizer,delta_C_lag_0,delta_C_lag_1,delta_C_lag_2,delta_C_lag_3,delta_C_lag_4,delta_C_lag_5,delta_C_lag_6,delta_C_lag_7,delta_C_lag_8,C_level,C_integral,delayed_delta_tail,delta_tail_including_current,Q_raw_abs_proxy,Q_recovery_abs_tail_proxy,Q_recovery_signed_tail_proxy
single_impulse,impulse,1,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,1,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,2,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,2,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,3,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,3,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,4,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,4,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,5,A,0.0,2.3170731707317074e-09,2.3170731707317074e-09,1.0,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,3.8e-09,0.0,0.0
single_impulse,impulse,5,B,0.0,-2.3170731707317074e-09,2.3170731707317074e-09,-1.0,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,3.8e-09,0.0,0.0
single_impulse,impulse,6,A,3.8e-06,-2.3170731707317074e-09,-2.3170731707317074e-09,1.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,3.8e-06,3.8e-06,-3.0399999999999997e-07,3.8e-09,3.8e-09,3.8e-09
single_impulse,impulse,6,B,3.8e-06,2.3170731707317074e-09,-2.3170731707317074e-09,-1.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,3.8e-06,3.8e-06,-3.0399999999999997e-07,3.8e-09,3.8e-09,3.8e-09
single_impulse,impulse,7,A,0.0,0.0,0.0,1.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,-3.0399999999999997e-07,-2.796799999999999e-07,0.0,7.2960000000000004e-09,-3.04e-10
single_impulse,impulse,7,B,0.0,-0.0,0.0,-1.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,-3.0399999999999997e-07,-2.796799999999999e-07,0.0,7.2960000000000004e-09,-3.04e-10
single_impulse,impulse,8,A,0.0,0.0,0.0,1.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,-2.796799999999999e-07,-2.5730560000000005e-07,0.0,6.71232e-09,-2.796799999999999e-10
single_impulse,impulse,8,B,0.0,-0.0,0.0,-1.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,-2.796799999999999e-07,-2.5730560000000005e-07,0.0,6.71232e-09,-2.796799999999999e-10
single_impulse,impulse,9,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,3.8e-06,-2.5730560000000005e-07,-2.3672115199999986e-07,0.0,6.175334400000001e-09,-2.5730560000000006e-10
single_impulse,impulse,9,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,0.0,3.8e-06,-2.5730560000000005e-07,-2.3672115199999986e-07,0.0,6.175334400000001e-09,-2.5730560000000006e-10
single_impulse,impulse,10,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,3.8e-06,-2.3672115199999986e-07,-2.177834598399997e-07,0.0,5.681307648e-09,-2.367211519999999e-10
single_impulse,impulse,10,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,0.0,3.8e-06,-2.3672115199999986e-07,-2.177834598399997e-07,0.0,5.681307648e-09,-2.367211519999999e-10
single_impulse,impulse,11,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,3.8e-06,-2.177834598399997e-07,-2.0036078305280018e-07,0.0,5.2268030361600014e-09,-2.177834598399997e-10
single_impulse,impulse,11,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,0.0,3.8e-06,-2.177834598399997e-07,-2.0036078305280018e-07,0.0,5.2268030361600014e-09,-2.177834598399997e-10
single_impulse,impulse,12,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,3.8e-06,-2.0036078305280018e-07,-1.843319204085755e-07,0.0,4.808658793267201e-09,-2.003607830528002e-10
single_impulse,impulse,12,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,0.0,3.8e-06,-2.0036078305280018e-07,-1.843319204085755e-07,0.0,4.808658793267201e-09,-2.003607830528002e-10
single_impulse,impulse,13,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,3.8e-06,-1.843319204085755e-07,-1.6958536677589033e-07,0.0,4.423966089805826e-09,-1.843319204085755e-10
single_impulse,impulse,13,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,3.8e-06,0.0,3.8e-06,-1.843319204085755e-07,-1.6958536677589033e-07,0.0,4.423966089805826e-09,-1.843319204085755e-10
single_impulse,impulse,14,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,0.0,3.8e-06,-2.119817084698625e-06,-1.9502317179227346e-06,0.0,2.119817084698625e-09,-2.119817084698625e-09
single_impulse,impulse,14,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8e-06,0.0,3.8e-06,-2.119817084698625e-06,-1.9502317179227346e-06,0.0,2.119817084698625e-09,-2.119817084698625e-09
single_impulse,impulse,15,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,15,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,16,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,16,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,17,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,17,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,18,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,18,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,19,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,19,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,20,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,20,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,21,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,21,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,22,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,22,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,23,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,23,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,24,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,24,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,25,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,25,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,26,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,26,B,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
single_impulse,impulse,27,A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
