phase,case,step,particle,delta_chi_mean,delta_chi_std,R_mean,R_std,C_memory_mean,distance_AB_abs,gauge_count,v_chi_read,a_chi_read
phase2_c_deformation_only,A_B_to_C_no_return,0,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,0,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,1,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,5.612786793415061e-07,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,1,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,5.612786793415061e-07,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,2,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,8.087090304845532e-07,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,2,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,8.087090304845532e-07,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,3,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,1.0363449535361569e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,3,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,1.0363449535361569e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,4,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,1.2457700027436318e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,4,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,1.2457700027436318e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,5,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,1.4384410480145094e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,5,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,1.4384410480145094e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,6,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,1.6156984096637158e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,6,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,1.6156984096637158e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,7,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,1.7787751823809867e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,7,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,1.7787751823809867e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,8,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,1.9288058132808756e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,8,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,1.9288058132808756e-06,0.5,7,0.0,0.0
