phase,case,step,C_memory,C_source_strength,distance_AB_abs
phase3_c_return_frozen,C_return_without_reembedding,15,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,16,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,17,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,18,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,19,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,20,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,21,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,22,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,23,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,24,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,25,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,26,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,27,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,28,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,29,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,30,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,31,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,32,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,33,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,34,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,35,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,36,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,37,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,38,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,39,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,40,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,41,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,42,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,43,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,44,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,45,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,46,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_frozen,C_return_without_reembedding,47,2.923326454903677e-07,0.2923326454903677,0.5
phase3_c_return_persistent,C_return_with_persistent_reembedding,0,2.923326454903677e-07,0.2923326453339372,0.4999999997076674
phase3_c_return_persistent,C_return_with_persistent_reembedding,1,5.612786791850755e-07,0.29233264503359063,0.4999999991463887
phase3_c_return_persistent,C_return_with_persistent_reembedding,2,8.0870902988386e-07,0.29233264460084124,0.4999999983376796
phase3_c_return_persistent,C_return_with_persistent_reembedding,3,1.0363449520939924e-06,0.29233264404628134,0.4999999973013347
phase3_c_return_persistent,C_return_with_persistent_reembedding,4,1.2457699999727544e-06,0.2923326433796557,0.4999999960555647
phase3_c_return_persistent,C_return_with_persistent_reembedding,5,1.4384410433545898e-06,0.29233264260992964,0.49999999461712363
phase3_c_return_persistent,C_return_with_persistent_reembedding,6,1.6156984024961523e-06,0.2923326417453511,0.4999999930014253
phase3_c_return_persistent,C_return_with_persistent_reembedding,7,1.7787751720418114e-06,0.29233264079350835,0.49999999122265004
phase3_c_return_persistent,C_return_with_persistent_reembedding,8,1.928805799071975e-06,0.2923326397613825,0.49999998929384426
phase3_c_return_persistent,C_return_with_persistent_reembedding,9,2.0668339749075997e-06,0.2923326386553963,0.49999998722701033
phase3_c_return_persistent,C_return_with_persistent_reembedding,10,2.193819895570388e-06,0.2923326374814585,0.4999999850331905
phase3_c_return_persistent,C_return_with_persistent_reembedding,11,2.3106469414062157e-06,0.29233263624500505,0.4999999827225434
phase3_c_return_persistent,C_return_with_persistent_reembedding,12,2.4181278223387235e-06,0.2923326349510375,0.4999999803044156
phase3_c_return_persistent,C_return_with_persistent_reembedding,13,2.517010231502663e-06,0.2923326336041568,0.49999997778740535
phase3_c_return_persistent,C_return_with_persistent_reembedding,14,2.607982046586607e-06,0.2923326322085961,0.4999999751794234
phase3_c_return_persistent,C_return_with_persistent_reembedding,15,2.6916761150682745e-06,0.2923326307682497,0.4999999724877473
phase3_c_return_persistent,C_return_with_persistent_reembedding,16,2.7686746566310622e-06,0.29233262928670056,0.49999996971907257
phase3_c_return_persistent,C_return_with_persistent_reembedding,17,2.839513313387278e-06,0.29233262776724483,0.4999999668795593
phase3_c_return_persistent,C_return_with_persistent_reembedding,18,2.9046848760835404e-06,0.29233262621291506,0.4999999639748744
phase3_c_return_persistent,C_return_with_persistent_reembedding,19,2.9646427122097723e-06,0.2923326246265011,0.49999996101023164
phase3_c_return_persistent,C_return_with_persistent_reembedding,20,3.0198039198594917e-06,0.29233262301056984,0.4999999579904278
phase3_c_return_persistent,C_return_with_persistent_reembedding,21,3.0705522292813023e-06,0.2923326213674826,0.4999999549198756
phase3_c_return_persistent,C_return_with_persistent_reembedding,22,3.117240672306281e-06,0.29233261969941177,0.4999999518026349
phase3_c_return_persistent,C_return_with_persistent_reembedding,23,3.16019403822119e-06,0.29233261800835614,0.4999999486424409
phase3_c_return_persistent,C_return_with_persistent_reembedding,24,3.199711133171851e-06,0.2923326162961544,0.49999994544272974
phase3_c_return_persistent,C_return_with_persistent_reembedding,25,3.236066858814257e-06,0.2923326145644984,0.4999999422066629
phase3_c_return_persistent,C_return_with_persistent_reembedding,26,3.269514124673615e-06,0.29233261281494427,0.49999993893714867
phase3_c_return_persistent,C_return_with_persistent_reembedding,27,3.3002856075146703e-06,0.292332611048924,0.49999993563686307
phase3_c_return_persistent,C_return_with_persistent_reembedding,28,3.328595369962421e-06,0.2923326092677549,0.49999993230826767
phase3_c_return_persistent,C_return_with_persistent_reembedding,29,3.3546403496331823e-06,0.29233260747264883,0.4999999289536274
phase3_c_return_persistent,C_return_with_persistent_reembedding,30,3.3786017291351767e-06,0.29233260566472075,0.49999992557502565
phase3_c_return_persistent,C_return_with_persistent_reembedding,31,3.4006461964690834e-06,0.29233260384499643,0.4999999221743795
phase3_c_return_persistent,C_return_with_persistent_reembedding,32,3.4209271045965532e-06,0.29233260201441946,0.4999999187534523
phase3_c_return_persistent,C_return_with_persistent_reembedding,33,3.4395855382432487e-06,0.2923326001738583,0.49999991531386684
phase3_c_return_persistent,C_return_with_persistent_reembedding,34,3.4567512953576475e-06,0.29233259832411146,0.49999991185711556
phase3_c_return_persistent,C_return_with_persistent_reembedding,35,3.472543790053147e-06,0.29233259646591386,0.49999990838457176
phase3_c_return_persistent,C_return_with_persistent_reembedding,36,3.487072883314809e-06,0.29233259459994165,0.4999999048974989
phase3_c_return_persistent,C_return_with_persistent_reembedding,37,3.5004396472495663e-06,0.2923325927268166,0.4999999013970592
phase3_c_return_persistent,C_return_with_persistent_reembedding,38,3.5127370681964177e-06,0.2923325908471111,0.4999998978843221
phase3_c_return_persistent,C_return_with_persistent_reembedding,39,3.524050693587815e-06,0.29233258896135167,0.4999998943602715
phase3_c_return_persistent,C_return_with_persistent_reembedding,40,3.5344592270621415e-06,0.2923325870700224,0.4999998908258122
phase3_c_return_persistent,C_return_with_persistent_reembedding,41,3.5440350759671928e-06,0.292332585173569,0.4999998872817772
phase3_c_return_persistent,C_return_with_persistent_reembedding,42,3.5528448550633863e-06,0.29233258327240136,0.4999998837289322
phase3_c_return_persistent,C_return_with_persistent_reembedding,43,3.560949849930717e-06,0.29233258136689666,0.4999998801679824
phase3_c_return_persistent,C_return_with_persistent_reembedding,44,3.5684064433031562e-06,0.2923325794574019,0.499999876599576
phase3_c_return_persistent,C_return_with_persistent_reembedding,45,3.5752665072963057e-06,0.2923325775442362,0.4999998730243095
phase3_c_return_persistent,C_return_with_persistent_reembedding,46,3.5815777642568373e-06,0.2923325756276932,0.49999986944273167
phase3_c_return_persistent,C_return_with_persistent_reembedding,47,3.5873841187439837e-06,0.2923325737080433,0.4999998658553476
