phase,case,step,particle,gauge,chi_read,delta_chi_read,R_read,C_memory,distance_AB_abs,reembedded,delta_chi_gauge_offset,phase_bias,gain
phase2_c_deformation_only,A_B_to_C_no_return,5,B,g_gain_low,0.25,0.0,1.25,1.4384410480145091e-06,0.5,False,0.0,0.0,0.8
phase2_c_deformation_only,A_B_to_C_no_return,6,A,g0,-0.25,0.0,1.0,1.615698409663716e-06,0.5,False,0.0,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,A,g_chi_plus,-0.2495,0.0,1.0,1.615698409663716e-06,0.5,False,0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,A,g_chi_minus,-0.2505,0.0,1.0,1.615698409663716e-06,0.5,False,-0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,A,g_phase_plus,-0.25,1.097783008371748e-18,1.0,1.615698409663716e-06,0.5,False,0.0,0.11,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,A,g_phase_minus,-0.25,-1.2963414261969487e-18,1.0,1.615698409663716e-06,0.5,False,0.0,-0.13,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,A,g_gain_high,-0.25,0.0,1.2,1.615698409663716e-06,0.5,False,0.0,0.0,1.2
phase2_c_deformation_only,A_B_to_C_no_return,6,A,g_gain_low,-0.25,0.0,0.8,1.615698409663716e-06,0.5,False,0.0,0.0,0.8
phase2_c_deformation_only,A_B_to_C_no_return,6,B,g0,0.25,0.0,1.5625,1.615698409663716e-06,0.5,False,0.0,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,B,g_chi_plus,0.2505,0.0,1.5625,1.615698409663716e-06,0.5,False,0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,B,g_chi_minus,0.2495,0.0,1.5625,1.615698409663716e-06,0.5,False,-0.0005,0.0,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,B,g_phase_plus,0.25,1.097783008371748e-18,1.5625,1.615698409663716e-06,0.5,False,0.0,0.11,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,B,g_phase_minus,0.25,-1.2963414261969487e-18,1.5625,1.615698409663716e-06,0.5,False,0.0,-0.13,1.0
phase2_c_deformation_only,A_B_to_C_no_return,6,B,g_gain_high,0.25,0.0,1.875,1.615698409663716e-06,0.5,False,0.0,0.0,1.2
phase2_c_deformation_only,A_B_to_C_no_return,6,B,g_gain_low,0.25,0.0,1.25,1.615698409663716e-06,0.5,False,0.0,0.0,0.8
