R,R_input_text,condition_id,step,phi,phi_over_pi,s0,stability_gain,p_a,p_b,q,S,dS_from_prev,abs_dS_from_prev,cumulative_abs_dS,S_zero_crossing_event,cumulative_S_zero_crossings,S_zero_crossing_cycle_estimate,dS_turn_event,cumulative_dS_turns,dS_turn_cycle_estimate,dp_a_from_prev,dp_b_from_prev,abs_dp_total_from_prev,cumulative_abs_dp_total,phase_a,phase_b,relative_phase,relative_phase_over_pi,unwrapped_relative_phase,unwrapped_relative_phase_over_pi,relative_phase_cycles,prefix_S_mean,prefix_S_amp,prefix_S_drift,prefix_gray_error_no_phase,prefix_gray_depth_no_phase,best_prefix_step_so_far,best_prefix_gray_error_no_phase_so_far,a_real,a_imag,b_real,b_imag
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,0,0.0,0.0,0.01,0.0,0.51,0.48999999999999994,1.0,0.020000000000000073,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000073,0.0,0.0,0.04000000000000008,1.3979400086720368,0,0.04000000000000008,0.714142842854285,0.0,0.7,0.0
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,1,0.0,0.0,0.01,0.0,0.503732078251123,0.49626792174887707,1.0,0.007464156502245911,-0.012535843497754162,0.012535843497754162,0.012535843497754162,0,0,0.0,0,0,0.0,-0.006267921748877026,0.006267921748877137,0.012535843497754162,0.012535843497754162,-0.00924363990040197,0.009312897301293789,0.01855653720169581,0.005906729244637071,0.01855653720169581,0.005906729244637071,0.0029533646223185357,0.013732078251122992,0.006267921748877081,0.012535843497754162,0.04000000000000008,1.3979400086720368,0,0.04000000000000008,0.7097105312384189,-0.006560495438934111,0.7044323116158662,0.006560495438934111
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,2,0.0,0.0,0.01,0.0,0.49278568161450104,0.507214318385499,1.0,-0.014428636770997982,-0.021892793273243893,0.021892793273243893,0.034428636770998056,1,1,0.5,0,0,0.0,-0.010946396636621947,0.010946396636621947,0.021892793273243893,0.034428636770998056,-0.006975765241125832,0.006875828633443711,0.013851593874569357,0.004409099269678264,0.013851593874569357,0.004409099269678264,0.002204549634839132,0.004345173243749334,0.017214318385499028,0.02348224013437611,0.030613094992626416,1.5140927608871306,2,0.030613094992626416,0.7019698728657979,-0.004896856468847466,0.7121729699884871,0.004896856468847466
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,3,0.0,0.0,0.01,0.0,0.49088304160023766,0.5091169583997627,1.0000000000000004,-0.01823391679952501,-0.003805280028527029,0.003805280028527029,0.038233916799525085,0,1,0.5,0,0,0.0,-0.0019026400142633793,0.0019026400142636568,0.003805280028527036,0.03823391679952509,0.004146855762500025,-0.004071918884999203,-0.008218774647499316,-0.0026161172226157317,-0.008218774647499316,-0.0026161172226157317,-0.0013080586113078658,-0.0012995992670692524,0.019116958399762542,0.03006335503638449,0.0322459959036912,1.4915242055215379,2,0.030613094992626416,0.7006244359292979,0.0029054051336827595,0.7135184069249874,-0.0029054051336827595
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,4,0.0,0.0,0.01,0.0,0.5004092779534697,0.4995907220465304,1.0,0.0008185559069393,0.01905247270646431,0.01905247270646431,0.057286389505989396,1,2,1.0,1,1,0.5,0.00952623635323202,-0.009526236353232298,0.01905247270646432,0.05728638950598941,0.009988199766747818,-0.009996379287966558,-0.019984579054714402,-0.0063612890843371085,-0.019984579054714402,-0.0063612890843371085,-0.0031806445421685542,-0.0008759682322675419,0.019116958399762542,0.024346744138984223,0.026105753971489225,1.583263759226731,4,0.026105753971489225,0.7073608391161248,0.007065496330871222,0.7067820037381604,-0.007065496330871222
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,5,0.0,0.0,0.01,0.0,0.5094224498695241,0.4905775501304758,1.0,0.018844899739048293,0.018026343832108993,0.018026343832108993,0.07531273333809839,0,2,1.0,0,1,0.5,0.009013171916054441,-0.009013171916054552,0.018026343832108993,0.0753127333380984,0.0033182975382913503,-0.0033814312386122674,-0.006699728776903502,-0.0021325899044384207,-0.006699728776903502,-0.0021325899044384207,-0.0010662949522192103,0.0024108430962850973,0.019116958399762542,0.0038686602949284735,0.007162544991451029,2.144932636999765,5,0.007162544991451029,0.7137344328174954,0.002368391904284006,0.7004084100367896,-0.002368391904284006
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,6,0.0,0.0,0.01,0.0,0.5066237860926,0.49337621390740033,1.0000000000000002,0.013247572185199615,-0.005597327553848678,0.005597327553848678,0.08091006089194706,0,2,1.0,1,2,1.0,-0.0027986637769241707,0.0027986637769245037,0.005597327553848674,0.08091006089194708,-0.007442997792072317,0.007542263168041777,0.01498526096011421,0.004769956710648357,0.01498526096011421,0.004769956710648357,0.0023849783553241783,0.0039589472518443145,0.019116958399762542,0.0006758954858337848,0.005517884337915557,2.258227407142715,6,0.005517884337915557,0.7117553797175445,-0.005297691547648365,0.7023874631367407,0.005297691547648365
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,7,0.0,0.0,0.01,0.0,0.49552164773373253,0.5044783522662677,1.0000000000000002,-0.008956704532535163,-0.022204276717734776,0.022204276717734776,0.10311433760968183,1,3,1.5,0,2,1.0,-0.01110213835886742,0.011102138358867364,0.022204276717734783,0.10311433760968186,-0.008982043652649686,0.00890194909213729,0.017883992744787136,0.005692651695104932,0.017883992744787136,0.005692651695104932,0.002846325847552466,0.0023444907787968797,0.019116958399762542,0.007288180091732264,0.010515712470766603,1.9781612972391835,6,0.005517884337915557,0.7039045898097449,-0.006322671785511323,0.7102382530445402,0.006322671785511323
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,8,0.0,0.0,0.01,0.0,0.49003350168863935,0.5099664983113609,1.0000000000000002,-0.019932996622721518,-0.010976292090186355,0.010976292090186355,0.11409062969986819,0,3,1.5,0,2,1.0,-0.0054881460450931785,0.0054881460450931785,0.010976292090186357,0.11409062969986822,0.0008261866733990192,-0.0008098792019781662,-0.001636065875377124,-0.0005207759425804762,-0.001636065875377124,-0.0005207759425804762,-0.0002603879712902381,-0.00013078559914960896,0.019966498311360797,0.002103864602255358,0.00226815189004417,2.6443278656524694,8,0.00226815189004417,0.700023690455889,0.0005783503757092467,0.7141191523983962,-0.0005783503757092467
0.686603912556148,0.68660391255614805,phi0_s0.01_g0,9,0.0,0.0,0.01,0.0,0.497039201948731,0.5029607980512691,1.0000000000000002,-0.005921596102538116,0.014011400520183402,0.014011400520183402,0.1281020302200516,0,3,1.5,1,3,1.5,0.007005700260091674,-0.0070057002600917295,0.014011400520183404,0.12810203022005162,0.009580664381815885,-0.00952409682563036,-0.01910476120744642,-0.006081234365510769,-0.01910476120744642,-0.006081234365510769,-0.0030406171827553844,-0.0007098666494884597,0.019966498311360797,0.0003322031655581644,0.001075571503685827,2.968360712543884,9,0.001075571503685827,0.704977716349024,0.006754361557253952,0.7091651265052612,-0.006754361557253952
